rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.98444783414168,77.15810871402982,300530,领湃科技,bottom_area,2023-04-13,23.59,2023-04-06,22.95,2.7886710239651444,6.753812636165581,28.393135725429016,False,0.0424,0.1986,3,4,3,75.0,27.802573379948058,34.07510431154381,17.211328976034856,2.7886710239651444,历史3/4次成功; 当前距低点2.79%; 最新日涨幅0.04%; 状态bottom_area; 底部未确认
2,86.5143181555665,72.30702692307693,002329,皇氏集团,bottom_area,2023-04-13,6.26,2023-04-13,6.25,0.1599999999999966,2.5600000000000023,29.53776775648252,False,-0.6349,2.6096,1,1,1,100.0,27.644230769230756,27.644230769230756,19.840000000000003,0.1599999999999966,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
3,84.21495522441234,72.41497323993498,002006,精工科技,bottom_area,2023-04-13,21.97,2023-04-11,21.6,1.7129629629629508,4.62962962962963,29.938371715861166,False,-1.524,0.8091,2,3,2,66.66666666666666,46.311086714106686,61.48648648648647,18.287037037037052,1.7129629629629508,历史2/3次成功; 当前距低点1.71%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
4,81.34517209985047,69.38068088713624,000983,山西焦煤,bottom_area,2023-04-13,10.38,2023-04-11,10.25,1.2682926829268368,3.8048780487804934,27.715091678420308,False,-1.7045,0.8239,2,3,2,66.66666666666666,24.546889986789015,27.212389380530986,18.731707317073166,1.2682926829268368,历史2/3次成功; 当前距低点1.27%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
5,80.99081295048008,69.42545361179292,002125,湘潭电化,bottom_area,2023-04-13,12.51,2023-04-10,12.32,1.5422077922077881,7.629870129870126,29.236071223434806,False,-1.7282,1.0529,2,3,2,66.66666666666666,28.145272641720464,32.067510548523195,18.457792207792213,1.5422077922077881,历史2/3次成功; 当前距低点1.54%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
6,71.46656273958962,59.62820239680426,300586,美联新材,bottom_area,2023-04-13,15.03,2023-04-13,15.02,0.06657789613848061,2.529960053262322,27.087378640776706,False,-2.3392,1.3579,1,2,1,50.0,124.33414043583537,124.33414043583537,19.93342210386152,0.06657789613848061,历史1/2次成功; 当前距低点0.07%; 最新日涨幅-2.34%; 状态bottom_area; 底部未确认
7,69.37588716156529,59.60085878778185,002347,泰尔股份,bottom_area,2023-04-13,4.89,2023-04-11,4.81,1.6632016632016646,4.365904365904365,32.06214689265538,False,-1.2121,2.5045,1,2,1,50.0,29.585798816568047,29.585798816568047,18.33679833679834,1.6632016632016646,历史1/2次成功; 当前距低点1.66%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
8,66.64811838507624,58.41221926966054,600141,兴发集团,bottom_area,2023-04-13,26.1,2023-04-12,25.4,2.755905511811035,5.5511811023622055,29.79546710889995,False,-1.9166,2.1808,1,2,1,50.0,36.58969804618119,36.58969804618119,17.244094488188967,2.755905511811035,历史1/2次成功; 当前距低点2.76%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
9,66.44277777635381,55.90975529247626,300763,锦浪科技,bottom_area,2023-04-13,125.1,2023-04-13,124.44,0.5303760848601708,3.0215364834458303,29.531683560790533,False,-0.2392,1.3993,1,2,1,50.0,35.693617021276594,35.693617021276594,19.46962391513983,0.5303760848601708,历史1/2次成功; 当前距低点0.53%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
10,65.43311768927742,58.28881564721687,000756,新华制药,bottom_area,2023-04-13,24.15,2023-04-13,23.3,3.6480686695278877,4.592274678111589,27.164738980931535,False,0.2491,3.4972,1,2,1,50.0,24.38931297709925,24.38931297709925,16.351931330472112,3.6480686695278877,历史1/2次成功; 当前距低点3.65%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
11,65.17537651051926,54.75438135030073,001319,铭科精技,bottom_area,2023-04-13,20.46,2023-04-13,20.37,0.44182621502209063,1.9636720667648433,27.431421446384036,False,-1.3025,2.9451,1,2,1,50.0,28.396479142747793,28.396479142747793,19.55817378497791,0.44182621502209063,历史1/2次成功; 当前距低点0.44%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
12,63.63014834490998,53.69632771722361,002192,融捷股份,bottom_area,2023-04-13,74.8,2023-04-06,74.29,0.686498855835228,4.118993135011425,29.43579027355623,False,-2.043,2.5076,1,2,1,50.0,25.707231766279197,25.707231766279197,19.313501144164775,0.686498855835228,历史1/2次成功; 当前距低点0.69%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
13,63.013606137515254,55.28602629471175,002520,日发精机,bottom_area,2023-04-13,6.21,2023-04-06,6.04,2.8145695364238397,7.284768211920537,27.316486161251508,True,-2.0505,2.5864,1,3,1,33.33333333333333,30.752212389380546,30.752212389380546,17.18543046357616,2.8145695364238397,历史1/3次成功; 当前距低点2.81%; 最新日涨幅-2.05%; 状态bottom_area; 底部已确认
14,62.05066540131605,52.65609477227973,000887,中鼎股份,bottom_area,2023-04-13,12.23,2023-04-06,12.11,0.9909165978530223,6.853839801816681,28.512396694214885,False,-0.6499,1.1992,1,2,1,50.0,23.84615384615385,23.84615384615385,19.009083402146977,0.9909165978530223,历史1/2次成功; 当前距低点0.99%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
15,60.295170674487494,54.10781284611077,688357,建龙微纳,bottom_area,2023-04-13,94.27,2023-04-12,90.6,4.050772626931569,5.684326710816784,28.396427724650287,False,1.8035,0.7575,1,3,1,33.33333333333333,26.291618828932272,26.291618828932272,15.949227373068432,4.050772626931569,历史1/3次成功; 当前距低点4.05%; 最新日涨幅1.80%; 状态bottom_area; 底部未确认
