rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.21397595674418,86.20054507817643,603222,济民健康,bottom_area,2022-01-28,14.63,2022-01-28,14.15,3.3922261484098972,4.593639575971734,27.361396303901437,False,1.8802,3.9651,4,4,4,100.0,29.649573637370885,68.46504559270518,4.607773851590103,3.3922261484098972,历史4/4次成功; 当前距低点3.39%; 最新日涨幅1.88%; 状态bottom_area; 底部未确认
2,84.97271000789853,80.93084580140082,600391,航发科技,bottom_area,2022-01-28,20.76,2022-01-28,20.46,1.4662756598240503,4.203323558162265,30.691056910569102,False,0.5327,3.3507,1,1,1,100.0,27.709431751611014,27.709431751611014,6.533724340175951,1.4662756598240503,历史1/1次成功; 当前距低点1.47%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
3,84.63487650793371,80.77698791115951,600211,西藏药业,bottom_area,2022-01-28,41.29,2022-01-28,40.65,1.5744157441574431,3.1242312423124305,28.18021201413428,False,0.1941,0.5674,2,2,2,100.0,11.541160257196122,13.252533280349695,6.425584255842557,1.5744157441574431,历史2/2次成功; 当前距低点1.57%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
4,83.73869570796528,81.91315068493151,002584,西陇科学,bottom_area,2022-01-28,9.01,2022-01-28,8.76,2.853881278538813,4.680365296803655,29.863891112890318,False,0.6704,10.805,1,1,1,100.0,68.08510638297875,68.08510638297875,5.146118721461187,2.853881278538813,历史1/1次成功; 当前距低点2.85%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
5,83.40973011354686,80.75358434282805,600217,中再资环,bottom_area,2022-01-28,5.74,2022-01-28,5.61,2.317290552584668,3.9215686274509753,29.52261306532663,False,0.1745,0.9968,1,1,1,100.0,37.18820861678004,37.18820861678004,5.682709447415332,2.317290552584668,历史1/1次成功; 当前距低点2.32%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
6,82.91950125915844,79.68523356302317,600316,洪都航空,bottom_area,2022-01-28,30.61,2022-01-28,30.03,1.9314019314019257,3.296703296703291,31.51653363740023,False,0.3607,1.0299,2,2,2,100.0,10.047472938814842,10.422364023093307,6.0685980685980745,1.9314019314019257,历史2/2次成功; 当前距低点1.93%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
7,82.61825572816949,81.02813054814668,300447,全信股份,bottom_area,2022-01-28,17.57,2022-01-27,17.06,2.989449003517008,7.151230949589698,27.650551314673454,False,2.7485,2.2448,2,2,2,100.0,30.236958474007892,30.328638497652584,5.0105509964829915,2.989449003517008,历史2/2次成功; 当前距低点2.99%; 最新日涨幅2.75%; 状态bottom_area; 底部未确认
8,82.41815968231026,79.35452239961853,001896,豫能控股,bottom_area,2022-01-28,6.03,2022-01-27,5.91,2.0304568527918803,4.568527918781719,31.833910034602077,False,1.5152,0.9092,2,2,2,100.0,9.483677548301134,9.493670886075943,5.96954314720812,2.0304568527918803,历史2/2次成功; 当前距低点2.03%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
9,82.07750965113168,80.85956727375181,002603,以岭药业,bottom_area,2022-01-28,20.82,2022-01-26,20.17,3.222607833415957,7.585523054040642,27.757879656160455,True,0.4342,3.5352,1,1,1,100.0,39.661898569570866,39.661898569570866,4.777392166584042,3.222607833415957,历史1/1次成功; 当前距低点3.22%; 最新日涨幅0.43%; 状态bottom_area; 底部已确认
10,81.15939031208376,79.84834327834326,300511,雪榕生物,bottom_area,2022-01-28,6.87,2022-01-27,6.66,3.153153153153153,4.054054054054047,31.198347107438014,False,2.8443,2.7493,2,2,2,100.0,25.900712191034756,29.220779220779214,4.846846846846847,3.153153153153153,历史2/2次成功; 当前距低点3.15%; 最新日涨幅2.84%; 状态bottom_area; 底部未确认
11,80.62359983487156,79.27362327949696,605162,新中港,bottom_area,2022-01-28,10.57,2022-01-27,10.25,3.121951219512198,4.390243902439018,30.508474576271187,False,2.7211,3.1233,2,2,2,100.0,22.428344408520275,26.46502835538753,4.878048780487802,3.121951219512198,历史2/2次成功; 当前距低点3.12%; 最新日涨幅2.72%; 状态bottom_area; 底部未确认
12,80.6160553244372,79.71789617944147,688316,青云科技,bottom_area,2022-01-28,50.84,2022-01-27,49.16,3.4174125305126255,5.085435313262816,30.564971751412433,False,3.1865,6.2893,3,3,3,100.0,11.77202553231324,13.030303030303022,4.5825874694873745,3.4174125305126255,历史3/3次成功; 当前距低点3.42%; 最新日涨幅3.19%; 状态bottom_area; 底部未确认
13,80.5668663086478,76.96378371180627,688049,炬芯科技,bottom_area,2022-01-28,48.89,2022-01-27,48.11,1.6212845562253193,7.046352109748494,30.577200577200575,False,1.4315,2.1055,1,1,1,100.0,8.281249999999996,8.281249999999996,6.378715443774681,1.6212845562253193,历史1/1次成功; 当前距低点1.62%; 最新日涨幅1.43%; 状态bottom_area; 底部未确认
14,80.49910942882487,74.76431625192474,688089,嘉必优,bottom_area,2022-01-28,50.5,2022-01-28,50.42,0.15866719555731515,5.414518048393488,27.243867243867236,False,-2.2265,0.7613,1,1,1,100.0,40.83912611717973,40.83912611717973,7.841332804442685,0.15866719555731515,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
15,80.28826769501522,79.03130851387996,300658,延江股份,bottom_area,2022-01-28,10.06,2022-01-27,9.75,3.1794871794871846,4.410256410256407,32.57261410788382,False,2.444,1.4755,2,2,2,100.0,21.830856360810415,26.72018348623853,4.820512820512816,3.1794871794871846,历史2/2次成功; 当前距低点3.18%; 最新日涨幅2.44%; 状态bottom_area; 底部未确认
16,79.88902325065645,76.62374973263815,000967,盈峰环境,bottom_area,2022-01-28,6.12,2022-01-28,6.01,1.8302828618968439,2.828618968386022,30.52023121387284,False,0.8237,0.5667,1,1,1,100.0,9.015025041736227,9.015025041736227,6.169717138103156,1.8302828618968439,历史1/1次成功; 当前距低点1.83%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
17,79.85388149755833,73.93877916440586,000620,盈新发展,bottom_area,2022-01-28,3.2,2022-01-28,3.2,0.0,0.0,30.585683297180044,False,-9.8592,0.6893,2,2,2,100.0,40.26225357207451,58.4192439862543,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.86%; 状态bottom_area; 底部未确认
18,79.68588235920649,77.72236985754228,300339,润和软件,bottom_area,2022-01-28,19.0,2022-01-27,18.5,2.7027027027027026,7.945945945945939,27.450980392156865,False,2.3707,3.4028,1,1,1,100.0,25.615763546798025,25.615763546798025,5.297297297297297,2.7027027027027026,历史1/1次成功; 当前距低点2.70%; 最新日涨幅2.37%; 状态bottom_area; 底部未确认
19,79.53597436144568,77.059433414138,605086,龙高股份,bottom_area,2022-01-28,20.86,2022-01-28,20.38,2.3552502453385693,2.944062806673216,27.31811697574893,False,1.1639,3.4076,1,1,1,100.0,17.79249448123621,17.79249448123621,5.644749754661431,2.3552502453385693,历史1/1次成功; 当前距低点2.36%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
20,78.3650125073147,73.68302366345314,603368,柳药集团,bottom_area,2022-01-28,16.43,2022-01-28,16.3,0.7975460122699325,2.6993865030674704,30.282292557741652,False,-0.4846,2.0051,1,1,1,100.0,42.85714285714285,42.85714285714285,7.202453987730068,0.7975460122699325,历史1/1次成功; 当前距低点0.80%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
21,78.34803139660995,77.42186331212844,002342,巨力索具,bottom_area,2022-01-28,4.28,2022-01-28,4.14,3.381642512077309,4.589371980676338,28.620689655172416,False,2.148,2.45,2,2,2,100.0,15.655958277767192,19.889502762430933,4.618357487922691,3.381642512077309,历史2/2次成功; 当前距低点3.38%; 最新日涨幅2.15%; 状态bottom_area; 底部未确认
22,77.6873472074836,71.93272889581814,000995,皇台酒业,bottom_area,2022-01-28,16.73,2022-01-28,16.73,0.0,0.0,30.810587262200162,False,-10.0054,0.7279,3,3,3,100.0,12.810370407624413,15.789473684210536,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
23,77.64996870491751,75.26935649935649,002022,科华生物,bottom_area,2022-01-28,12.9,2022-01-28,12.6,2.3809523809523867,3.253968253968255,31.891891891891895,False,1.735,2.1464,1,1,1,100.0,8.483483483483475,8.483483483483475,5.619047619047614,2.3809523809523867,历史1/1次成功; 当前距低点2.38%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
24,77.64996605647586,75.61253222541815,603045,福达合金,bottom_area,2022-01-28,15.29,2022-01-28,14.9,2.6174496644295218,4.02684563758389,27.49391727493917,False,1.7299,1.4067,1,1,1,100.0,13.227513227513226,13.227513227513226,5.382550335570478,2.6174496644295218,历史1/1次成功; 当前距低点2.62%; 最新日涨幅1.73%; 状态bottom_area; 底部未确认
25,77.23806374865043,72.01927565752541,300612,宣亚国际,bottom_area,2022-01-28,19.32,2022-01-28,19.25,0.3636363636363651,4.779220779220788,28.385416666666664,False,-0.4124,4.6671,2,2,2,100.0,11.926701971055497,15.789473684210526,7.636363636363636,0.3636363636363651,历史2/2次成功; 当前距低点0.36%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
26,77.1646845005581,75.13119351441932,000795,英洛华,bottom_area,2022-01-28,6.68,2022-01-28,6.51,2.6113671274961585,4.3010752688172085,29.239130434782606,False,0.7541,2.4723,1,1,1,100.0,10.565110565110556,10.565110565110556,5.388632872503842,2.6113671274961585,历史1/1次成功; 当前距低点2.61%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
27,76.50445489408287,77.73472809757843,603196,璞源材料,bottom_area,2022-01-28,7.38,2022-01-27,7.04,4.829545454545452,6.534090909090909,28.960645812310798,False,4.0903,2.3137,3,3,3,100.0,18.419848031946557,22.85714285714286,3.1704545454545476,4.829545454545452,历史3/3次成功; 当前距低点4.83%; 最新日涨幅4.09%; 状态bottom_area; 底部未确认
28,76.43928357207992,75.06817534657176,300533,冰川网络,bottom_area,2022-01-28,17.52,2022-01-27,17.0,3.0588235294117623,5.88235294117647,30.612244897959183,False,2.8773,2.6232,1,1,1,100.0,15.711252653927819,15.711252653927819,4.941176470588237,3.0588235294117623,历史1/1次成功; 当前距低点3.06%; 最新日涨幅2.88%; 状态bottom_area; 底部未确认
29,76.40096812819097,76.08813812132105,300540,蜀道装备,bottom_area,2022-01-28,25.49,2022-01-27,24.56,3.786644951140064,6.22964169381108,27.508854781582066,False,3.0315,2.8645,2,2,2,100.0,13.449938763012865,18.695652173913043,4.2133550488599365,3.786644951140064,历史2/2次成功; 当前距低点3.79%; 最新日涨幅3.03%; 状态bottom_area; 底部未确认
30,76.13914514188725,73.14467758985201,000625,长安汽车,bottom_area,2022-01-28,12.78,2022-01-28,12.54,1.913875598086126,3.189792663476877,31.25,False,-0.312,1.0131,1,1,1,100.0,13.808139534883724,13.808139534883724,6.0861244019138745,1.913875598086126,历史1/1次成功; 当前距低点1.91%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
31,75.96282115654827,75.1154271356784,002806,华锋股份,bottom_area,2022-01-28,12.41,2022-01-27,12.0,3.416666666666668,5.583333333333332,31.856899488926743,False,3.2446,2.2386,1,1,1,100.0,20.35175879396985,20.35175879396985,4.583333333333332,3.416666666666668,历史1/1次成功; 当前距低点3.42%; 最新日涨幅3.24%; 状态bottom_area; 底部未确认
32,75.9486046009064,74.31577686859214,000710,贝瑞基因,bottom_area,2022-01-28,16.13,2022-01-27,15.68,2.869897959183669,5.357142857142856,27.941176470588243,False,2.8699,1.5632,1,1,1,100.0,9.35023771790808,9.35023771790808,5.130102040816331,2.869897959183669,历史1/1次成功; 当前距低点2.87%; 最新日涨幅2.87%; 状态bottom_area; 底部未确认
33,75.78991932095552,70.22702490754511,300677,英科医疗,bottom_area,2022-01-28,52.86,2022-01-28,52.84,0.03785011355033312,3.4822104466313326,29.0738255033557,False,-1.3806,2.597,1,1,1,100.0,14.964103045375621,14.964103045375621,7.962149886449667,0.03785011355033312,历史1/1次成功; 当前距低点0.04%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
34,74.98172532966721,73.68939480220513,601678,滨化股份,bottom_area,2022-01-28,6.66,2022-01-28,6.46,3.0959752321981453,4.1795665634675,31.56779661016949,False,0.1504,1.2382,1,1,1,100.0,8.753861997940263,8.753861997940263,4.904024767801856,3.0959752321981453,历史1/1次成功; 当前距低点3.10%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
35,74.90253311723784,72.1484919615572,300639,凯普生物,bottom_area,2022-01-28,27.35,2022-01-28,26.8,2.0522388059701515,3.768656716417903,29.934640522875817,False,-0.4731,1.9279,1,1,1,100.0,10.14836795252224,10.14836795252224,5.947761194029849,2.0522388059701515,历史1/1次成功; 当前距低点2.05%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
36,74.72088225541965,69.84041717498786,300567,精测电子,bottom_area,2022-01-28,53.44,2022-01-28,53.18,0.48890560361037605,2.2564874012786817,31.82051282051282,False,-0.2054,1.2694,1,1,1,100.0,18.414634146341452,18.414634146341452,7.511094396389624,0.48890560361037605,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
