rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.92006283671682,84.7567351000495,605136,丽人丽妆,bottom_area,2025-07-03,10.71,2025-06-26,10.27,4.284323271665056,8.081791626095425,29.318651066758434,True,1.5166,9.7272,4,4,4,100.0,23.62899010454739,52.667814113597245,5.715676728334945,4.284323271665056,历史4/4次成功; 当前距低点4.28%; 最新日涨幅1.52%; 状态bottom_area; 底部已确认
2,84.5112694355968,78.9984293984395,002141,贤丰控股,bottom_area,2025-07-03,4.17,2025-07-03,4.11,1.4598540145985306,2.1897810218978067,27.25663716814159,False,0.0,6.4893,1,1,1,100.0,17.241379310344833,17.241379310344833,8.54014598540147,1.4598540145985306,历史1/1次成功; 当前距低点1.46%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,83.688974370829,79.15316427922578,300849,锦盛新材,bottom_area,2025-07-03,13.28,2025-07-01,13.01,2.075326671790927,5.073020753266719,32.204273058884844,False,-1.2639,7.0172,1,1,1,100.0,48.090909090909086,48.090909090909086,7.9246733282090736,2.075326671790927,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
4,82.96610839978587,78.34809110667149,000999,华润三九,bottom_area,2025-07-03,31.2,2025-06-23,30.59,1.9941157240928389,4.347826086956528,29.645814167433297,False,1.0036,0.4639,1,1,1,100.0,20.293951384963254,20.293951384963254,8.005884275907162,1.9941157240928389,历史1/1次成功; 当前距低点1.99%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
5,81.53906568677512,77.56405317626889,605198,安德利,bottom_area,2025-07-03,40.06,2025-06-20,39.13,2.376693074367492,5.877843087145405,29.748653500897664,False,-0.3483,0.6171,1,1,1,100.0,43.241469816272954,43.241469816272954,7.623306925632509,2.376693074367492,历史1/1次成功; 当前距低点2.38%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
6,80.42718051683124,77.95018479688947,002041,登海种业,bottom_area,2025-07-03,9.85,2025-06-23,9.53,3.3578174186778624,3.4627492130115436,29.719764011799416,False,0.1016,0.5928,2,2,2,100.0,18.2043468358871,21.395106715252467,6.642182581322138,3.3578174186778624,历史2/2次成功; 当前距低点3.36%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
7,80.30784405018127,75.51637768146789,688114,华大智造,bottom_area,2025-07-03,63.2,2025-06-23,62.1,1.771336553945252,7.004830917874398,28.20809248554913,True,-0.0474,1.028,3,4,3,75.0,19.785080776683152,27.745919717688572,8.228663446054748,1.771336553945252,历史3/4次成功; 当前距低点1.77%; 最新日涨幅-0.05%; 状态bottom_area; 底部已确认
8,80.03232058802452,76.28468464957653,002371,北方华创,bottom_area,2025-07-03,328.17,2025-07-03,320.22,2.4826681656361216,2.738742114796072,28.602006688963204,False,1.5975,0.5641,1,1,1,100.0,15.189075630252091,15.189075630252091,7.517331834363879,2.4826681656361216,历史1/1次成功; 当前距低点2.48%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
9,79.63767097959162,73.06336267759085,603022,新通联,bottom_area,2025-07-03,10.48,2025-07-03,10.43,0.4793863854266607,2.109300095877283,30.605455755156353,False,-1.6886,8.0271,2,2,2,100.0,18.958944281524914,26.099706744868023,9.520613614573339,0.4793863854266607,历史2/2次成功; 当前距低点0.48%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
10,79.20527537261012,78.84688046142185,002127,南极电商,bottom_area,2025-07-03,3.96,2025-06-20,3.78,4.761904761904766,6.878306878306885,29.34579439252336,False,1.2788,1.5148,3,3,3,100.0,23.570017841745774,33.53658536585366,5.238095238095234,4.761904761904766,历史3/3次成功; 当前距低点4.76%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
11,77.21903170956661,76.44754274607412,300640,德艺文创,bottom_area,2025-07-03,6.54,2025-06-23,6.26,4.472843450479237,7.348242811501597,27.880184331797235,True,0.4608,4.4797,2,2,2,100.0,14.600138780466654,17.724867724867735,5.527156549520764,4.472843450479237,历史2/2次成功; 当前距低点4.47%; 最新日涨幅0.46%; 状态bottom_area; 底部已确认
12,76.83655432501018,75.63249083882488,002811,郑中设计,bottom_area,2025-07-03,10.49,2025-06-23,10.07,4.170804369414101,6.156901688182713,31.728813559322035,False,0.8654,4.6837,2,2,2,100.0,15.709273124134537,16.78832116788322,5.829195630585899,4.170804369414101,历史2/2次成功; 当前距低点4.17%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
13,75.29403462870329,74.3644786456329,600770,综艺股份,bottom_area,2025-07-03,5.28,2025-06-23,5.06,4.347826086956535,6.916996047430842,32.980132450331126,False,0.3802,1.6694,1,1,1,100.0,27.72861356932153,27.72861356932153,5.652173913043466,4.347826086956535,历史1/1次成功; 当前距低点4.35%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
14,74.25618310210355,73.54818808654788,605377,华旺科技,bottom_area,2025-07-03,8.83,2025-06-23,8.45,4.497041420118353,4.852071005917162,30.04966887417219,False,0.4551,0.6897,1,1,1,100.0,25.16904583020285,25.16904583020285,5.502958579881648,4.497041420118353,历史1/1次成功; 当前距低点4.50%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
15,74.13303428152904,73.73218385857467,002155,湖南黄金,bottom_area,2025-07-03,18.21,2025-06-30,17.39,4.715353651523866,5.405405405405392,29.28019520130134,False,0.6077,1.8775,1,1,1,100.0,28.834355828220854,28.834355828220854,5.284646348476135,4.715353651523866,历史1/1次成功; 当前距低点4.72%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
