rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.25812600977356,76.08154755217113,002825,纳尔股份,bottom_area,2023-07-14,8.78,2023-07-07,8.66,1.3856812933025313,2.886836027713626,32.55451713395638,False,-0.791,0.7836,1,1,1,100.0,23.123123123123136,23.123123123123136,13.614318706697468,1.3856812933025313,历史1/1次成功; 当前距低点1.39%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
2,82.60611174585064,75.66071847486057,688236,春立医疗,bottom_area,2023-07-14,24.38,2023-06-28,23.72,2.7824620573355827,7.082630691399662,32.228571428571435,True,-2.049,1.0167,1,1,1,100.0,28.788881535407025,28.788881535407025,12.217537942664416,2.7824620573355827,历史1/1次成功; 当前距低点2.78%; 最新日涨幅-2.05%; 状态bottom_area; 底部已确认
3,81.63227211796246,70.98458445040214,002755,奥赛康,bottom_area,2023-07-14,8.08,2023-07-14,8.08,0.0,1.2376237623762332,27.598566308243726,False,-0.9804,0.2606,1,1,1,100.0,30.831099195710454,30.831099195710454,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
4,79.37264351930986,72.31128895445326,601669,中国电建,bottom_area,2023-07-14,5.75,2023-06-07,5.61,2.4955436720142545,5.882352941176471,29.78723404255319,False,-0.519,0.8613,1,1,1,100.0,16.457680250783696,16.457680250783696,12.504456327985745,2.4955436720142545,历史1/1次成功; 当前距低点2.50%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
5,75.48882388627483,70.87276856524876,600935,华塑股份,bottom_area,2023-07-14,3.8,2023-06-27,3.65,4.109589041095888,6.575342465753431,28.571428571428577,False,-0.5236,0.1753,1,1,1,100.0,28.50877192982458,28.50877192982458,10.890410958904113,4.109589041095888,历史1/1次成功; 当前距低点4.11%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
6,73.279799788842,69.58133256254459,002481,双塔食品,bottom_area,2023-07-14,4.44,2023-06-26,4.24,4.7169811320754755,8.490566037735835,31.61290322580645,True,-1.3333,0.7569,1,1,1,100.0,19.817470664928287,19.817470664928287,10.283018867924524,4.7169811320754755,历史1/1次成功; 当前距低点4.72%; 最新日涨幅-1.33%; 状态bottom_area; 底部已确认
7,69.12792641945613,64.48527879636204,600984,建设机械,bottom_area,2023-07-14,4.41,2023-06-12,4.25,3.7647058823529442,8.23529411764705,32.0,True,-1.1211,0.5807,2,3,2,66.66666666666666,19.63516957774231,20.21439509954057,11.235294117647054,3.7647058823529442,历史2/3次成功; 当前距低点3.76%; 最新日涨幅-1.12%; 状态bottom_area; 底部已确认
8,60.55173995459404,56.22137309723519,000792,盐湖股份,bottom_area,2023-07-14,19.15,2023-05-30,18.5,3.513513513513506,7.5675675675675595,29.49695121951219,True,-0.7258,0.2711,1,2,1,50.0,24.904214559386965,24.904214559386965,11.486486486486495,3.513513513513506,历史1/2次成功; 当前距低点3.51%; 最新日涨幅-0.73%; 状态bottom_area; 底部已确认
9,59.90192935492133,56.398751602992604,688156,路德科技,bottom_area,2023-07-14,26.91,2023-07-11,25.81,4.261913986826817,6.5478496706702884,28.285634898582945,False,-1.6088,1.0576,1,2,1,50.0,44.22535211267606,44.22535211267606,10.73808601317318,4.261913986826817,历史1/2次成功; 当前距低点4.26%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
10,55.63008816411074,52.919291384899566,603335,迪生力,bottom_area,2023-07-14,6.53,2023-06-27,6.23,4.815409309791329,8.828250401284105,27.134502923976612,True,0.0,2.637,1,3,1,33.33333333333333,20.081135902636923,20.081135902636923,10.184590690208669,4.815409309791329,历史1/3次成功; 当前距低点4.82%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
11,54.235752387757266,51.585693808688205,688318,财富趋势,bottom_area,2023-07-14,94.39,2023-07-12,90.06,4.807905840550742,6.995336442371748,27.17127607957302,False,0.3082,1.2648,1,3,1,33.33333333333333,22.012826837691176,22.012826837691176,10.192094159449258,4.807905840550742,历史1/3次成功; 当前距低点4.81%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
