rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,79.1740341229847,74.83665445062138,002233,塔牌集团,bottom_area,2021-11-26,9.99,2021-11-10,9.79,2.0429009193054246,7.252298263534228,31.77700348432056,True,-1.2846,1.0911,1,1,1,100.0,15.292841648590022,15.292841648590022,7.957099080694576,2.0429009193054246,历史1/1次成功; 当前距低点2.04%; 最新日涨幅-1.28%; 状态bottom_area; 底部已确认
2,70.72183622241047,69.46144706201108,603069,海汽集团,confirmed_rebound,2021-11-26,14.88,2021-10-29,14.3,4.055944055944057,11.538461538461528,29.03225806451612,True,-0.7338,0.7722,1,1,1,100.0,21.284943599803825,21.284943599803825,5.944055944055944,4.055944055944057,历史1/1次成功; 当前距低点4.06%; 最新日涨幅-0.73%; 状态confirmed_rebound; 底部已确认
3,67.48810160961594,67.42000059890998,000936,华西股份,bottom_area,2021-11-26,5.94,2021-11-03,5.66,4.9469964664310995,7.59717314487632,29.072681704260656,True,-1.0,0.5408,1,1,1,100.0,11.016949152542363,11.016949152542363,5.053003533568901,4.9469964664310995,历史1/1次成功; 当前距低点4.95%; 最新日涨幅-1.00%; 状态bottom_area; 底部已确认
