rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.09890638979344,83.2499477658155,688181,八亿时空,bottom_area,2023-05-11,33.88,2023-05-10,33.33,1.6501650165016633,2.9402940294029527,28.751603249251822,False,0.3852,0.62,2,2,2,100.0,25.76518281418983,28.477257745550418,6.3498349834983365,1.6501650165016633,历史2/2次成功; 当前距低点1.65%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
2,87.03108359200438,82.89037465956842,002800,天顺股份,bottom_area,2023-05-11,15.23,2023-05-11,15.01,1.4656895403064667,6.862091938707524,29.662605435801314,False,-2.9318,9.8059,4,4,4,100.0,10.7104667283181,11.768447837150124,6.5343104596935335,1.4656895403064667,历史4/4次成功; 当前距低点1.47%; 最新日涨幅-2.93%; 状态bottom_area; 底部未确认
3,85.87023091154097,82.52195359839308,300552,万集科技,bottom_area,2023-05-11,17.41,2023-05-04,17.08,1.9320843091335007,7.728337236533961,31.129032258064527,True,0.0575,1.5916,2,2,2,100.0,16.113472167835834,23.929299796057098,6.067915690866499,1.9320843091335007,历史2/2次成功; 当前距低点1.93%; 最新日涨幅0.06%; 状态bottom_area; 底部已确认
4,85.81717468996608,85.19149599123952,688075,安旭生物,bottom_area,2023-05-11,66.99,2023-05-10,64.65,3.619489559164716,4.485692188708416,30.37906525953047,False,2.2904,2.091,5,5,5,100.0,27.010388097500325,40.134529147982065,4.380510440835284,3.619489559164716,历史5/5次成功; 当前距低点3.62%; 最新日涨幅2.29%; 状态bottom_area; 底部未确认
5,85.76099667478063,81.09337783701038,605305,中际联合,bottom_area,2023-05-11,32.44,2023-05-10,32.09,1.0906824555936252,4.549703957619176,31.43162393162392,False,-1.5478,2.1363,3,3,3,100.0,13.118999117009956,15.395207931699245,6.909317544406375,1.0906824555936252,历史3/3次成功; 当前距低点1.09%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
6,85.33687632421987,80.15966425028618,002690,美亚光电,bottom_area,2023-05-11,24.29,2023-05-11,24.11,0.7465781833264195,2.364164247200333,27.379518072289166,False,0.5381,0.5702,3,3,3,100.0,21.246572625109707,27.355278093076052,7.253421816673581,0.7465781833264195,历史3/3次成功; 当前距低点0.75%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
7,85.00359570092776,82.63429282783814,002724,海洋王,confirmed_rebound,2023-05-11,8.51,2023-04-25,8.3,2.5301204819276992,8.192771084337345,28.999144568006834,True,0.2356,0.8132,3,3,3,100.0,17.596599605555337,25.204081632653047,5.469879518072301,2.5301204819276992,历史3/3次成功; 当前距低点2.53%; 最新日涨幅0.24%; 状态confirmed_rebound; 底部已确认
8,84.48674146697957,79.019535732486,688008,澜起科技,bottom_area,2023-05-11,55.79,2023-05-11,55.5,0.522522522522521,4.10810810810811,29.3173713703515,False,-1.2392,0.84,3,3,3,100.0,34.8434789453621,62.20095693779905,7.477477477477478,0.522522522522521,历史3/3次成功; 当前距低点0.52%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
9,84.32152696372034,80.18344502819068,688328,深科达,bottom_area,2023-05-11,19.78,2023-05-10,19.51,1.383905689390054,2.5627883136852896,29.285973178687925,False,0.2026,1.5837,1,1,1,100.0,22.681451612903224,22.681451612903224,6.616094310609946,1.383905689390054,历史1/1次成功; 当前距低点1.38%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
10,83.78818939213487,79.56038032008148,001201,东瑞股份,bottom_area,2023-05-11,24.78,2023-05-05,24.46,1.3082583810302546,2.207686017988549,28.01648028251912,False,0.4459,0.5481,1,1,1,100.0,18.4043517679057,18.4043517679057,6.691741618969746,1.3082583810302546,历史1/1次成功; 当前距低点1.31%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
11,83.69777023676133,80.98794968282981,600203,福日电子,bottom_area,2023-05-11,5.81,2023-05-09,5.68,2.2887323943661957,3.3450704225352186,28.19216182048041,False,1.3962,1.3117,2,2,2,100.0,21.43150291389641,24.045801526717554,5.711267605633805,2.2887323943661957,历史2/2次成功; 当前距低点2.29%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
