rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.27532470109757,89.14643708857415,002317,众生药业,bottom_area,2025-12-17,19.76,2025-12-17,19.44,1.646090534979425,2.263374485596696,28.529411764705877,False,0.8678,4.7612,5,5,5,100.0,24.08345972218942,58.31999999999999,6.353909465020576,1.646090534979425,历史5/5次成功; 当前距低点1.65%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
2,91.69967230807806,88.59093583250122,300358,楚天科技,bottom_area,2025-12-17,8.8,2025-12-17,8.61,2.2067363530778312,2.555168408826953,30.564516129032267,False,0.5714,2.7326,4,4,4,100.0,27.96932643827245,38.205499276411004,5.793263646922169,2.2067363530778312,历史4/4次成功; 当前距低点2.21%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
3,90.15960408775122,88.76518374671195,603327,福蓉科技,bottom_area,2025-12-17,11.0,2025-12-17,10.66,3.189493433395871,4.502814258911824,28.647925033467196,False,0.1821,5.1473,7,7,7,100.0,40.952842875562084,129.39632545931758,4.810506566604129,3.189493433395871,历史7/7次成功; 当前距低点3.19%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
4,90.09887768877401,87.56305784168829,300598,诚迈科技,bottom_area,2025-12-17,44.42,2025-12-17,43.33,2.5155781213939616,2.7694438033694966,32.296875,False,1.1845,2.3208,5,5,5,100.0,26.22890300250812,45.24950099800398,5.484421878606039,2.5155781213939616,历史5/5次成功; 当前距低点2.52%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
5,89.06158905966129,84.8051278649128,600048,保利发展,bottom_area,2025-12-17,6.28,2025-12-17,6.19,1.4539579967689797,1.93861066235863,27.60233918128655,False,0.0,1.0037,2,2,2,100.0,31.721247836269217,31.987577639751546,6.54604200323102,1.4539579967689797,历史2/2次成功; 当前距低点1.45%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,88.91146296814263,86.17545965957771,603038,华立股份,bottom_area,2025-12-17,15.95,2025-12-17,15.58,2.374839537869058,3.0166880616174625,29.661399548532724,False,0.6944,1.5738,4,4,4,100.0,17.04351508558693,28.753412192902637,5.625160462130943,2.374839537869058,历史4/4次成功; 当前距低点2.37%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
7,88.42082012351048,83.95293842207798,600161,天坛生物,bottom_area,2025-12-17,16.31,2025-12-17,16.1,1.3043478260869397,1.428571428571409,27.08333333333332,False,0.8035,0.3831,2,2,2,100.0,25.305653040624797,36.77455357142857,6.695652173913061,1.3043478260869397,历史2/2次成功; 当前距低点1.30%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
8,88.10109320889127,85.7670440616414,300768,迪普科技,bottom_area,2025-12-17,18.52,2025-12-17,18.05,2.603878116343484,3.379501385041548,29.43706020328381,False,0.0,1.3647,3,3,3,100.0,34.32196863927173,47.28781110402041,5.396121883656516,2.603878116343484,历史3/3次成功; 当前距低点2.60%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,86.49131790822487,83.59174752329865,605228,神通科技,bottom_area,2025-12-17,14.23,2025-12-16,13.92,2.227011494252877,5.96264367816092,28.247422680412367,False,-0.4895,1.8751,5,5,5,100.0,23.813622205350633,47.56554307116105,5.772988505747123,2.227011494252877,历史5/5次成功; 当前距低点2.23%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
10,86.04868014777888,84.4861407700954,002459,晶澳科技,bottom_area,2025-12-17,11.16,2025-12-16,10.83,3.047091412742383,3.8781163434903037,29.215686274509807,False,2.5735,1.0847,6,6,6,100.0,16.2016623180001,26.683937823834192,4.9529085872576175,3.047091412742383,历史6/6次成功; 当前距低点3.05%; 最新日涨幅2.57%; 状态bottom_area; 底部未确认
11,85.98336564926194,84.49191797149696,300681,英搏尔,bottom_area,2025-12-17,24.02,2025-12-17,23.3,3.090128755364802,3.8626609442060027,28.593319031566043,False,1.3075,5.1426,6,6,6,100.0,16.760277063057536,27.487589035182385,4.909871244635198,3.090128755364802,历史6/6次成功; 当前距低点3.09%; 最新日涨幅1.31%; 状态bottom_area; 底部未确认
