rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.85877459466765,81.33123281082617,000938,紫光股份,bottom_area,2023-10-24,19.6,2023-10-23,19.3,1.5544041450777237,4.041450777202059,28.011935844834014,False,0.8749,1.0696,1,1,1,100.0,30.942334739803094,30.942334739803094,18.445595854922278,1.5544041450777237,历史1/1次成功; 当前距低点1.55%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
2,94.79640976277963,81.74364453072562,601890,亚星锚链,bottom_area,2023-10-24,8.73,2023-10-23,8.57,1.8669778296382746,3.26721120186697,29.05629139072847,False,1.3937,1.0026,1,1,1,100.0,36.991150442477874,36.991150442477874,18.133022170361727,1.8669778296382746,历史1/1次成功; 当前距低点1.87%; 最新日涨幅1.39%; 状态bottom_area; 底部未确认
3,92.89891388601299,79.28012686158709,688023,安恒信息,bottom_area,2023-10-24,118.5,2023-10-24,116.98,1.299367413233028,4.137459394768327,29.021297251380375,False,-0.3364,0.88,1,1,1,100.0,39.261744966442954,39.261744966442954,18.700632586766975,1.299367413233028,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
4,91.7172181007162,82.97061072723287,300502,新易盛,bottom_area,2023-10-24,33.96,2023-10-23,32.5,4.492307692307695,10.553846153846152,31.62213338943825,True,1.6462,7.1722,3,3,3,100.0,33.242324009109716,34.5909668057319,15.507692307692306,4.492307692307695,历史3/3次成功; 当前距低点4.49%; 最新日涨幅1.65%; 状态bottom_area; 底部已确认
5,91.65999433938562,79.77129883703253,600004,白云机场,bottom_area,2023-10-24,10.36,2023-10-23,10.12,2.371541501976287,2.6679841897233336,31.38983050847458,False,1.6683,0.4942,1,1,1,100.0,32.57211538461537,32.57211538461537,17.628458498023715,2.371541501976287,历史1/1次成功; 当前距低点2.37%; 最新日涨幅1.67%; 状态bottom_area; 底部未确认
6,90.08123193886722,79.5311777478287,601155,新城控股,bottom_area,2023-10-24,11.76,2023-10-20,11.4,3.1578947368421004,4.73684210526315,27.06333973128599,False,2.0833,0.6182,2,2,2,100.0,24.2536438055306,24.642857142857142,16.8421052631579,3.1578947368421004,历史2/2次成功; 当前距低点3.16%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
7,89.46087074160086,77.76160260233124,000966,长源电力,bottom_area,2023-10-24,4.44,2023-10-24,4.34,2.3041474654378002,2.5345622119815743,27.424749163879607,False,1.6018,0.8482,1,1,1,100.0,20.94117647058823,20.94117647058823,17.6958525345622,2.3041474654378002,历史1/1次成功; 当前距低点2.30%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
8,89.30368377011493,78.10305301604541,001322,箭牌家居,bottom_area,2023-10-24,12.44,2023-10-23,12.12,2.640264026402643,3.3003300330033034,30.74285714285715,False,2.2186,2.6097,1,1,1,100.0,26.897069872276486,26.897069872276486,17.359735973597356,2.640264026402643,历史1/1次成功; 当前距低点2.64%; 最新日涨幅2.22%; 状态bottom_area; 底部未确认
9,87.88605778179262,77.82736867912965,603098,森特股份,bottom_area,2023-10-24,16.79,2023-10-23,16.25,3.3230769230769175,5.35384615384616,29.835924006908463,False,2.6911,0.412,1,1,1,100.0,33.78486055776891,33.78486055776891,16.676923076923085,3.3230769230769175,历史1/1次成功; 当前距低点3.32%; 最新日涨幅2.69%; 状态bottom_area; 底部未确认
10,87.84565575767866,78.96773869346735,000663,永安林业,bottom_area,2023-10-24,8.29,2023-10-23,7.96,4.14572864321607,4.773869346733667,29.99120492524186,False,3.625,1.6353,1,1,1,100.0,50.39215686274511,50.39215686274511,15.854271356783931,4.14572864321607,历史1/1次成功; 当前距低点4.15%; 最新日涨幅3.62%; 状态bottom_area; 底部未确认
11,86.39917044322094,77.13497037022157,002708,光洋股份,bottom_area,2023-10-24,7.71,2023-10-23,7.43,3.7685060565275945,5.652759084791385,29.439696106362774,False,3.2129,10.0287,1,1,1,100.0,35.522388059701484,35.522388059701484,16.231493943472408,3.7685060565275945,历史1/1次成功; 当前距低点3.77%; 最新日涨幅3.21%; 状态bottom_area; 底部未确认
12,85.25475165792278,76.1770496180375,000688,国城矿业,bottom_area,2023-10-24,10.07,2023-10-23,9.7,3.8144329896907325,5.05154639175258,28.148148148148156,False,2.8601,0.4036,1,1,1,100.0,30.935251798561143,30.935251798561143,16.185567010309267,3.8144329896907325,历史1/1次成功; 当前距低点3.81%; 最新日涨幅2.86%; 状态bottom_area; 底部未确认
13,84.49265252180156,76.285943895186,300437,清水源,bottom_area,2023-10-24,12.14,2023-10-23,11.63,4.385210662080823,5.67497850386929,30.69129916567342,False,3.5836,1.879,5,6,5,83.33333333333334,24.628445545144793,30.330330330330323,15.614789337919177,4.385210662080823,历史5/6次成功; 当前距低点4.39%; 最新日涨幅3.58%; 状态bottom_area; 底部未确认
14,83.75262915954035,74.68387313589585,000524,岭南控股,bottom_area,2023-10-24,8.12,2023-10-23,7.83,3.703703703703693,3.9591315453384484,30.089285714285708,False,3.0457,0.8012,1,1,1,100.0,21.550094517958406,21.550094517958406,16.29629629629631,3.703703703703693,历史1/1次成功; 当前距低点3.70%; 最新日涨幅3.05%; 状态bottom_area; 底部未确认
15,82.77866705996415,74.25653543477439,002703,浙江世宝,bottom_area,2023-10-24,13.68,2023-10-23,13.15,4.030418250950565,6.311787072243346,28.91891891891892,False,2.6257,5.2073,1,1,1,100.0,23.257467994310083,23.257467994310083,15.969581749049436,4.030418250950565,历史1/1次成功; 当前距低点4.03%; 最新日涨幅2.63%; 状态bottom_area; 底部未确认
16,82.45527860015353,72.9977509585617,300488,恒锋工具,bottom_area,2023-10-24,21.55,2023-10-23,20.86,3.307766059443918,5.417066155321184,27.31707317073171,False,2.0843,1.7855,2,3,2,66.66666666666666,46.520381222726634,65.52470248827983,16.692233940556083,3.307766059443918,历史2/3次成功; 当前距低点3.31%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
17,80.49461785957541,70.61451916910781,300353,东土科技,bottom_area,2023-10-24,9.52,2023-10-24,9.26,2.8077753779697603,7.235421166306695,27.372549019607845,False,-4.7047,5.6868,1,1,1,100.0,21.377672209026137,21.377672209026137,17.192224622030242,2.8077753779697603,历史1/1次成功; 当前距低点2.81%; 最新日涨幅-4.70%; 状态bottom_area; 底部未确认
18,76.47713569092193,66.82412952022702,600009,上海机场,bottom_area,2023-10-24,35.25,2023-10-23,34.36,2.5902211874272427,2.619324796274734,29.777232781524628,False,1.9375,0.4179,2,4,2,50.0,23.97760122344691,27.704918032786885,17.409778812572757,2.5902211874272427,历史2/4次成功; 当前距低点2.59%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
19,74.04837797207833,64.96250585480094,300586,美联新材,bottom_area,2023-10-24,8.78,2023-10-23,8.54,2.8103044496487146,8.313817330210783,27.008547008547012,False,1.5029,1.3369,1,2,1,50.0,124.33414043583537,124.33414043583537,17.189695550351285,2.8103044496487146,历史1/2次成功; 当前距低点2.81%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
20,73.67493691381603,63.94089514909991,600328,中盐化工,bottom_area,2023-10-24,7.83,2023-10-23,7.66,2.219321148825064,3.7859007832898173,27.73584905660377,False,1.6883,0.6637,1,2,1,50.0,37.26315789473683,37.26315789473683,17.780678851174937,2.219321148825064,历史1/2次成功; 当前距低点2.22%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
21,72.31999476397135,63.75254719372667,002333,罗普斯金,bottom_area,2023-10-24,5.7,2023-10-23,5.53,3.0741410488245915,3.4358047016274775,32.64311814859927,False,2.1505,1.975,1,2,1,50.0,46.728971962616825,46.728971962616825,16.92585895117541,3.0741410488245915,历史1/2次成功; 当前距低点3.07%; 最新日涨幅2.15%; 状态bottom_area; 底部未确认
