rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.67000091488013,79.5037437678431,605108,同庆楼,bottom_area,2024-05-14,25.59,2024-05-14,25.01,2.3190723710515724,2.718912435025988,27.821067821067814,False,1.4671,1.0482,2,2,2,100.0,13.82381061204675,17.52165223184544,7.680927628948428,2.3190723710515724,历史2/2次成功; 当前距低点2.32%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
2,80.30283148153744,74.72124453999557,300721,怡达股份,bottom_area,2024-05-14,12.45,2024-05-14,12.3,1.2195121951219396,6.178861788617884,27.13270142180094,False,-2.9618,9.4563,3,4,3,75.0,17.93942120899778,22.270742358078603,8.78048780487806,1.2195121951219396,历史3/4次成功; 当前距低点1.22%; 最新日涨幅-2.96%; 状态bottom_area; 底部未确认
3,79.52662201230378,72.29692910209434,600421,退市华嵘,bottom_area,2024-05-14,5.61,2024-05-14,5.61,0.0,0.0,28.26086956521739,False,-9.9518,1.3324,2,2,2,100.0,31.435102699431873,44.900662251655625,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.95%; 状态bottom_area; 底部未确认
4,78.96776849692746,73.08071120538273,603139,康惠股份,bottom_area,2024-05-14,14.04,2024-05-14,13.91,0.9345794392523292,4.960460100647013,27.5897969807392,False,-5.7085,9.6075,3,3,3,100.0,18.180388854183054,29.315476190476186,9.06542056074767,0.9345794392523292,历史3/3次成功; 当前距低点0.93%; 最新日涨幅-5.71%; 状态bottom_area; 底部未确认
5,78.70683393132242,73.71015355662773,600990,四创电子,bottom_area,2024-05-14,20.21,2024-05-14,19.9,1.5577889447236295,5.477386934673366,27.079516306339325,False,-1.4146,7.6774,1,1,1,100.0,12.483399734395755,12.483399734395755,8.442211055276372,1.5577889447236295,历史1/1次成功; 当前距低点1.56%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
6,77.30341474341266,70.2758315849206,002197,证通电子,bottom_area,2024-05-14,5.83,2024-05-14,5.83,0.0,0.0,30.429594272076375,False,-5.0489,0.1553,2,2,2,100.0,20.568987015702117,29.919137466307287,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-5.05%; 状态bottom_area; 底部未确认
7,76.10495485992537,71.53912706219077,603232,格尔软件,bottom_area,2024-05-14,12.19,2024-05-14,11.98,1.7529215358931476,5.175292153589309,28.69047619047619,False,-2.7135,7.506,4,6,4,66.66666666666666,25.4253843944112,48.01488833746897,8.247078464106853,1.7529215358931476,历史4/6次成功; 当前距低点1.75%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
8,76.02123138601435,71.991517512664,603110,东方材料,bottom_area,2024-05-14,14.31,2024-05-14,14.01,2.1413276231263434,3.9971448965025016,27.220779220779225,False,-0.2787,6.1228,1,1,1,100.0,10.396475770925107,10.396475770925107,7.858672376873657,2.1413276231263434,历史1/1次成功; 当前距低点2.14%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
9,72.8841010954688,66.25827372315344,002829,星网宇达,bottom_area,2024-05-14,15.98,2024-05-14,15.98,0.0,0.0,30.822510822510825,False,-10.0225,1.8493,3,4,3,75.0,19.802546898674404,21.985417835109377,10.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-10.02%; 状态bottom_area; 底部未确认
10,68.6448613491989,67.42223974813241,688276,百克生物,bottom_area,2024-05-14,39.76,2024-04-26,38.21,4.056529704265891,9.343103899502749,30.778985507246382,True,0.5056,1.1947,2,3,2,66.66666666666666,16.529359178451564,16.844155844155843,5.94347029573411,4.056529704265891,历史2/3次成功; 当前距低点4.06%; 最新日涨幅0.51%; 状态bottom_area; 底部已确认
11,68.07284231203843,61.88440210185312,600360,华微电子,bottom_area,2024-05-14,4.33,2024-05-14,4.33,0.0,0.0,30.161290322580648,False,-5.0439,0.0948,2,3,2,66.66666666666666,31.009330296701332,45.695364238410576,10.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-5.04%; 状态bottom_area; 底部未确认
