rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,103.40785379446434,88.37661764705885,300348,长亮科技,bottom_area,2026-05-22,11.03,14.95,2026-05-22,10.88,1.3786764705882222,3.1249999999999987,27.22408026755852,26.220735785953174,False,0.0907,1.7915,2,2,2,100.0,61.67178134052256,87.71331058020478,18.62132352941178,1.3786764705882222,历史2/2次成功; 当前距低点1.38%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
2,100.09530161305564,85.20995240526811,605089,味知香,bottom_area,2026-05-22,22.6,31.08,2026-05-22,22.34,1.1638316920322362,2.6857654431513045,28.12097812097812,27.284427284427277,False,0.0,0.7204,2,2,2,100.0,30.341336898395717,38.50267379679143,18.836168307967764,1.1638316920322362,历史2/2次成功; 当前距低点1.16%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,95.54870254787043,82.48621652416921,601238,广汽集团,bottom_area,2026-05-22,6.34,8.67,2026-05-22,6.22,1.9292604501607735,2.572347266881031,28.258362168396772,26.874279123414073,False,0.0,0.2501,2,2,2,100.0,25.08027070180526,26.42487046632124,18.070739549839228,1.9292604501607735,历史2/2次成功; 当前距低点1.93%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,94.44483724551922,80.57793653883587,601390,中国中铁,bottom_area,2026-05-22,4.73,6.47,2026-05-22,4.67,1.2847965738758138,2.3554603854389793,27.820710973724882,26.893353941267378,False,-0.6303,0.7007,1,1,1,100.0,46.06060606060606,46.06060606060606,18.715203426124187,1.2847965738758138,历史1/1次成功; 当前距低点1.28%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
5,92.02518639906394,79.97854301262383,000912,泸天化,bottom_area,2026-05-22,4.01,5.43,2026-05-22,3.92,2.295918367346935,3.3163265306122423,27.80847145488029,26.151012891344383,False,1.7766,1.6043,4,5,4,80.0,26.092671452552917,33.20388349514563,17.704081632653065,2.295918367346935,历史4/5次成功; 当前距低点2.30%; 最新日涨幅1.78%; 状态bottom_area; 底部未确认
6,91.40059281184661,79.0305877696418,603277,银都股份,bottom_area,2026-05-22,12.65,17.69,2026-05-22,12.4,2.0161290322580645,2.8225806451612874,29.903900508762014,28.49067269643867,False,0.9577,0.2489,1,1,1,100.0,24.23312883435582,24.23312883435582,17.983870967741936,2.0161290322580645,历史1/1次成功; 当前距低点2.02%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
7,91.30740184476159,78.87018099547511,600808,马钢股份,bottom_area,2026-05-22,3.12,4.2,2026-05-22,3.06,1.960784313725492,2.6143790849673225,27.142857142857146,25.71428571428572,False,0.6452,1.3277,1,1,1,100.0,22.692307692307686,22.692307692307686,18.03921568627451,1.960784313725492,历史1/1次成功; 当前距低点1.96%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
8,90.77422629273818,78.8349856897938,688819,天能股份,bottom_area,2026-05-22,26.28,36.54,2026-05-22,25.7,2.256809338521408,2.4513618677042763,29.666119321291735,28.078817733990142,False,1.9395,0.3755,1,1,1,100.0,26.131779471089207,26.131779471089207,17.743190661478593,2.256809338521408,历史1/1次成功; 当前距低点2.26%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
9,89.02810258574739,75.96034783165719,600507,方大特钢,bottom_area,2026-05-22,4.72,6.5,2026-05-22,4.66,1.2875536480686611,3.0042918454935554,28.307692307692307,27.38461538461539,False,-0.2114,1.028,1,1,1,100.0,21.2686567164179,21.2686567164179,18.712446351931337,1.2875536480686611,历史1/1次成功; 当前距低点1.29%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
10,88.85137270912628,78.83884002584408,002866,传艺科技,bottom_area,2026-05-22,22.0,30.0,2026-05-21,21.27,3.432063939821347,6.39398213446168,29.100000000000005,26.666666666666668,False,3.3835,6.7193,1,1,1,100.0,40.55884843353091,40.55884843353091,16.567936060178653,3.432063939821347,历史1/1次成功; 当前距低点3.43%; 最新日涨幅3.38%; 状态bottom_area; 底部未确认
11,87.83460602925996,77.88910079168146,603399,永杉锂业,bottom_area,2026-05-22,17.95,25.52,2026-05-22,17.36,3.3986175115207367,3.3986175115207367,31.974921630094045,29.663009404388717,False,2.1047,11.704,1,1,1,100.0,35.04273504273506,35.04273504273506,16.601382488479267,3.3986175115207367,历史1/1次成功; 当前距低点3.40%; 最新日涨幅2.10%; 状态bottom_area; 底部未确认
