rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.84357616683032,79.16894091745219,002563,森马服饰,bottom_area,2024-08-16,4.84,2024-07-30,4.78,1.2552301255230043,7.531380753138063,29.080118694362017,True,-1.2245,0.3267,1,1,1,100.0,28.929384965831446,28.929384965831446,18.744769874476997,1.2552301255230043,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-1.22%; 状态bottom_area; 底部已确认
2,91.28308529226571,79.72321859586525,603218,日月股份,bottom_area,2024-08-16,9.6,2024-07-05,9.36,2.5641025641025665,10.256410256410266,27.216174183514774,True,-2.0408,0.5215,1,1,1,100.0,47.95361527967258,47.95361527967258,17.435897435897434,2.5641025641025665,历史1/1次成功; 当前距低点2.56%; 最新日涨幅-2.04%; 状态bottom_area; 底部已确认
3,90.68910056843323,80.67435326639767,000811,冰轮环境,bottom_area,2024-08-16,8.41,2024-07-24,8.12,3.571428571428583,11.083743842364537,31.64983164983166,True,-2.2093,0.8699,3,3,3,100.0,32.0817763938432,47.451868629671566,16.428571428571416,3.571428571428583,历史3/3次成功; 当前距低点3.57%; 最新日涨幅-2.21%; 状态bottom_area; 底部已确认
4,88.76619424079816,77.85832061068703,002687,乔治白,bottom_area,2024-08-16,4.04,2024-07-25,3.93,2.7989821882951618,5.852417302798981,32.82051282051282,False,-0.4926,0.529,1,1,1,100.0,64.00000000000001,64.00000000000001,17.201017811704837,2.7989821882951618,历史1/1次成功; 当前距低点2.80%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
5,85.69859059250246,75.61014356882279,001218,丽臣实业,bottom_area,2024-08-16,14.21,2024-07-25,13.78,3.120464441219169,6.603773584905662,30.404040404040412,False,-0.3506,0.6097,2,2,2,100.0,25.18711018711019,29.999999999999993,16.879535558780834,3.120464441219169,历史2/2次成功; 当前距低点3.12%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
6,84.32425533001793,76.06498586239395,002552,宝鼎科技,bottom_area,2024-08-16,11.07,2024-07-25,10.61,4.335532516493882,10.084825636192276,30.197368421052634,True,-0.4496,0.5113,1,1,1,100.0,52.23596574690771,52.23596574690771,15.66446748350612,4.335532516493882,历史1/1次成功; 当前距低点4.34%; 最新日涨幅-0.45%; 状态bottom_area; 底部已确认
7,83.3934220868441,73.55941516574926,603368,柳药集团,bottom_area,2024-08-16,16.92,2024-07-31,16.41,3.107861060329077,8.470444850700796,31.908713692946062,True,0.1183,1.2493,2,3,2,66.66666666666666,37.89608449802624,42.85714285714285,16.892138939670925,3.107861060329077,历史2/3次成功; 当前距低点3.11%; 最新日涨幅0.12%; 状态bottom_area; 底部已确认
8,82.56231829561138,73.48813160987079,000629,钒钛股份,bottom_area,2024-08-16,2.3,2024-07-25,2.22,3.6036036036035863,10.360360360360358,32.72727272727272,True,-1.7094,0.4724,1,1,1,100.0,27.173913043478265,27.173913043478265,16.396396396396415,3.6036036036035863,历史1/1次成功; 当前距低点3.60%; 最新日涨幅-1.71%; 状态bottom_area; 底部已确认
9,82.48003053831172,69.08298511561486,301606,绿联科技,bottom_area,2024-08-16,28.98,2024-08-13,28.9,0.2768166089965462,5.294117647058828,30.34466136418415,False,-3.0445,17.3719,1,1,1,100.0,21.957671957671955,21.957671957671955,19.723183391003456,0.2768166089965462,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-3.04%; 状态bottom_area; 底部未确认
10,82.02165899195752,74.80912047119233,000789,万年青,bottom_area,2024-08-16,4.46,2024-07-09,4.25,4.941176470588235,9.88235294117647,29.752066115702476,True,-2.8322,0.4953,2,2,2,100.0,34.00539152759949,47.599999999999994,15.058823529411766,4.941176470588235,历史2/2次成功; 当前距低点4.94%; 最新日涨幅-2.83%; 状态bottom_area; 底部已确认
11,80.05609855145421,68.31710333116887,600343,航天动力,bottom_area,2024-08-16,7.81,2024-08-13,7.71,1.2970168612191912,5.447470817120633,31.16071428571428,False,-2.4969,2.7534,2,4,2,50.0,38.62527835886361,55.72413793103447,18.70298313878081,1.2970168612191912,历史2/4次成功; 当前距低点1.30%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
