rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.59612988904469,76.87420175020085,300436,广生堂,bottom_area,2025-06-26,33.44,2025-06-20,32.52,2.829028290282886,7.595325953259528,29.671280276816603,True,-1.9067,4.5923,1,1,1,100.0,35.88379705400981,35.88379705400981,17.170971709717115,2.829028290282886,历史1/1次成功; 当前距低点2.83%; 最新日涨幅-1.91%; 状态bottom_area; 底部已确认
2,87.21478026326419,77.58370023419205,002678,珠江钢琴,bottom_area,2025-06-26,4.93,2025-06-23,4.76,3.57142857142857,4.201680672268911,29.79351032448378,False,0.2033,1.5343,1,1,1,100.0,35.5191256830601,35.5191256830601,16.42857142857143,3.57142857142857,历史1/1次成功; 当前距低点3.57%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
3,83.37079196665402,74.88615384615385,001230,劲旅环境,bottom_area,2025-06-26,20.3,2025-06-23,19.5,4.102564102564106,6.9230769230769305,30.629669156883672,False,-1.1203,6.2329,1,1,1,100.0,84.69119579500656,84.69119579500656,15.897435897435896,4.102564102564106,历史1/1次成功; 当前距低点4.10%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
4,83.36110556809862,73.33862884326138,600770,综艺股份,bottom_area,2025-06-26,5.21,2025-06-23,5.06,2.964426877470363,4.545454545454554,32.980132450331126,False,-0.9506,2.2972,1,1,1,100.0,27.72861356932153,27.72861356932153,17.035573122529637,2.964426877470363,历史1/1次成功; 当前距低点2.96%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
5,82.64328440001297,72.60483373927778,603681,永冠新材,bottom_area,2025-06-26,14.61,2025-06-20,14.2,2.887323943661973,5.492957746478881,29.000000000000004,False,-0.8147,3.5774,1,1,1,100.0,22.83834586466165,22.83834586466165,17.112676056338028,2.887323943661973,历史1/1次成功; 当前距低点2.89%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
6,82.47375997759416,74.38054054054054,301260,格力博,bottom_area,2025-06-26,19.3,2025-06-23,18.5,4.324324324324328,5.999999999999997,29.3353705118411,False,-0.924,2.941,1,1,1,100.0,58.71313672922254,58.71313672922254,15.675675675675674,4.324324324324328,历史1/1次成功; 当前距低点4.32%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
7,81.72214594039058,73.95428571428573,000605,渤海股份,bottom_area,2025-06-26,6.95,2025-06-20,6.65,4.5112781954887184,6.46616541353383,29.25531914893617,False,-0.5722,2.6305,1,1,1,100.0,56.66666666666668,56.66666666666668,15.488721804511282,4.5112781954887184,历史1/1次成功; 当前距低点4.51%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
8,79.11306277733458,70.88265377779703,002615,哈尔斯,bottom_area,2025-06-26,8.13,2025-06-23,7.82,3.964194373401541,5.1150895140665,30.673758865248217,False,-0.4896,10.048,1,1,1,100.0,26.779661016949152,26.779661016949152,16.03580562659846,3.964194373401541,历史1/1次成功; 当前距低点3.96%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
9,78.81666069699007,70.38034160405383,603327,福蓉科技,bottom_area,2025-06-26,9.06,2025-06-23,8.73,3.780068728522337,5.154639175257723,28.148148148148145,False,-0.8753,0.6719,1,1,1,100.0,21.82203389830509,21.82203389830509,16.219931271477662,3.780068728522337,历史1/1次成功; 当前距低点3.78%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
10,74.76664161196095,65.37584225900683,605136,丽人丽妆,bottom_area,2025-06-26,10.54,2025-06-26,10.27,2.629016553067182,4.67380720545278,29.318651066758434,False,0.7648,7.0042,1,2,1,50.0,52.667814113597245,52.667814113597245,17.37098344693282,2.629016553067182,历史1/2次成功; 当前距低点2.63%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
11,74.40373944917786,67.80686658558069,003025,思进智能,bottom_area,2025-06-26,13.28,2025-06-23,12.66,4.897314375987356,6.161137440758289,27.98634812286689,False,-0.8955,1.3884,1,1,1,100.0,21.681415929203535,21.681415929203535,15.102685624012647,4.897314375987356,历史1/1次成功; 当前距低点4.90%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
