rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.52941483701701,85.0996625550778,002176,江特电机,bottom_area,2025-12-09,9.45,2025-12-05,9.34,1.17773019271948,4.817987152034254,27.428127428127425,False,-2.0725,2.9733,5,5,5,100.0,19.058534378915056,39.01808785529715,8.82226980728052,1.17773019271948,历史5/5次成功; 当前距低点1.18%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
2,88.84619111210112,82.8483700030873,601127,赛力斯,bottom_area,2025-12-09,124.0,2025-11-24,122.37,1.332025823322706,7.232164746261334,28.854651162790695,True,-1.2582,1.0497,8,9,8,88.88888888888889,23.726702462585248,42.19143576826195,8.667974176677294,1.332025823322706,历史8/9次成功; 当前距低点1.33%; 最新日涨幅-1.26%; 状态bottom_area; 底部已确认
3,87.86693077370413,83.63127191783943,300598,诚迈科技,bottom_area,2025-12-09,46.38,2025-12-05,45.29,2.4067122985206524,4.52638551556636,29.234375,False,-1.2981,2.9467,5,5,5,100.0,26.22890300250812,45.24950099800398,7.5932877014793485,2.4067122985206524,历史5/5次成功; 当前距低点2.41%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
4,84.83146607617681,81.06387947393972,000803,山高环能,bottom_area,2025-12-09,6.67,2025-12-05,6.5,2.615384615384614,3.8461538461538463,32.22106360792492,False,0.0,2.316,2,2,2,100.0,25.843851596863644,36.1111111111111,7.384615384615387,2.615384615384614,历史2/2次成功; 当前距低点2.62%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,82.90635970061658,78.05951260019742,002759,天际股份,bottom_area,2025-12-09,34.9,2025-12-08,34.27,1.8383425736795898,7.090749927049897,27.33248515691263,True,-4.1209,13.7868,4,5,4,80.0,33.660933699929515,72.99787384833452,8.16165742632041,1.8383425736795898,历史4/5次成功; 当前距低点1.84%; 最新日涨幅-4.12%; 状态bottom_area; 底部已确认
6,82.11081030030903,81.36880726650318,000619,海螺新材,bottom_area,2025-12-09,6.47,2025-11-21,6.19,4.523424878836823,7.108239095315015,27.85547785547785,True,-1.372,2.6008,4,4,4,100.0,30.81836553898465,43.133047210300425,5.476575121163178,4.523424878836823,历史4/4次成功; 当前距低点4.52%; 最新日涨幅-1.37%; 状态bottom_area; 底部已确认
7,82.01790259719905,78.6219292148809,002459,晶澳科技,bottom_area,2025-12-09,11.46,2025-12-05,11.15,2.7802690582959686,3.4080717488789145,27.12418300653595,False,0.3503,1.2624,5,6,5,83.33333333333334,17.51402867990521,26.683937823834192,7.219730941704032,2.7802690582959686,历史5/6次成功; 当前距低点2.78%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
8,81.69668143704888,76.68007087281218,300358,楚天科技,bottom_area,2025-12-09,9.11,2025-12-05,8.96,1.6741071428571268,4.575892857142839,27.74193548387096,False,-1.8319,2.2175,3,4,3,75.0,34.04319977702382,38.205499276411004,8.325892857142874,1.6741071428571268,历史3/4次成功; 当前距低点1.67%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
9,81.57929199843088,74.4288880626103,000661,长春高新,bottom_area,2025-12-09,96.19,2025-12-09,96.01,0.1874804707842856,3.291323820435368,32.27763278549764,False,-3.0343,1.8788,3,3,3,100.0,16.270664172034742,25.03526756324649,9.812519529215715,0.1874804707842856,历史3/3次成功; 当前距低点0.19%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
10,79.27118410257819,76.55682043618015,603178,圣龙股份,bottom_area,2025-12-09,18.22,2025-12-05,17.66,3.1710079275198115,4.0203850509626315,28.182187881252542,False,-0.3282,0.7652,6,7,6,85.71428571428571,28.51538369929118,47.51869476546566,6.8289920724801885,3.1710079275198115,历史6/7次成功; 当前距低点3.17%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
11,77.79875343052564,74.58551169966967,603197,保隆科技,bottom_area,2025-12-09,35.05,2025-11-21,34.1,2.7859237536656765,5.014662756598243,27.431368376250266,False,-1.4342,0.8116,5,6,5,83.33333333333334,18.355293143516597,23.07435811937312,7.214076246334324,2.7859237536656765,历史5/6次成功; 当前距低点2.79%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
12,77.20759473036969,71.18413911029894,688050,爱博医疗,bottom_area,2025-12-09,60.07,2025-11-21,59.63,0.7378836156297128,3.5552574207613574,28.86794703566742,False,-1.8304,1.0448,2,2,2,100.0,12.024267494272554,12.90770757525636,9.262116384370287,0.7378836156297128,历史2/2次成功; 当前距低点0.74%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
13,76.89348414283435,73.72529838105667,300035,中科电气,bottom_area,2025-12-09,20.99,2025-12-05,20.42,2.791380999020552,5.729676787463261,29.097222222222218,False,-2.1901,3.4599,1,1,1,100.0,27.686274509803933,27.686274509803933,7.208619000979449,2.791380999020552,历史1/1次成功; 当前距低点2.79%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
14,76.20466648968683,73.16165941660672,003038,鑫铂股份,bottom_area,2025-12-09,15.82,2025-11-24,15.38,2.86085825747724,5.7867360208062335,28.76331635016211,False,-1.9219,1.7505,1,1,1,100.0,25.507614213197975,25.507614213197975,7.13914174252276,2.86085825747724,历史1/1次成功; 当前距低点2.86%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
15,76.15578077131697,69.95472567003898,688190,云路股份,bottom_area,2025-12-09,94.31,2025-12-05,93.8,0.543710021321967,3.7100213219616247,27.73497688751927,False,-1.7809,0.4559,1,1,1,100.0,19.70099203576919,19.70099203576919,9.456289978678035,0.543710021321967,历史1/1次成功; 当前距低点0.54%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
16,76.07595793313321,69.29733966099819,301177,迪阿股份,bottom_area,2025-12-09,28.89,2025-12-09,28.86,0.10395010395010788,1.593901593901597,30.070268960504006,False,-1.6008,0.2321,1,1,1,100.0,10.776053215077603,10.776053215077603,9.896049896049892,0.10395010395010788,历史1/1次成功; 当前距低点0.10%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
17,73.63758646302507,72.78765862845924,603938,三孚股份,bottom_area,2025-12-09,18.07,2025-11-21,17.31,4.390525707683429,8.08781051415368,27.45180217937972,False,0.1663,1.8938,1,1,1,100.0,19.774501300954046,19.774501300954046,5.6094742923165715,4.390525707683429,历史1/1次成功; 当前距低点4.39%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
18,72.91220124734642,67.50210598801303,000998,隆平高科,bottom_area,2025-12-09,9.52,2025-12-09,9.43,0.9544008483563081,1.2725344644750902,27.40569668976136,False,-0.3141,1.3591,1,1,1,100.0,11.549139367018313,11.549139367018313,9.045599151643692,0.9544008483563081,历史1/1次成功; 当前距低点0.95%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
19,72.79387220498114,71.7934713743549,002104,恒宝股份,bottom_area,2025-12-09,18.3,2025-12-04,17.55,4.273504273504273,7.578347578347569,27.027027027027028,True,-1.9818,4.1016,3,4,3,75.0,30.441188806154024,43.85245901639344,5.726495726495727,4.273504273504273,历史3/4次成功; 当前距低点4.27%; 最新日涨幅-1.98%; 状态bottom_area; 底部已确认
20,72.61750618443487,71.67587463678716,603173,福斯达,bottom_area,2025-12-09,38.44,2025-11-24,36.85,4.314789687924006,6.1058344640434195,32.86573146292585,False,-0.1818,3.6199,1,1,1,100.0,35.34190927555856,35.34190927555856,5.685210312075995,4.314789687924006,历史1/1次成功; 当前距低点4.31%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
21,70.63117117519116,67.53300743216897,002706,良信股份,bottom_area,2025-12-09,9.7,2025-11-24,9.45,2.6455026455026456,6.560846560846572,27.083333333333343,False,-2.2177,2.8016,4,6,4,66.66666666666666,14.828423641120084,19.37406855439642,7.354497354497355,2.6455026455026456,历史4/6次成功; 当前距低点2.65%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
22,69.23912982262374,68.04245296095576,002291,遥望科技,bottom_area,2025-12-09,6.88,2025-12-05,6.61,4.084720121028738,5.597579425113466,28.77155172413792,False,-0.1451,5.1299,3,4,3,75.0,17.153843209146633,27.107438016528935,5.915279878971263,4.084720121028738,历史3/4次成功; 当前距低点4.08%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
23,68.85323622141462,67.44111185760909,300768,迪普科技,bottom_area,2025-12-09,19.39,2025-12-05,18.66,3.9121114683815668,6.216505894962488,27.05238467552775,False,-0.5641,1.8038,2,3,2,66.66666666666666,46.52720074651822,47.28781110402041,6.087888531618433,3.9121114683815668,历史2/3次成功; 当前距低点3.91%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
24,68.24284467924485,65.26416676816383,688337,普源精电,bottom_area,2025-12-09,36.7,2025-12-04,35.75,2.6573426573426655,5.398601398601397,28.499999999999996,False,-1.6613,0.6506,3,6,3,50.0,38.886602295188766,54.46153846153845,7.342657342657335,2.6573426573426655,历史3/6次成功; 当前距低点2.66%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
25,66.81546679845432,65.12250733565564,300612,宣亚国际,bottom_area,2025-12-09,17.31,2025-12-05,16.7,3.6526946107784397,7.544910179640728,28.418345477925417,True,-2.4789,10.7741,3,5,3,60.0,19.465865850701544,25.592417061611382,6.347305389221561,3.6526946107784397,历史3/5次成功; 当前距低点3.65%; 最新日涨幅-2.48%; 状态bottom_area; 底部已确认
26,62.65453396776251,56.95866724342046,600383,金地集团,bottom_area,2025-12-09,3.14,2025-12-09,3.14,0.0,2.866242038216556,31.140350877192972,False,-3.0864,2.4159,2,4,2,50.0,23.971329265701364,32.594936708860764,10.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
27,60.8181442984282,57.09542393386429,002468,申通快递,bottom_area,2025-12-09,13.88,2025-11-21,13.65,1.684981684981688,6.2271062271062245,31.988041853512705,False,-2.4596,1.4943,1,2,1,50.0,16.382699868938413,16.382699868938413,8.315018315018314,1.684981684981688,历史1/2次成功; 当前距低点1.68%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
28,60.67026517553828,56.10762166435948,000695,滨海能源,bottom_area,2025-12-09,13.49,2025-12-09,13.37,0.8975317875841511,6.133133881824984,30.545454545454547,False,-4.7316,10.5595,3,6,3,50.0,18.13975344113619,21.910112359550556,9.10246821241585,0.8975317875841511,历史3/6次成功; 当前距低点0.90%; 最新日涨幅-4.73%; 状态bottom_area; 底部未确认
29,59.314217989005066,57.16351161154115,600104,上汽集团,bottom_area,2025-12-09,15.15,2025-11-21,14.7,3.0612244897959258,7.959183673469387,28.74454677653902,True,-0.5906,0.4611,1,2,1,50.0,24.425287356321842,24.425287356321842,6.938775510204074,3.0612244897959258,历史1/2次成功; 当前距低点3.06%; 最新日涨幅-0.59%; 状态bottom_area; 底部已确认
30,57.266258229299595,55.634147457904206,002017,东信和平,bottom_area,2025-12-09,21.1,2025-12-04,20.39,3.4820990681706756,5.394801373222157,29.373051610668515,False,-0.7059,1.3744,1,3,1,33.33333333333333,50.390015600624025,50.390015600624025,6.517900931829325,3.4820990681706756,历史1/3次成功; 当前距低点3.48%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
31,51.21925960968421,49.64260286117269,688348,昱能科技,bottom_area,2025-12-09,51.7,2025-12-05,50.02,3.3586565373850448,5.497800879648141,30.796900940785832,False,-1.317,0.6936,1,3,1,33.33333333333333,16.27422813482398,16.27422813482398,6.641343462614955,3.3586565373850448,历史1/3次成功; 当前距低点3.36%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
