rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.78627545096371,84.28771665989404,603368,柳药集团,bottom_area,2024-07-16,16.9,2024-07-16,16.7,1.1976047904191574,3.413173652694613,30.705394190871377,False,-2.3686,2.1494,3,3,3,100.0,31.603524634675978,42.85714285714285,13.802395209580842,1.1976047904191574,历史3/3次成功; 当前距低点1.20%; 最新日涨幅-2.37%; 状态bottom_area; 底部未确认
2,92.95727844634624,82.7242619457211,600973,宝胜股份,bottom_area,2024-07-16,3.27,2024-07-16,3.23,1.2383900928792582,2.4767801857585163,30.237580993520517,False,-0.3049,0.6566,2,2,2,100.0,40.36446966390223,46.551724137931025,13.761609907120743,1.2383900928792582,历史2/2次成功; 当前距低点1.24%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
3,92.79287937195765,81.8034648898737,000065,北方国际,bottom_area,2024-07-16,9.61,2024-07-09,9.54,0.7337526205450764,4.088050314465415,28.000000000000007,False,0.0,0.5205,3,3,3,100.0,29.926993896325044,41.48061104582843,14.266247379454924,0.7337526205450764,历史3/3次成功; 当前距低点0.73%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,92.24276267164356,82.40923524894228,002246,北化股份,bottom_area,2024-07-16,7.71,2024-07-16,7.6,1.4473684210526359,3.157894736842108,28.098391674550623,False,-1.9084,2.0788,3,3,3,100.0,24.565780908291877,31.992687385740403,13.552631578947363,1.4473684210526359,历史3/3次成功; 当前距低点1.45%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
5,91.6176123496731,82.01193331054778,688215,瑞晟智能,bottom_area,2024-07-16,16.35,2024-07-16,16.1,1.5527950310559004,2.7329192546583707,32.860717264386984,False,0.0,0.4552,2,2,2,100.0,17.915623555673264,18.13676907829534,13.4472049689441,1.5527950310559004,历史2/2次成功; 当前距低点1.55%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,90.66054441213187,80.661780884611,601717,中创智领,bottom_area,2024-07-16,13.21,2024-07-16,13.05,1.2260536398467443,1.6091954022988433,27.900552486187845,False,-0.3771,0.8451,2,2,2,100.0,29.124640771298786,35.43478260869567,13.773946360153255,1.2260536398467443,历史2/2次成功; 当前距低点1.23%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
7,89.2297003299531,82.11990881458966,600094,大名城,bottom_area,2024-07-16,3.39,2024-07-09,3.29,3.0395136778115526,9.118541033434644,30.000000000000004,True,-0.2941,0.3904,2,2,2,100.0,51.71595225176342,87.28070175438596,11.960486322188446,3.0395136778115526,历史2/2次成功; 当前距低点3.04%; 最新日涨幅-0.29%; 状态bottom_area; 底部已确认
8,88.82425927436026,80.77276165028408,601886,江河集团,bottom_area,2024-07-16,4.7,2024-07-09,4.59,2.3965141612200505,5.228758169934646,27.488151658767773,False,-0.2123,0.5874,3,3,3,100.0,27.40222547239673,33.5540838852097,12.60348583877995,2.3965141612200505,历史3/3次成功; 当前距低点2.40%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
9,88.78271562395756,79.36008007737453,001218,丽臣实业,bottom_area,2024-07-16,14.44,2024-07-09,14.23,1.4757554462403308,6.60576247364722,28.131313131313128,False,-1.2312,0.957,2,2,2,100.0,25.18711018711019,29.999999999999993,13.524244553759669,1.4757554462403308,历史2/2次成功; 当前距低点1.48%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
10,86.22806290842232,78.55421446384037,002687,乔治白,bottom_area,2024-07-16,4.11,2024-07-09,4.01,2.493765586034926,6.733167082294276,31.45299145299145,False,-1.2019,0.6078,1,1,1,100.0,64.00000000000001,64.00000000000001,12.506234413965073,2.493765586034926,历史1/1次成功; 当前距低点2.49%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
11,85.88569109053913,76.64961026526493,603215,比依股份,bottom_area,2024-07-16,11.66,2024-07-09,11.5,1.3913043478260883,6.956521739130441,32.70918665886483,False,-0.5119,1.4484,3,4,3,75.0,30.412818162948412,36.01562499999999,13.60869565217391,1.3913043478260883,历史3/4次成功; 当前距低点1.39%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
12,84.30873029600548,76.99906435057241,605099,共创草坪,bottom_area,2024-07-16,18.35,2024-07-09,17.88,2.6286353467561656,9.060402684563766,28.96305125148988,True,-3.4211,0.17,1,1,1,100.0,44.31372549019606,44.31372549019606,12.371364653243834,2.6286353467561656,历史1/1次成功; 当前距低点2.63%; 最新日涨幅-3.42%; 状态bottom_area; 底部已确认
13,84.22895698875811,77.41163596168015,000629,钒钛股份,bottom_area,2024-07-16,2.43,2024-07-10,2.36,2.9661016949152663,6.779661016949159,28.484848484848484,False,0.0,0.3777,1,1,1,100.0,27.173913043478265,27.173913043478265,12.033898305084733,2.9661016949152663,历史1/1次成功; 当前距低点2.97%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
14,84.15686500761957,76.60488591259397,002557,洽洽食品,bottom_area,2024-07-16,27.18,2024-07-09,26.53,2.4500565397662966,4.033169996230683,31.001300390117038,False,0.0,0.4296,1,1,1,100.0,16.510832383124292,16.510832383124292,12.549943460233703,2.4500565397662966,历史1/1次成功; 当前距低点2.45%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
15,84.13281015938986,76.20521203263915,603325,博隆技术,bottom_area,2024-07-16,60.8,2024-07-16,59.5,2.1848739495798273,2.8403361344537776,31.356714351638214,False,-0.0986,1.6475,1,1,1,100.0,33.584541062801925,33.584541062801925,12.815126050420172,2.1848739495798273,历史1/1次成功; 当前距低点2.18%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
16,84.04245341282157,77.89680875354496,688151,华强科技,bottom_area,2024-07-16,11.49,2024-07-09,11.11,3.4203420342034274,9.36093609360937,27.051871306631654,True,-1.2887,0.6638,2,2,2,100.0,31.9633795243483,32.022471910112344,11.579657965796573,3.4203420342034274,历史2/2次成功; 当前距低点3.42%; 最新日涨幅-1.29%; 状态bottom_area; 底部已确认
17,83.9920204656429,78.78296218560882,603218,日月股份,bottom_area,2024-07-16,9.74,2024-07-05,9.36,4.0598290598290685,6.623931623931635,27.216174183514774,False,0.309,0.4082,1,1,1,100.0,47.95361527967258,47.95361527967258,10.940170940170932,4.0598290598290685,历史1/1次成功; 当前距低点4.06%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
18,83.38821276124591,76.52083350000353,603282,亚光股份,bottom_area,2024-07-16,15.7,2024-07-09,15.26,2.883355176933155,7.7326343381389355,27.848699763593377,True,-0.507,0.6117,1,1,1,100.0,34.64991023339317,34.64991023339317,12.116644823066844,2.883355176933155,历史1/1次成功; 当前距低点2.88%; 最新日涨幅-0.51%; 状态bottom_area; 底部已确认
19,82.99764072665634,77.85572605192002,600155,华创云信,bottom_area,2024-07-16,5.89,2024-07-08,5.66,4.063604240282677,7.59717314487632,27.806122448979586,True,-0.1695,0.4736,2,2,2,100.0,39.627654407336166,46.19883040935671,10.936395759717323,4.063604240282677,历史2/2次成功; 当前距低点4.06%; 最新日涨幅-0.17%; 状态bottom_area; 底部已确认
20,81.25106949444042,76.31189232869497,002254,泰和新材,bottom_area,2024-07-16,8.32,2024-07-09,7.99,4.1301627033792245,8.760951188986224,31.416309012875537,True,-1.0702,0.6803,2,2,2,100.0,32.14335103440648,38.58695652173914,10.869837296620775,4.1301627033792245,历史2/2次成功; 当前距低点4.13%; 最新日涨幅-1.07%; 状态bottom_area; 底部已确认
21,81.13426761799309,75.74848111658456,601388,怡球资源,bottom_area,2024-07-16,2.18,2024-07-09,2.1,3.809523809523813,7.619047619047604,29.292929292929294,True,0.4608,0.5185,3,4,3,75.0,23.544061302681985,35.632183908045974,11.190476190476186,3.809523809523813,历史3/4次成功; 当前距低点3.81%; 最新日涨幅0.46%; 状态bottom_area; 底部已确认
22,80.54829131174463,75.89933096000027,605567,春雪食品,bottom_area,2024-07-16,7.51,2024-07-09,7.2,4.30555555555555,7.638888888888887,29.961089494163417,True,-0.9235,2.0525,2,2,2,100.0,32.07525605734906,36.46616541353383,10.69444444444445,4.30555555555555,历史2/2次成功; 当前距低点4.31%; 最新日涨幅-0.92%; 状态bottom_area; 底部已确认
23,80.38942345284936,70.26775270333805,002677,浙江美大,bottom_area,2024-07-16,7.22,2024-07-16,7.2,0.27777777777777185,2.499999999999996,31.753554502369667,False,-2.957,0.7928,1,1,1,100.0,18.124118476727787,18.124118476727787,14.722222222222229,0.27777777777777185,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-2.96%; 状态bottom_area; 底部未确认
24,80.31821264431751,75.19499940303204,001308,康冠科技,bottom_area,2024-07-16,22.06,2024-07-09,21.22,3.9585296889726664,6.456173421300665,29.101236217841635,False,0.1362,1.1145,1,1,1,100.0,27.421758569299566,27.421758569299566,11.041470311027332,3.9585296889726664,历史1/1次成功; 当前距低点3.96%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
