rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,78.05729552261158,70.9611777478287,601155,新城控股,bottom_area,2022-03-15,21.76,2022-03-15,21.76,0.0,9.191176470588234,31.999999999999996,False,-10.0083,1.4413,2,2,2,100.0,24.2536438055306,24.642857142857142,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
2,77.4636188893151,72.1213003452244,601901,方正证券,confirmed_rebound,2022-03-15,6.48,2022-03-09,6.4,1.250000000000001,10.156249999999991,29.51541850220264,False,-3.4277,0.3484,1,1,1,100.0,20.598388952819345,20.598388952819345,8.75,1.250000000000001,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-3.43%; 状态confirmed_rebound; 底部未确认
3,75.61983971853012,68.74530883502737,688079,美迪凯,bottom_area,2022-03-15,12.14,2022-03-15,12.14,0.0,7.084019769357491,27.73809523809524,False,-6.1098,0.6655,1,1,1,100.0,29.007036747458958,29.007036747458958,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-6.11%; 状态bottom_area; 底部未确认
4,74.96468609250542,68.50705395719596,601598,中国外运,bottom_area,2022-03-15,3.66,2022-03-15,3.65,0.27397260273973234,6.8493150684931505,29.807692307692314,False,-6.3939,3.8889,1,1,1,100.0,18.82640586797067,18.82640586797067,9.72602739726027,0.27397260273973234,历史1/1次成功; 当前距低点0.27%; 最新日涨幅-6.39%; 状态bottom_area; 底部未确认
5,73.7214814474967,67.01952858863336,001202,炬申股份,confirmed_rebound,2022-03-15,16.42,2022-03-15,16.42,0.0,11.449451887941528,28.234265734265723,False,-9.9781,22.7023,2,2,2,100.0,13.277035422760038,14.164133738601837,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态confirmed_rebound; 底部未确认
6,73.21283885407341,66.55712623097583,688025,杰普特,bottom_area,2022-03-15,43.78,2022-03-15,43.78,0.0,7.332115121059847,29.659383033419022,False,-6.1924,4.9771,1,1,1,100.0,17.242614145031336,17.242614145031336,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-6.19%; 状态bottom_area; 底部未确认
7,73.16655066530195,66.5150460593654,688258,卓易信息,bottom_area,2022-03-15,26.95,2022-03-15,26.95,0.0,4.9350649350649425,30.68415637860083,False,-5.339,1.9395,1,1,1,100.0,17.01637666325486,17.01637666325486,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-5.34%; 状态bottom_area; 底部未确认
8,72.92596177822283,66.91731208282101,688196,卓越新能,bottom_area,2022-03-15,59.66,2022-03-15,59.37,0.4884621862893703,6.956375273707264,29.489311163895493,False,-5.4217,3.1535,1,1,1,100.0,12.908633696563292,12.908633696563292,9.51153781371063,0.4884621862893703,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-5.42%; 状态bottom_area; 底部未确认
9,72.08313056379824,65.53011869436203,300483,首华燃气,bottom_area,2022-03-15,14.7,2022-03-15,14.7,0.0,8.027210884353753,29.156626506024104,False,-7.7213,6.5418,1,1,1,100.0,11.721068249258165,11.721068249258165,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-7.72%; 状态bottom_area; 底部未确认
10,72.02937500000002,65.48125,600250,南京商旅,bottom_area,2022-03-15,5.2,2022-03-15,5.2,0.0,8.846153846153845,27.068723702664794,False,-7.3084,5.2225,1,1,1,100.0,11.45833333333333,11.45833333333333,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-7.31%; 状态bottom_area; 底部未确认
11,66.94542125624788,66.5365375062097,601236,红塔证券,confirmed_rebound,2022-03-15,8.95,2022-03-09,8.55,4.678362573099398,11.111111111111102,32.464454976303315,True,-1.9715,0.5676,1,1,1,100.0,13.189269746646792,13.189269746646792,5.321637426900602,4.678362573099398,历史1/1次成功; 当前距低点4.68%; 最新日涨幅-1.97%; 状态confirmed_rebound; 底部已确认
12,58.12947016568416,53.50396600760716,000037,深南电A,bottom_area,2022-03-15,6.2,2022-03-15,6.16,0.6493506493506499,6.980519480519476,27.272727272727277,False,-5.7751,0.8925,1,2,1,50.0,34.43271767810025,34.43271767810025,9.35064935064935,0.6493506493506499,历史1/2次成功; 当前距低点0.65%; 最新日涨幅-5.78%; 状态bottom_area; 底部未确认
13,53.597107142857155,48.72464285714286,000968,蓝焰控股,bottom_area,2022-03-15,7.33,2022-03-15,7.33,0.0,9.14051841746248,28.696498054474702,False,-8.375,2.0602,1,2,1,50.0,13.035714285714295,13.035714285714295,10.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-8.38%; 状态bottom_area; 底部未确认
