rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
29,76.89728699490814,71.82358493220566,688179,阿拉丁,bottom_area,2022-09-20,35.56,2022-09-19,35.4,0.45197740112995394,3.474576271186452,31.594202898550726,False,-0.5315,1.0115,2,2,2,100.0,11.957491434311619,12.021924482338617,7.5480225988700465,0.45197740112995394,历史2/2次成功; 当前距低点0.45%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
30,76.7764522786157,76.22616394955077,000936,华西股份,bottom_area,2022-09-20,5.43,2022-09-19,5.24,3.6259541984732726,4.007633587786259,29.284750337381915,False,2.4528,0.8225,2,2,2,100.0,12.222255494999095,13.427561837455826,4.374045801526727,3.6259541984732726,历史2/2次成功; 当前距低点3.63%; 最新日涨幅2.45%; 状态bottom_area; 底部未确认
31,76.67716383110225,75.37600951374206,603186,华正新材,bottom_area,2022-09-20,21.55,2022-09-19,20.9,3.1100478468899624,3.7320574162679483,29.795095733960363,False,1.8913,1.0108,1,1,1,100.0,17.994186046511643,17.994186046511643,4.889952153110038,3.1100478468899624,历史1/1次成功; 当前距低点3.11%; 最新日涨幅1.89%; 状态bottom_area; 底部未确认
32,76.32899629778112,75.85008633562612,002800,天顺股份,bottom_area,2022-09-20,22.3,2022-09-19,21.51,3.672710367271032,6.3691306369130505,31.387559808612437,False,0.0,16.6832,2,2,2,100.0,10.773472973140159,11.768447837150124,4.327289632728968,3.672710367271032,历史2/2次成功; 当前距低点3.67%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
33,76.24110747474589,76.15529868749236,688280,精进电动,bottom_area,2022-09-20,9.23,2022-09-19,8.88,3.9414414414414374,5.292792792792779,29.411764705882348,False,3.3595,1.7414,1,1,1,100.0,32.37518910741301,32.37518910741301,4.058558558558563,3.9414414414414374,历史1/1次成功; 当前距低点3.94%; 最新日涨幅3.36%; 状态bottom_area; 底部未确认
34,75.35958417384833,73.97452915979265,600237,铜峰电子,bottom_area,2022-09-20,6.11,2022-09-19,5.93,3.0354131534570086,3.709949409780787,32.53697383390216,False,2.0033,1.6698,1,1,1,100.0,9.544468546637733,9.544468546637733,4.964586846542991,3.0354131534570086,历史1/1次成功; 当前距低点3.04%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
35,75.25809951119354,75.39828845781484,600196,复星医药,confirmed_rebound,2022-09-20,32.27,2022-09-14,31.0,4.096774193548397,10.516129032258057,31.049822064056944,True,0.2485,0.7048,2,2,2,100.0,14.56415924250103,15.356166586267886,3.903225806451603,4.096774193548397,历史2/2次成功; 当前距低点4.10%; 最新日涨幅0.25%; 状态confirmed_rebound; 底部已确认
36,75.0708,69.51,002110,三钢闽光,bottom_area,2022-09-20,5.06,2022-09-19,5.06,0.0,2.7667984189723436,31.897711978465683,False,-0.1972,0.1789,1,1,1,100.0,22.90322580645161,22.90322580645161,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
37,74.98086648524684,72.11488151658764,002693,双成药业,bottom_area,2022-09-20,4.65,2022-09-19,4.56,1.9736842105263324,3.947368421052645,29.520865533230296,False,-0.641,2.2652,1,1,1,100.0,9.00473933649289,9.00473933649289,6.026315789473668,1.9736842105263324,历史1/1次成功; 当前距低点1.97%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
38,74.96431605021822,70.06168624637547,600126,杭钢股份,bottom_area,2022-09-20,4.15,2022-09-19,4.13,0.48426150121066497,2.421307506053282,27.670753064798596,False,-0.7177,0.2651,1,1,1,100.0,19.54732510288064,19.54732510288064,7.515738498789336,0.48426150121066497,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
39,74.63475359810084,69.77335545147183,688298,东方生物,bottom_area,2022-09-20,78.56,2022-09-20,78.17,0.4989126263272362,2.213125239861845,30.01790510295434,False,-0.4814,1.3086,4,5,4,80.0,11.510087309128625,15.470039788586028,7.501087373672764,0.4989126263272362,历史4/5次成功; 当前距低点0.50%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
40,74.59502250388094,73.60224799602754,300376,易事特,bottom_area,2022-09-20,6.88,2022-09-19,6.66,3.3033033033032995,4.204204204204208,29.14893617021277,False,1.4749,0.6061,1,1,1,100.0,10.826771653543304,10.826771653543304,4.6966966966967005,3.3033033033032995,历史1/1次成功; 当前距低点3.30%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
41,73.9428692206904,75.31218161366613,300484,蓝海华腾,bottom_area,2022-09-20,11.44,2022-09-19,10.9,4.954128440366964,5.596330275229352,28.52459016393442,False,3.6232,1.787,2,2,2,100.0,23.589217514531214,28.708133971291865,3.045871559633036,4.954128440366964,历史2/2次成功; 当前距低点4.95%; 最新日涨幅3.62%; 状态bottom_area; 底部未确认
42,73.82468121984552,74.18805126686689,002012,凯恩股份,bottom_area,2022-09-20,5.39,2022-09-19,5.17,4.255319148936165,4.255319148936165,31.523178807947016,False,2.4715,2.2903,1,1,1,100.0,25.646123260437374,25.646123260437374,3.7446808510638356,4.255319148936165,历史1/1次成功; 当前距低点4.26%; 最新日涨幅2.47%; 状态bottom_area; 底部未确认
43,73.09288983182641,73.11341289509521,603192,汇得科技,bottom_area,2022-09-20,19.95,2022-09-19,19.18,4.014598540145983,4.848800834202293,27.595318988297468,False,3.0475,0.8186,1,1,1,100.0,16.917728852838945,16.917728852838945,3.985401459854017,4.014598540145983,历史1/1次成功; 当前距低点4.01%; 最新日涨幅3.05%; 状态bottom_area; 底部未确认
44,72.65651721472668,68.0558979438852,000728,国元证券,bottom_area,2022-09-20,6.71,2022-09-16,6.67,0.599700149925038,4.1979010494752655,27.735644637053092,False,-0.2972,1.0534,1,1,1,100.0,10.178571428571434,10.178571428571434,7.400299850074962,0.599700149925038,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
45,71.27640571664513,67.77542357187289,688202,美迪西,bottom_area,2022-09-20,235.56,2022-09-19,232.35,1.3815364751452583,4.140305573488274,29.26725318883376,False,-0.5446,1.63,2,3,2,66.66666666666666,17.304624024394695,23.795418261555337,6.618463524854742,1.3815364751452583,历史2/3次成功; 当前距低点1.38%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
46,70.62802685705611,71.12937931034486,300635,中达安,bottom_area,2022-09-20,13.62,2022-09-19,13.05,4.367816091954011,5.210727969348657,30.805938494167545,False,3.1818,0.9897,1,1,1,100.0,10.580645161290327,10.580645161290327,3.632183908045989,4.367816091954011,历史1/1次成功; 当前距低点4.37%; 最新日涨幅3.18%; 状态bottom_area; 底部未确认
47,69.91916014196389,70.55847449651797,601222,林洋能源,bottom_area,2022-09-20,7.24,2022-09-19,6.93,4.473304473304481,5.33910533910534,32.5875486381323,False,1.9718,1.114,1,1,1,100.0,8.804347826086962,8.804347826086962,3.5266955266955198,4.473304473304481,历史1/1次成功; 当前距低点4.47%; 最新日涨幅1.97%; 状态bottom_area; 底部未确认
48,60.54719772727273,59.536875,000545,金浦钛业,bottom_area,2022-09-20,3.96,2022-09-19,3.84,3.1250000000000027,3.645833333333337,28.22429906542056,False,2.5907,1.4446,1,2,1,50.0,24.6875,24.6875,4.874999999999997,3.1250000000000027,历史1/2次成功; 当前距低点3.13%; 最新日涨幅2.59%; 状态bottom_area; 底部未确认
