rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
68,65.00183957836349,61.245363323861945,300543,朗科智能,bottom_area,2022-09-29,8.69,2022-09-29,8.53,1.8757327080890993,2.5791324736225163,31.760000000000005,False,0.8121,1.0338,1,2,1,50.0,18.559322033898297,18.559322033898297,8.1242672919109,1.8757327080890993,历史1/2次成功; 当前距低点1.88%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
69,62.21875969182447,56.9831819532009,605319,无锡振华,bottom_area,2022-09-29,12.93,2022-09-29,12.88,0.38819875776396684,1.5527950310558951,31.343283582089555,False,0.0774,0.715,1,2,1,50.0,17.248790972595383,17.248790972595383,9.611801242236034,0.38819875776396684,历史1/2次成功; 当前距低点0.39%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
70,60.65217061154461,57.456278510752234,688060,云涌科技,bottom_area,2022-09-29,41.17,2022-09-20,40.3,2.1588089330024927,7.766749379652612,27.216904460899404,True,-2.6714,0.5033,1,2,1,50.0,14.937434827945786,14.937434827945786,7.841191066997507,2.1588089330024927,历史1/2次成功; 当前距低点2.16%; 最新日涨幅-2.67%; 状态bottom_area; 底部已确认
71,59.57540749951724,54.773359539858426,000676,智度股份,bottom_area,2022-09-29,5.11,2022-09-29,5.08,0.590551181102367,3.9370078740157513,30.219780219780223,False,-1.5414,0.9039,1,2,1,50.0,30.321592649310862,30.321592649310862,9.409448818897634,0.590551181102367,历史1/2次成功; 当前距低点0.59%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
72,59.56645431547803,54.665928750017855,002080,中材科技,bottom_area,2022-09-29,20.28,2022-09-29,20.18,0.49554013875124586,2.5768087215064397,29.661903102126182,False,-0.1969,0.5791,1,2,1,50.0,28.579356270810223,28.579356270810223,9.504459861248755,0.49554013875124586,历史1/2次成功; 当前距低点0.50%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
73,58.34838719941442,53.56843457573357,601686,友发集团,bottom_area,2022-09-29,5.85,2022-09-29,5.82,0.5154639175257621,3.2646048109965546,31.770222743259076,False,-1.0152,0.5388,1,2,1,50.0,22.923076923076927,22.923076923076927,9.48453608247424,0.5154639175257621,历史1/2次成功; 当前距低点0.52%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
74,57.36043812199508,52.37361134682994,000679,大连友谊,bottom_area,2022-09-29,4.39,2022-09-29,4.38,0.22831050228310015,7.7625570776255675,29.354838709677423,False,-2.4444,3.0823,1,2,1,50.0,12.979351032448374,12.979351032448374,9.7716894977169,0.22831050228310015,历史1/2次成功; 当前距低点0.23%; 最新日涨幅-2.44%; 状态bottom_area; 底部未确认
75,56.21130475429887,51.83529813161504,002112,三变科技,bottom_area,2022-09-29,6.74,2022-09-29,6.69,0.7473841554559016,4.484304932735423,32.21884498480242,False,-1.3177,4.9253,1,2,1,50.0,16.44803229061553,16.44803229061553,9.2526158445441,0.7473841554559016,历史1/2次成功; 当前距低点0.75%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
76,56.01745850876592,51.5273529796737,300556,丝路视觉,bottom_area,2022-09-29,16.33,2022-09-29,16.23,0.6161429451632647,4.004929143561298,28.122232063773247,False,-1.3293,1.8343,1,2,1,50.0,13.183649971214734,13.183649971214734,9.383857054836737,0.6161429451632647,历史1/2次成功; 当前距低点0.62%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
77,56.01025582345354,51.62835354756756,002745,木林森,bottom_area,2022-09-29,8.33,2022-09-29,8.27,0.7255139056831983,3.385731559854911,27.328646748681905,False,-1.0689,1.0375,1,2,1,50.0,15.06734006734006,15.06734006734006,9.274486094316803,0.7255139056831983,历史1/2次成功; 当前距低点0.73%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
78,53.9987282581449,49.187569150601675,000338,潍柴动力,bottom_area,2022-09-29,9.6,2022-09-29,9.59,0.10427528675703635,3.1282586027111647,27.786144578313248,False,-1.6393,0.8523,1,3,1,33.33333333333333,13.774104683195592,13.774104683195592,9.895724713242965,0.10427528675703635,历史1/3次成功; 当前距低点0.10%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
79,53.185194375308626,53.080085295515545,688021,奥福科技,bottom_area,2022-09-29,21.21,2022-09-26,20.22,4.896142433234432,8.110781404549954,31.643002028397564,True,-0.1882,1.0537,1,2,1,50.0,24.96392496392497,24.96392496392497,5.103857566765569,4.896142433234432,历史1/2次成功; 当前距低点4.90%; 最新日涨幅-0.19%; 状态bottom_area; 底部已确认
