rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.5306051125092,79.5050380972653,688075,安旭生物,bottom_area,2022-12-27,85.45,2022-12-27,85.0,0.5294117647058857,4.494117647058816,28.499327052489903,False,-4.0858,7.6159,4,4,4,100.0,31.086542584917854,40.134529147982065,14.470588235294112,0.5294117647058857,历史4/4次成功; 当前距低点0.53%; 最新日涨幅-4.09%; 状态bottom_area; 底部未确认
2,85.68650132210884,76.49631860126271,002795,永和智控,bottom_area,2022-12-27,8.64,2022-12-27,8.52,1.408450704225364,5.633802816901413,30.731707317073177,False,-1.8182,3.1337,1,1,1,100.0,25.632183908045985,25.632183908045985,13.591549295774636,1.408450704225364,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
3,83.6185983071361,75.01679852664698,000919,金陵药业,bottom_area,2022-12-27,7.91,2022-12-27,7.78,1.6709511568123379,4.241645244215928,30.22421524663677,False,-2.3457,3.2156,1,1,1,100.0,20.8955223880597,20.8955223880597,13.329048843187664,1.6709511568123379,历史1/1次成功; 当前距低点1.67%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
4,82.96664469340624,76.10840793390273,002423,中粮资本,bottom_area,2022-12-27,7.18,2022-12-23,6.98,2.8653295128939726,4.441260744985668,28.41025641025641,False,1.1268,1.2656,1,1,1,100.0,18.932038834951456,18.932038834951456,12.134670487106026,2.8653295128939726,历史1/1次成功; 当前距低点2.87%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
5,82.79953163105056,75.96058630912559,000411,英特集团,bottom_area,2022-12-27,12.19,2022-12-27,11.85,2.8691983122362856,7.42616033755275,29.840142095914747,False,-4.5419,5.3524,2,2,2,100.0,34.206228285076975,47.98426745329401,12.130801687763713,2.8691983122362856,历史2/2次成功; 当前距低点2.87%; 最新日涨幅-4.54%; 状态bottom_area; 底部未确认
6,80.93169849325723,74.5070444486394,300542,新晨科技,bottom_area,2022-12-27,11.8,2022-12-23,11.45,3.056768558951978,4.716157205240183,27.89672544080605,False,-1.1725,1.6561,2,2,2,100.0,18.47568152177371,21.587301587301592,11.943231441048022,3.056768558951978,历史2/2次成功; 当前距低点3.06%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
7,80.72562322542748,71.07131457681993,002838,道恩股份,bottom_area,2022-12-27,18.22,2022-12-27,18.1,0.6629834254143504,4.309392265193356,27.830940988835717,False,-3.5469,2.966,2,2,2,100.0,20.71460638045511,24.95606326889279,14.337016574585649,0.6629834254143504,历史2/2次成功; 当前距低点0.66%; 最新日涨幅-3.55%; 状态bottom_area; 底部未确认
8,78.38252411733161,72.4718151536477,603289,泰瑞机器,bottom_area,2022-12-27,9.11,2022-12-23,8.82,3.287981859410421,5.555555555555558,29.888712241653415,False,-1.1931,1.5512,1,1,1,100.0,27.034482758620705,27.034482758620705,11.712018140589578,3.287981859410421,历史1/1次成功; 当前距低点3.29%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
9,77.97746703424941,71.77250423011847,002269,美邦服饰,bottom_area,2022-12-27,2.03,2022-12-23,1.97,3.0456852791878086,7.61421319796955,27.30627306273063,True,-1.9324,3.439,2,3,2,66.66666666666666,95.19246688741721,173.50993377483442,11.95431472081219,3.0456852791878086,历史2/3次成功; 当前距低点3.05%; 最新日涨幅-1.93%; 状态bottom_area; 底部已确认
10,77.78829980934057,68.02622783855148,000597,东北制药,bottom_area,2022-12-27,6.62,2022-12-27,6.6,0.30303030303031003,7.727272727272738,29.032258064516135,False,-9.6862,8.9987,1,1,1,100.0,16.59751037344398,16.59751037344398,14.696969696969688,0.30303030303031003,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-9.69%; 状态bottom_area; 底部未确认
11,77.5130928857462,72.74581748276066,688167,炬光科技,bottom_area,2022-12-27,96.47,2022-12-26,92.68,4.089339663357781,7.682347863616734,27.423649177760375,False,-0.0207,2.7967,2,2,2,100.0,21.66404255492686,23.41569581359622,10.91066033664222,4.089339663357781,历史2/2次成功; 当前距低点4.09%; 最新日涨幅-0.02%; 状态bottom_area; 底部未确认
12,77.11891513099528,72.39370992643718,002395,双象股份,bottom_area,2022-12-27,10.15,2022-12-20,9.75,4.102564102564106,5.641025641025648,28.62371888726208,False,-0.6849,0.8008,1,1,1,100.0,36.59976387249114,36.59976387249114,10.897435897435894,4.102564102564106,历史1/1次成功; 当前距低点4.10%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
13,75.18820540343147,70.5337060841991,001332,锡装股份,bottom_area,2022-12-27,58.35,2022-12-23,56.07,4.06634563937935,5.796326021045122,32.874416377349455,False,-1.1017,4.6935,1,1,1,100.0,26.155774956903304,26.155774956903304,10.93365436062065,4.06634563937935,历史1/1次成功; 当前距低点4.07%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
14,67.06529196723406,59.48266804544136,002116,中国海诚,bottom_area,2022-12-27,10.5,2022-12-27,10.39,1.0587102983638057,2.983638113570729,27.696590118302012,False,0.1908,2.255,1,3,1,33.33333333333333,18.51179673321235,18.51179673321235,13.941289701636194,1.0587102983638057,历史1/3次成功; 当前距低点1.06%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
15,63.227606951871714,57.326363636363666,002693,双成药业,bottom_area,2022-12-27,7.31,2022-12-27,7.15,2.2377622377622273,8.25174825174825,27.77777777777778,False,-5.5556,5.4929,1,2,1,50.0,34.61538461538462,34.61538461538462,12.76223776223777,2.2377622377622273,历史1/2次成功; 当前距低点2.24%; 最新日涨幅-5.56%; 状态bottom_area; 底部未确认
16,61.674671498615005,55.865027420246946,002786,银宝山新,bottom_area,2022-12-27,7.01,2022-12-22,6.86,2.186588921282791,5.685131195335272,31.05527638190954,False,-1.8207,3.1502,1,2,1,50.0,15.916398713826371,15.916398713826371,12.813411078717207,2.186588921282791,历史1/2次成功; 当前距低点2.19%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
17,58.96791844553027,53.65343161710603,000650,仁和药业,bottom_area,2022-12-27,6.33,2022-12-27,6.18,2.4271844660194235,7.281553398058256,27.20848056537103,False,-4.5249,6.1385,1,2,1,50.0,17.19038817005545,17.19038817005545,12.572815533980574,2.4271844660194235,历史1/2次成功; 当前距低点2.43%; 最新日涨幅-4.52%; 状态bottom_area; 底部未确认
18,58.710873307858975,54.75092558323349,000159,国际实业,bottom_area,2022-12-27,6.92,2022-12-23,6.67,3.7481259370314843,7.346326836581713,32.48987854251013,True,-1.983,2.9652,1,2,1,50.0,19.8744769874477,19.8744769874477,11.251874062968515,3.7481259370314843,历史1/2次成功; 当前距低点3.75%; 最新日涨幅-1.98%; 状态bottom_area; 底部已确认
19,57.66261197924559,54.666095038835195,688115,思林杰,bottom_area,2022-12-27,39.98,2022-12-23,38.21,4.632295210677823,5.312745354619213,31.375718390804597,False,1.3178,1.7559,1,2,1,50.0,16.977032898820603,16.977032898820603,10.367704789322177,4.632295210677823,历史1/2次成功; 当前距低点4.63%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
20,55.48814601026151,49.21612775418087,688298,东方生物,bottom_area,2022-12-27,81.0,2022-12-27,80.15,1.0605115408608787,6.912039925140351,32.63573709867204,False,-5.4953,6.32,1,6,1,16.666666666666664,15.470039788586028,15.470039788586028,13.93948845913912,1.0605115408608787,历史1/6次成功; 当前距低点1.06%; 最新日涨幅-5.50%; 状态bottom_area; 底部未确认
21,53.858028958849495,50.02705575307029,605266,健之佳,bottom_area,2022-12-27,71.45,2022-12-27,69.01,3.535719460947685,5.796261411389653,27.035314019877344,False,-0.7639,2.706,1,3,1,33.33333333333333,20.511627906976745,20.511627906976745,11.464280539052314,3.535719460947685,历史1/3次成功; 当前距低点3.54%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
22,50.026015931566185,46.23379523223773,688185,康希诺,bottom_area,2022-12-27,148.02,2022-12-27,143.34,3.264964420259527,6.732245011859918,30.417475728155335,False,-5.0545,6.9841,1,5,1,20.0,19.236097367900253,19.236097367900253,11.735035579740472,3.264964420259527,历史1/5次成功; 当前距低点3.26%; 最新日涨幅-5.05%; 状态bottom_area; 底部未确认
