rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.33149120219352,85.94853120941617,601689,拓普集团,bottom_area,2024-02-01,49.47,2024-02-01,47.95,3.1699687174139646,6.9864442127215725,27.216150576806303,False,1.4977,1.3917,4,4,4,100.0,25.570214436129103,47.99107142857144,4.830031282586035,3.1699687174139646,历史4/4次成功; 当前距低点3.17%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
2,84.5976374488714,81.19155279503107,000678,襄阳轴承,bottom_area,2024-02-01,4.92,2024-02-01,4.83,1.8633540372670776,4.968944099378887,27.368421052631582,False,-3.5294,3.6703,2,2,2,100.0,68.2777295253666,121.62162162162164,6.136645962732922,1.8633540372670776,历史2/2次成功; 当前距低点1.86%; 最新日涨幅-3.53%; 状态bottom_area; 底部未确认
3,82.2597624021396,82.19750571372506,603290,斯达半导,bottom_area,2024-02-01,132.03,2024-02-01,127.0,3.9606299212598435,6.47244094488189,28.631638100590052,False,3.6342,1.7987,4,4,4,100.0,15.095386742997356,23.2822670787034,4.0393700787401565,3.9606299212598435,历史4/4次成功; 当前距低点3.96%; 最新日涨幅3.63%; 状态bottom_area; 底部未确认
4,82.18784907867797,77.80923076923077,000985,大庆华科,confirmed_rebound,2024-02-01,13.15,2024-02-01,13.0,1.1538461538461564,9.230769230769226,28.88402625820569,False,-8.7439,4.5038,1,1,1,100.0,56.687898089171995,56.687898089171995,6.846153846153843,1.1538461538461564,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-8.74%; 状态confirmed_rebound; 底部未确认
5,81.9981039649897,80.80309175396883,300437,清水源,bottom_area,2024-02-01,9.25,2024-02-01,8.96,3.2366071428571326,6.584821428571426,29.337539432176644,False,-2.8361,2.8806,7,7,7,100.0,21.196537847758496,30.330330330330323,4.763392857142867,3.2366071428571326,历史7/7次成功; 当前距低点3.24%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
6,81.36242160103677,75.77171034854186,300461,田中精机,bottom_area,2024-02-01,16.73,2024-02-01,16.68,0.299760191846527,4.376498800959236,27.097902097902093,False,-2.7326,4.0829,2,2,2,100.0,31.318083795440543,39.80283425754775,7.700239808153474,0.299760191846527,历史2/2次成功; 当前距低点0.30%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
7,81.02066141647082,81.68193384566429,605111,新洁能,confirmed_rebound,2024-02-01,30.93,2024-01-31,29.62,4.422687373396349,9.250506414584734,29.274116523400195,True,2.7575,3.4328,4,4,4,100.0,19.008930414021304,36.800373134328346,3.577312626603651,4.422687373396349,历史4/4次成功; 当前距低点4.42%; 最新日涨幅2.76%; 状态confirmed_rebound; 底部已确认
8,81.0138685335278,78.23644764541187,002803,吉宏股份,bottom_area,2024-02-01,14.49,2024-02-01,14.18,2.186177715091682,5.0775740479548706,31.990407673860915,False,-0.5491,4.192,2,2,2,100.0,27.854477611940297,41.25000000000001,5.813822284908318,2.186177715091682,历史2/2次成功; 当前距低点2.19%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
9,80.87630257216955,78.11502719234706,600366,宁波韵升,bottom_area,2024-02-01,5.59,2024-02-01,5.47,2.193784277879344,3.8391224862888476,30.318471337579616,False,0.1792,1.0998,1,1,1,100.0,21.488469601677156,21.488469601677156,5.8062157221206565,2.193784277879344,历史1/1次成功; 当前距低点2.19%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
10,80.75508107235233,76.4495360442798,603079,圣达生物,bottom_area,2024-02-01,10.54,2024-02-01,10.42,1.151631477927056,5.470249520153554,28.08833678398896,False,-1.4032,1.8219,1,1,1,100.0,22.232558139534888,22.232558139534888,6.848368522072944,1.151631477927056,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
11,80.57987542411004,76.22059241908848,002304,洋河股份,bottom_area,2024-02-01,91.2,2024-01-31,90.2,1.1086474501108647,3.037694013303764,29.3546365914787,False,-0.1205,0.3267,1,1,1,100.0,20.474777448071226,20.474777448071226,6.891352549889135,1.1086474501108647,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
12,80.1946006721716,78.06147210579418,603267,鸿远电子,bottom_area,2024-02-01,33.96,2024-02-01,33.1,2.5981873111782456,5.558912386706937,27.124614707177454,False,1.5247,2.0747,2,2,2,100.0,9.491070834841842,9.963574030426395,5.401812688821754,2.5981873111782456,历史2/2次成功; 当前距低点2.60%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
13,79.48552450538865,76.54615225865626,603198,迎驾贡酒,bottom_area,2024-02-01,50.0,2024-02-01,49.0,2.0408163265306123,4.061224489795922,27.41816027255222,False,-0.5173,0.5773,1,1,1,100.0,33.65168539325842,33.65168539325842,5.959183673469388,2.0408163265306123,历史1/1次成功; 当前距低点2.04%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
14,78.98655365634137,75.25634602661472,605598,上海港湾,bottom_area,2024-02-01,17.77,2024-02-01,17.51,1.4848657909765732,5.596801827527109,27.704376548307174,False,-2.7367,7.1172,1,1,1,100.0,19.902365752910256,19.902365752910256,6.515134209023427,1.4848657909765732,历史1/1次成功; 当前距低点1.48%; 最新日涨幅-2.74%; 状态bottom_area; 底部未确认
15,78.79595715337389,75.92817306523719,301337,亚华电子,bottom_area,2024-02-01,33.0,2024-02-01,32.33,2.072378595731524,6.186204763377668,32.6317982913107,False,-1.2863,25.8018,2,2,2,100.0,14.04944227690898,18.994064354889115,5.927621404268476,2.072378595731524,历史2/2次成功; 当前距低点2.07%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
16,78.65831221091814,73.98526213045011,300357,我武生物,bottom_area,2024-02-01,21.0,2024-02-01,20.83,0.8161305808929511,4.176668266922713,28.419243986254305,False,-1.6854,0.7848,3,3,3,100.0,11.376558359602342,13.65142478462557,7.183869419107049,0.8161305808929511,历史3/3次成功; 当前距低点0.82%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
17,78.30122003530312,75.63992189609452,600305,恒顺醋业,bottom_area,2024-02-01,7.89,2024-02-01,7.72,2.2020725388601026,3.2383419689119175,32.45844269466317,False,0.1269,0.3895,1,1,1,100.0,8.283049917718035,8.283049917718035,5.797927461139897,2.2020725388601026,历史1/1次成功; 当前距低点2.20%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
18,78.25057606410765,73.60994885376178,688116,天奈科技,bottom_area,2024-02-01,18.4,2024-02-01,18.25,0.8219178082191704,4.712328767123284,27.808544303797472,False,-1.0753,2.4186,3,3,3,100.0,9.429685250007996,11.226578491576134,7.178082191780829,0.8219178082191704,历史3/3次成功; 当前距低点0.82%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
19,78.16223495879458,72.95001977411192,000887,中鼎股份,bottom_area,2024-02-01,9.73,2024-02-01,9.69,0.41279669762642857,4.437564499484002,28.487084870848715,False,-2.3092,1.6447,2,2,2,100.0,17.53331314354936,23.84615384615385,7.587203302373571,0.41279669762642857,历史2/2次成功; 当前距低点0.41%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
20,78.03025347097179,74.71541958399513,688233,神工股份,confirmed_rebound,2024-02-01,20.43,2024-02-01,20.08,1.7430278884462223,8.665338645418338,28.260092890317974,False,-2.8069,2.491,2,2,2,100.0,13.707113815336058,19.261213720316633,6.256972111553778,1.7430278884462223,历史2/2次成功; 当前距低点1.74%; 最新日涨幅-2.81%; 状态confirmed_rebound; 底部未确认
21,78.00518053919751,76.76662892664756,001209,洪兴股份,bottom_area,2024-02-01,14.33,2024-02-01,13.89,3.1677465802735743,6.839452843772492,28.586118251928017,False,-2.517,8.8805,3,3,3,100.0,15.317694245544681,21.88679245283018,4.832253419726426,3.1677465802735743,历史3/3次成功; 当前距低点3.17%; 最新日涨幅-2.52%; 状态bottom_area; 底部未确认
22,77.96939788539233,75.4592280579609,002841,视源股份,bottom_area,2024-02-01,34.27,2024-02-01,33.5,2.2985074626865765,4.53731343283583,27.331887201735363,False,0.0292,0.8081,1,1,1,100.0,8.493683187560732,8.493683187560732,5.701492537313424,2.2985074626865765,历史1/1次成功; 当前距低点2.30%; 最新日涨幅0.03%; 状态bottom_area; 底部未确认
23,77.88918754383032,72.50482893697932,000635,英力特,confirmed_rebound,2024-02-01,7.25,2024-02-01,7.23,0.27662517289072713,9.266943291839556,30.480769230769226,False,-8.575,5.5502,3,3,3,100.0,17.234055543925752,26.334519572953745,7.723374827109273,0.27662517289072713,历史3/3次成功; 当前距低点0.28%; 最新日涨幅-8.57%; 状态confirmed_rebound; 底部未确认
