rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.8198281396131,76.38781120762613,002041,登海种业,bottom_area,2023-05-26,15.48,2023-05-26,15.31,1.1103853690398429,1.8288700195950316,27.783018867924525,False,-0.129,0.2862,1,1,1,100.0,21.395106715252467,21.395106715252467,18.889614630960157,1.1103853690398429,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-0.13%; 状态bottom_area; 底部未确认
2,88.7216770891087,76.07333882640519,688289,圣湘生物,bottom_area,2023-05-26,18.26,2023-04-26,17.98,1.5572858731924424,12.45828698553948,27.058823529411757,False,-0.1094,0.4765,1,1,1,100.0,25.182530200451346,25.182530200451346,18.44271412680756,1.5572858731924424,历史1/1次成功; 当前距低点1.56%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
3,88.14533341867346,74.71399071925752,688077,大地熊,bottom_area,2023-05-26,26.1,2023-05-22,25.86,0.9280742459396829,3.3642691415313264,32.83116883116883,False,-1.435,0.8641,1,1,1,100.0,53.68518518518518,53.68518518518518,19.071925754060317,0.9280742459396829,历史1/1次成功; 当前距低点0.93%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
4,86.08399260655646,75.91643114286799,688028,沃尔德,bottom_area,2023-05-26,22.31,2023-05-26,21.64,3.096118299445463,3.096118299445463,32.35386058143169,False,0.0,0.6717,1,1,1,100.0,20.728929384965834,20.728929384965834,16.90388170055454,3.096118299445463,历史1/1次成功; 当前距低点3.10%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,84.6442978125307,75.38439390455345,688075,安旭生物,bottom_area,2023-05-26,67.0,2023-05-10,64.65,3.634957463263719,7.6566125290023015,30.37906525953047,True,-0.0746,1.3053,4,5,4,80.0,31.086542584917854,40.134529147982065,16.365042536736283,3.634957463263719,历史4/5次成功; 当前距低点3.63%; 最新日涨幅-0.07%; 状态bottom_area; 底部已确认
6,84.35557762191624,74.22383510503236,300762,上海瀚讯,bottom_area,2023-05-26,11.78,2023-05-10,11.44,2.9720279720279708,6.206293706293714,27.50316856780735,False,-1.2573,1.2191,1,1,1,100.0,32.580961727183514,32.580961727183514,17.02797202797203,2.9720279720279708,历史1/1次成功; 当前距低点2.97%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
7,81.27589689656072,69.3060536595571,002245,蔚蓝锂芯,bottom_area,2023-05-26,10.48,2023-05-26,10.35,1.2560386473430027,3.3816425120772915,31.818181818181817,False,-2.0561,1.5615,2,3,2,66.66666666666666,23.995457574368096,25.653923541247494,18.743961352657,1.2560386473430027,历史2/3次成功; 当前距低点1.26%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
8,70.19098042384252,60.588305577583924,002570,贝因美,bottom_area,2023-05-26,4.24,2023-05-26,4.16,1.9230769230769247,2.1634615384615348,27.90294627383015,False,0.0,0.6493,1,3,1,33.33333333333333,35.05154639175259,35.05154639175259,18.076923076923077,1.9230769230769247,历史1/3次成功; 当前距低点1.92%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,69.57298450147033,60.70625634220593,002405,四维图新,bottom_area,2023-05-26,11.42,2023-05-16,11.14,2.5134649910233335,4.039497307001789,27.75616083009079,False,0.4398,0.7414,1,2,1,50.0,23.478260869565215,23.478260869565215,17.486535008976666,2.5134649910233335,历史1/2次成功; 当前距低点2.51%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
10,69.00576004455667,57.621399631675885,601369,陕鼓动力,bottom_area,2023-05-26,9.06,2023-05-10,9.05,0.11049723756905842,7.182320441988933,32.31114435302916,True,-2.3707,0.8699,1,3,1,33.33333333333333,55.572755417956664,55.572755417956664,19.889502762430944,0.11049723756905842,历史1/3次成功; 当前距低点0.11%; 最新日涨幅-2.37%; 状态bottom_area; 底部已确认
11,64.9747974254782,58.533158515585804,600203,福日电子,bottom_area,2023-05-26,5.87,2023-05-15,5.63,4.262877442273538,8.348134991119,28.824273072060684,True,0.1706,0.8644,1,2,1,50.0,24.045801526717554,24.045801526717554,15.737122557726464,4.262877442273538,历史1/2次成功; 当前距低点4.26%; 最新日涨幅0.17%; 状态bottom_area; 底部已确认
12,63.61310493318149,54.52551851415557,600984,建设机械,bottom_area,2023-05-26,4.62,2023-05-26,4.55,1.5384615384615448,2.4175824175824245,27.200000000000003,False,-0.216,0.7156,1,3,1,33.33333333333333,20.21439509954057,20.21439509954057,18.461538461538456,1.5384615384615448,历史1/3次成功; 当前距低点1.54%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
13,63.030143120784615,52.72938877834774,000792,盐湖股份,bottom_area,2023-05-26,18.93,2023-05-26,18.89,0.2117522498676503,4.076230809952353,28.01067073170731,False,-3.7621,0.8529,1,2,1,50.0,24.904214559386965,24.904214559386965,19.788247750132353,0.2117522498676503,历史1/2次成功; 当前距低点0.21%; 最新日涨幅-3.76%; 状态bottom_area; 底部未确认
