rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,79.70113310296023,75.97580035094562,000980,众泰汽车,bottom_area,2022-03-10,3.62,2022-03-09,3.45,4.927536231884055,4.927536231884055,31.1377245508982,False,4.9275,0.3778,1,1,1,100.0,43.49775784753364,43.49775784753364,10.072463768115943,4.927536231884055,历史1/1次成功; 当前距低点4.93%; 最新日涨幅4.93%; 状态bottom_area; 底部未确认
2,79.69177562637113,74.09876806434228,688258,卓易信息,bottom_area,2022-03-10,29.14,2022-03-09,28.13,3.5904728048347017,8.425168858869538,27.649176954732518,False,0.6911,1.4516,1,1,1,100.0,17.01637666325486,17.01637666325486,11.409527195165298,3.5904728048347017,历史1/1次成功; 当前距低点3.59%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
3,77.21995812081961,72.57265357160438,603156,养元饮品,bottom_area,2022-03-10,23.51,2022-03-09,22.57,4.1648205582631865,6.335844040762072,28.801261829652997,False,1.819,0.1732,1,1,1,100.0,15.851851851851857,15.851851851851857,10.835179441736813,4.1648205582631865,历史1/1次成功; 当前距低点4.16%; 最新日涨幅1.82%; 状态bottom_area; 底部未确认
4,74.69782074504444,69.8650503452244,601901,方正证券,bottom_area,2022-03-10,6.65,2022-03-09,6.4,3.90625,10.156249999999991,29.51541850220264,False,-0.1502,0.2357,1,1,1,100.0,20.598388952819345,20.598388952819345,11.09375,3.90625,历史1/1次成功; 当前距低点3.91%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
5,65.09191428600643,58.58537549407112,603233,大参林,bottom_area,2022-03-10,30.92,2022-03-09,30.36,1.8445322793148957,7.0487483530961805,27.368421052631575,True,-1.2771,0.7127,1,2,1,50.0,17.155425219941353,17.155425219941353,13.155467720685104,1.8445322793148957,历史1/2次成功; 当前距低点1.84%; 最新日涨幅-1.28%; 状态bottom_area; 底部已确认
6,56.088987260862176,53.528189429618024,002111,威海广泰,bottom_area,2022-03-10,9.26,2022-03-09,8.82,4.988662131519268,7.482993197278913,31.415241057542765,False,0.9815,0.8346,1,2,1,50.0,15.227629513343796,15.227629513343796,10.011337868480732,4.988662131519268,历史1/2次成功; 当前距低点4.99%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
