rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.13000467500497,87.34382309249334,002459,晶澳科技,bottom_area,2025-12-05,11.35,2025-12-05,11.15,1.793721973094164,2.0627802690582997,27.12418300653595,False,1.3393,1.3881,6,6,6,100.0,16.2016623180001,26.683937823834192,6.206278026905836,1.793721973094164,历史6/6次成功; 当前距低点1.79%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
2,89.8227103052936,87.40853400660076,300598,诚迈科技,bottom_area,2025-12-05,46.46,2025-12-05,45.29,2.583351733274457,2.8703908147494026,29.234375,False,0.2373,2.8,5,5,5,100.0,26.22890300250812,45.24950099800398,5.416648266725543,2.583351733274457,历史5/5次成功; 当前距低点2.58%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
3,89.31477194666874,87.26068757466153,300358,楚天科技,bottom_area,2025-12-05,9.21,2025-12-05,8.96,2.790178571428571,3.013392857142852,27.74193548387096,False,1.6556,2.2225,4,4,4,100.0,27.96932643827245,38.205499276411004,5.209821428571429,2.790178571428571,历史4/4次成功; 当前距低点2.79%; 最新日涨幅1.66%; 状态bottom_area; 底部未确认
4,88.85623295486945,87.25817194523722,601127,赛力斯,bottom_area,2025-12-05,126.11,2025-11-24,122.37,3.0563046498324713,7.232164746261334,28.854651162790695,True,0.0952,0.8126,9,9,9,100.0,22.02444380029711,42.19143576826195,4.943695350167529,3.0563046498324713,历史9/9次成功; 当前距低点3.06%; 最新日涨幅0.10%; 状态bottom_area; 底部已确认
5,87.1379766046784,85.79258216324483,002104,恒宝股份,bottom_area,2025-12-05,18.11,2025-12-04,17.55,3.1908831908831834,3.874643874643873,27.027027027027028,False,1.343,4.5656,4,4,4,100.0,24.988149669131648,43.85245901639344,4.809116809116817,3.1908831908831834,历史4/4次成功; 当前距低点3.19%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
6,86.08071605329206,84.61706944664733,300768,迪普科技,bottom_area,2025-12-05,19.24,2025-12-05,18.66,3.108252947481234,3.2690246516613044,27.05238467552775,False,2.8327,1.626,3,3,3,100.0,34.32196863927173,47.28781110402041,4.891747052518766,3.108252947481234,历史3/3次成功; 当前距低点3.11%; 最新日涨幅2.83%; 状态bottom_area; 底部未确认
7,85.06273429164553,82.41443771567734,002176,江特电机,bottom_area,2025-12-05,9.56,2025-12-05,9.34,2.3554603854389793,2.8907922912205524,27.428127428127425,False,-0.1045,3.4425,5,5,5,100.0,19.058534378915056,39.01808785529715,5.644539614561022,2.3554603854389793,历史5/5次成功; 当前距低点2.36%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
8,84.48332348267348,82.1569789865765,603178,圣龙股份,bottom_area,2025-12-05,18.11,2025-12-05,17.66,2.548131370328422,2.6047565118912845,28.182187881252542,False,1.2297,0.9634,6,7,6,85.71428571428571,28.51538369929118,47.51869476546566,5.451868629671579,2.548131370328422,历史6/7次成功; 当前距低点2.55%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
9,83.85953305019568,81.41464870470894,000803,山高环能,bottom_area,2025-12-05,6.66,2025-12-05,6.5,2.4615384615384635,2.7692307692307647,32.22106360792492,False,1.2158,2.0354,2,2,2,100.0,25.843851596863644,36.1111111111111,5.5384615384615365,2.4615384615384635,历史2/2次成功; 当前距低点2.46%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
10,82.77518887599287,81.32370787708373,000661,长春高新,bottom_area,2025-12-05,99.73,2025-12-05,96.75,3.0801033591731306,3.10077519379845,31.755660576990905,False,0.3421,1.4591,3,3,3,100.0,16.270664172034742,25.03526756324649,4.919896640826869,3.0801033591731306,历史3/3次成功; 当前距低点3.08%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
11,79.79085554363859,77.44588067073967,002506,协鑫集成,bottom_area,2025-12-05,2.51,2025-12-05,2.45,2.4489795918367188,2.4489795918367188,27.299703264094955,False,2.0325,1.8762,1,1,1,100.0,21.019108280254766,21.019108280254766,5.551020408163282,2.4489795918367188,历史1/1次成功; 当前距低点2.45%; 最新日涨幅2.03%; 状态bottom_area; 底部未确认
