rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.79635849295606,81.78063405315224,002545,东方铁塔,bottom_area,2023-06-30,7.06,2023-06-26,6.93,1.8759018759018746,2.16450216450217,27.58620689655173,False,1.1461,0.4658,2,2,2,100.0,20.63274371079842,28.468653648509758,8.124098124098126,1.8759018759018746,历史2/2次成功; 当前距低点1.88%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
2,82.7665839266011,77.56883609790923,603322,超讯通信,bottom_area,2023-06-30,29.28,2023-06-29,28.82,1.5961138098542709,3.712699514226233,30.201017195446838,False,-0.4759,9.4376,2,2,2,100.0,17.03212679772567,18.007915567282325,8.403886190145728,1.5961138098542709,历史2/2次成功; 当前距低点1.60%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
3,81.61580271088681,78.17605623648163,600935,华塑股份,bottom_area,2023-06-30,3.75,2023-06-27,3.65,2.739726027397263,3.013698630136983,28.571428571428577,False,1.626,0.2927,1,1,1,100.0,28.50877192982458,28.50877192982458,7.260273972602738,2.739726027397263,历史1/1次成功; 当前距低点2.74%; 最新日涨幅1.63%; 状态bottom_area; 底部未确认
4,80.93014675074097,76.89770606675272,601669,中国电建,bottom_area,2023-06-30,5.74,2023-06-07,5.61,2.317290552584668,4.812834224598923,29.78723404255319,False,0.5254,0.5653,1,1,1,100.0,16.457680250783696,16.457680250783696,7.682709447415332,2.317290552584668,历史1/1次成功; 当前距低点2.32%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
5,80.53709267212368,76.95131983053582,600283,钱江水利,bottom_area,2023-06-30,14.55,2023-06-15,14.18,2.609308885754591,8.321579689703807,27.095115681233935,True,0.2066,2.5243,1,1,1,100.0,11.131957473420883,11.131957473420883,7.39069111424541,2.609308885754591,历史1/1次成功; 当前距低点2.61%; 最新日涨幅0.21%; 状态bottom_area; 底部已确认
6,79.66675625520728,76.99805638826464,300601,康泰生物,bottom_area,2023-06-30,25.39,2023-06-26,24.6,3.2113821138211347,4.308943089430889,28.44677137870855,False,2.379,0.8424,2,2,2,100.0,11.290363482671175,11.580726965342352,6.788617886178866,3.2113821138211347,历史2/2次成功; 当前距低点3.21%; 最新日涨幅2.38%; 状态bottom_area; 底部未确认
7,79.50110301810648,77.61246547699525,002299,圣农发展,bottom_area,2023-06-30,19.15,2023-06-26,18.46,3.7378114842903454,4.821235102925247,27.00672202451561,False,0.7365,0.5412,2,2,2,100.0,21.046643339662563,26.73830594184577,6.262188515709655,3.7378114842903454,历史2/2次成功; 当前距低点3.74%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
8,79.23369717349864,78.59782616605442,601666,平煤股份,bottom_area,2023-06-30,7.54,2023-06-26,7.21,4.576976421636616,5.409153952843269,29.10521140609636,False,2.4457,1.2978,3,3,3,100.0,19.964152727881192,27.30923694779115,5.4230235783633844,4.576976421636616,历史3/3次成功; 当前距低点4.58%; 最新日涨幅2.45%; 状态bottom_area; 底部未确认
9,78.2895917283588,72.02621391533859,300661,圣邦股份,bottom_area,2023-06-30,82.13,2023-06-30,81.62,0.6248468512619345,2.26660132320509,27.020743919885547,False,-0.6652,0.6343,1,1,1,100.0,31.832606108687024,31.832606108687024,9.375153148738066,0.6248468512619345,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
10,77.97716184140009,72.21190071677921,688302,海创药业,bottom_area,2023-06-30,53.12,2023-06-26,52.61,0.9693974529557081,5.873408097319908,29.70336718332443,False,-1.2089,0.8434,1,1,1,100.0,37.054445750097926,37.054445750097926,9.030602547044293,0.9693974529557081,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
11,77.76053447725992,74.16350351651349,600995,南网储能,bottom_area,2023-06-30,11.01,2023-06-07,10.74,2.5139664804469235,6.983240223463687,32.7909887359199,False,-0.1813,0.9576,1,1,1,100.0,26.64165103189493,26.64165103189493,7.486033519553077,2.5139664804469235,历史1/1次成功; 当前距低点2.51%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
12,77.43306257854712,76.05032931821592,002146,荣盛发展,bottom_area,2023-06-30,1.54,2023-06-30,1.48,4.054054054054058,6.081081081081086,28.502415458937193,False,2.6667,3.521,2,2,2,100.0,16.524583663758918,19.587628865979376,5.945945945945943,4.054054054054058,历史2/2次成功; 当前距低点4.05%; 最新日涨幅2.67%; 状态bottom_area; 底部未确认
13,77.34693850259923,73.4016023749459,002174,游族网络,bottom_area,2023-06-30,16.8,2023-06-30,16.43,2.2519780888618444,6.147291539866108,28.40958605664488,False,-3.5037,6.1938,2,2,2,100.0,12.88232482554249,14.303030303030301,7.748021911138156,2.2519780888618444,历史2/2次成功; 当前距低点2.25%; 最新日涨幅-3.50%; 状态bottom_area; 底部未确认
14,76.9766449997696,74.50726147654692,688236,春立医疗,bottom_area,2023-06-30,24.5,2023-06-28,23.72,3.2883642495784198,7.082630691399662,32.228571428571435,True,-2.7392,2.779,1,1,1,100.0,28.788881535407025,28.788881535407025,6.711635750421581,3.2883642495784198,历史1/1次成功; 当前距低点3.29%; 最新日涨幅-2.74%; 状态bottom_area; 底部已确认
15,76.39735967093375,74.58046810990655,002041,登海种业,bottom_area,2023-06-30,15.27,2023-06-29,14.72,3.736413043478253,4.211956521739125,30.56603773584905,False,2.621,0.6887,1,1,1,100.0,21.395106715252467,21.395106715252467,6.263586956521746,3.736413043478253,历史1/1次成功; 当前距低点3.74%; 最新日涨幅2.62%; 状态bottom_area; 底部未确认
16,75.3550188098779,73.24831935927918,000703,恒逸石化,bottom_area,2023-06-30,6.78,2023-06-12,6.55,3.5114503816793956,5.954198473282451,27.222222222222225,False,1.497,0.2273,1,1,1,100.0,11.475409836065575,11.475409836065575,6.488549618320604,3.5114503816793956,历史1/1次成功; 当前距低点3.51%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
17,75.2463492621909,74.13023117483941,601086,国芳集团,bottom_area,2023-06-30,4.45,2023-06-26,4.27,4.215456674473082,5.152224824355987,28.83333333333334,False,0.4515,1.2766,1,1,1,100.0,24.846625766871185,24.846625766871185,5.7845433255269185,4.215456674473082,历史1/1次成功; 当前距低点4.22%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
18,70.91877215852615,70.71744136460556,300370,安控科技,bottom_area,2023-06-30,2.81,2023-06-28,2.68,4.850746268656712,6.71641791044775,28.533333333333328,False,0.7168,1.7499,1,1,1,100.0,14.285714285714285,14.285714285714285,5.149253731343289,4.850746268656712,历史1/1次成功; 当前距低点4.85%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
19,70.45396486475896,70.06216983607038,001219,青岛食品,bottom_area,2023-06-30,18.24,2023-06-26,17.42,4.707233065442002,6.3145809414466,29.158194387962578,False,0.3853,1.8626,3,4,3,75.0,13.170221641280364,16.264559068219636,5.292766934557999,4.707233065442002,历史3/4次成功; 当前距低点4.71%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
20,64.62014329040227,63.37345242306331,002554,惠博普,bottom_area,2023-06-30,3.66,2023-06-26,3.52,3.9772727272727306,4.261363636363634,27.27272727272727,False,0.8264,0.7865,2,4,2,50.0,22.428141081963094,28.404669260700388,6.02272727272727,3.9772727272727306,历史2/4次成功; 当前距低点3.98%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
21,61.95070166194274,58.62885640975455,688228,开普云,bottom_area,2023-06-30,51.36,2023-06-30,50.3,2.107355864811138,3.339960238568588,29.846582984658305,False,-1.4393,3.7468,1,2,1,50.0,29.80445043830074,29.80445043830074,7.8926441351888625,2.107355864811138,历史1/2次成功; 当前距低点2.11%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
22,61.755251356261525,60.15488661074866,000792,盐湖股份,bottom_area,2023-06-30,19.17,2023-05-30,18.5,3.6216216216216313,7.5675675675675595,29.49695121951219,True,2.2946,0.6306,1,2,1,50.0,24.904214559386965,24.904214559386965,6.378378378378368,3.6216216216216313,历史1/2次成功; 当前距低点3.62%; 最新日涨幅2.29%; 状态bottom_area; 底部已确认
23,58.38399353533084,56.493421604410955,600063,皖维高新,bottom_area,2023-06-30,5.05,2023-06-26,4.89,3.2719836400818028,3.6809815950920375,27.876106194690276,False,2.4341,0.9426,1,2,1,50.0,10.126582278481,10.126582278481,6.728016359918199,3.2719836400818028,历史1/2次成功; 当前距低点3.27%; 最新日涨幅2.43%; 状态bottom_area; 底部未确认
24,56.324388654373635,53.88169430310741,688229,博睿数据,bottom_area,2023-06-30,49.94,2023-06-28,48.64,2.672697368421047,8.943256578947372,30.514285714285716,False,-0.4584,2.3329,1,2,1,50.0,11.21206614573869,11.21206614573869,7.327302631578954,2.672697368421047,历史1/2次成功; 当前距低点2.67%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
25,54.07686846525177,51.78691578297341,603335,迪生力,bottom_area,2023-06-30,6.4,2023-06-27,6.23,2.728731942215087,5.296950240770451,27.134502923976612,False,-0.6211,3.9733,1,3,1,33.33333333333333,20.081135902636923,20.081135902636923,7.271268057784913,2.728731942215087,历史1/3次成功; 当前距低点2.73%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
