rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.77336760168986,83.88395836227474,603030,全筑股份,bottom_area,2025-12-15,2.93,2025-12-15,2.87,2.0905923344947754,6.6202090592334475,28.606965174129346,False,0.6873,2.4649,6,7,6,85.71428571428571,32.19167603261121,51.87969924812029,12.909407665505224,2.0905923344947754,历史6/7次成功; 当前距低点2.09%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
2,92.50319327188943,82.13239230138359,300358,楚天科技,bottom_area,2025-12-15,9.06,2025-12-05,8.96,1.1160714285714244,4.575892857142839,27.74193548387096,False,0.0,2.2482,3,4,3,75.0,34.04319977702382,38.205499276411004,13.883928571428575,1.1160714285714244,历史3/4次成功; 当前距低点1.12%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,92.07322744941536,81.72846815834768,301001,凯淳股份,bottom_area,2025-12-15,29.37,2025-12-15,29.05,1.1015490533562833,2.340791738382099,29.898648648648646,False,-0.4407,4.2274,1,1,1,100.0,58.89483065953654,58.89483065953654,13.898450946643717,1.1015490533562833,历史1/1次成功; 当前距低点1.10%; 最新日涨幅-0.44%; 状态bottom_area; 底部未确认
4,90.25369482222536,81.38902979373567,600708,光明地产,bottom_area,2025-12-15,3.14,2025-12-15,3.08,1.9480519480519498,2.5974025974025996,27.186761229314428,False,0.3195,0.6298,1,1,1,100.0,36.07843137254903,36.07843137254903,13.05194805194805,1.9480519480519498,历史1/1次成功; 当前距低点1.95%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
5,89.05601421744252,78.98678128581302,688365,光云科技,bottom_area,2025-12-15,16.23,2025-12-15,16.06,1.0585305105853158,2.677459526774594,30.14354066985646,False,-2.2289,2.5771,1,1,1,100.0,34.732423924449115,34.732423924449115,13.941469489414684,1.0585305105853158,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
6,87.49912165168715,77.63323177968545,300035,中科电气,bottom_area,2025-12-15,20.64,2025-12-05,20.42,1.0773751224289856,5.729676787463261,29.097222222222218,False,-1.6206,2.5744,1,1,1,100.0,27.686274509803933,27.686274509803933,13.922624877571014,1.0773751224289856,历史1/1次成功; 当前距低点1.08%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
7,85.69256340420732,75.25283521598685,003038,鑫铂股份,bottom_area,2025-12-15,15.26,2025-12-12,15.18,0.527009222661397,2.108036890645588,29.68967114404817,False,0.3287,1.3297,1,1,1,100.0,25.507614213197975,25.507614213197975,14.472990777338602,0.527009222661397,历史1/1次成功; 当前距低点0.53%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
8,82.74271892473075,72.60032820174956,301567,贝隆精密,bottom_area,2025-12-15,45.93,2025-12-15,45.71,0.48129512141763037,2.3627215051411032,28.015748031496063,False,-1.859,9.5728,2,2,2,100.0,16.4929090246331,16.59192825112107,14.51870487858237,0.48129512141763037,历史2/2次成功; 当前距低点0.48%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
9,82.34062975827091,74.82895399213714,688665,四方光电,bottom_area,2025-12-15,46.8,2025-11-21,45.72,2.3622047244094455,9.383202099737531,27.715415019762844,True,-2.965,0.9138,1,1,1,100.0,19.16548797736917,19.16548797736917,12.637795275590555,2.3622047244094455,历史1/1次成功; 当前距低点2.36%; 最新日涨幅-2.96%; 状态bottom_area; 底部已确认
10,82.32692517125022,72.35559588690651,605228,神通科技,bottom_area,2025-12-15,14.11,2025-12-12,14.03,0.5702066999287247,1.7818959372772631,27.680412371134018,False,-0.2827,0.5394,4,5,4,80.0,26.26702775668829,47.56554307116105,14.429793300071275,0.5702066999287247,历史4/5次成功; 当前距低点0.57%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
11,82.11548501209167,75.68540559553027,603938,三孚股份,bottom_area,2025-12-15,17.85,2025-11-21,17.31,3.119584055459288,8.08781051415368,27.45180217937972,False,1.7674,1.7154,1,1,1,100.0,19.774501300954046,19.774501300954046,11.880415944540712,3.119584055459288,历史1/1次成功; 当前距低点3.12%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
