rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.56150057358371,81.62584119523252,688302,海创药业,bottom_area,2023-07-03,53.51,2023-07-03,52.5,1.92380952380952,4.152380952380952,29.85034740780332,False,0.7342,0.923,1,1,1,100.0,37.054445750097926,37.054445750097926,18.076190476190483,1.92380952380952,历史1/1次成功; 当前距低点1.92%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
2,91.1985330168826,79.47238167288738,300661,圣邦股份,bottom_area,2023-07-03,83.47,2023-07-03,81.48,2.442317133038776,3.2400589101620034,27.145922746781114,False,1.6316,0.6879,1,1,1,100.0,31.832606108687024,31.832606108687024,17.557682866961226,2.442317133038776,历史1/1次成功; 当前距低点2.44%; 最新日涨幅1.63%; 状态bottom_area; 底部未确认
3,88.59431889966557,76.91029688970036,688236,春立医疗,bottom_area,2023-07-03,24.25,2023-06-28,23.72,2.2344013490725176,7.082630691399662,32.228571428571435,True,-1.0204,1.8532,1,1,1,100.0,28.788881535407025,28.788881535407025,17.765598650927483,2.2344013490725176,历史1/1次成功; 当前距低点2.23%; 最新日涨幅-1.02%; 状态bottom_area; 底部已确认
4,83.03355774739696,74.27068550121089,002041,登海种业,bottom_area,2023-07-03,15.29,2023-06-29,14.72,3.8722826086956417,4.483695652173914,30.56603773584905,False,0.131,0.4495,1,1,1,100.0,21.395106715252467,21.395106715252467,16.12771739130436,3.8722826086956417,历史1/1次成功; 当前距低点3.87%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
5,79.73481787498326,70.8686921354806,002063,远光软件,bottom_area,2023-07-03,7.05,2023-07-03,6.81,3.524229074889871,6.02055800293686,29.136316337148806,False,-1.9471,2.2186,1,1,1,100.0,21.311475409836078,21.311475409836078,16.47577092511013,3.524229074889871,历史1/1次成功; 当前距低点3.52%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
6,74.07331417160191,64.1963198774524,605266,健之佳,bottom_area,2023-07-03,61.98,2023-07-03,60.68,2.1423862887277476,5.471324983520106,30.43677633841569,False,-2.178,1.1233,2,4,2,50.0,26.833121590062774,33.154615273148806,17.85761371127225,2.1423862887277476,历史2/4次成功; 当前距低点2.14%; 最新日涨幅-2.18%; 状态bottom_area; 底部未确认
7,70.30956311078049,61.443091656544894,002545,东方铁塔,bottom_area,2023-07-03,7.11,2023-06-26,6.93,2.5974025974026063,3.03030303030303,27.58620689655173,False,0.7082,0.6063,1,2,1,50.0,28.468653648509758,28.468653648509758,17.402597402597394,2.5974025974026063,历史1/2次成功; 当前距低点2.60%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
8,65.93110531220876,59.16894066480274,000792,盐湖股份,bottom_area,2023-07-03,19.25,2023-05-30,18.5,4.054054054054054,7.5675675675675595,29.49695121951219,True,0.4173,0.3389,1,2,1,50.0,24.904214559386965,24.904214559386965,15.945945945945947,4.054054054054054,历史1/2次成功; 当前距低点4.05%; 最新日涨幅0.42%; 状态bottom_area; 底部已确认
9,65.38337213985844,58.397604428476946,002299,圣农发展,bottom_area,2023-07-03,19.16,2023-06-26,18.46,3.7919826652220974,4.821235102925247,27.00672202451561,False,0.0522,0.4916,1,2,1,50.0,26.73830594184577,26.73830594184577,16.208017334777903,3.7919826652220974,历史1/2次成功; 当前距低点3.79%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
10,64.09603981690454,56.47847626637243,688228,开普云,bottom_area,2023-07-03,51.01,2023-07-03,49.5,3.0505050505050466,5.05050505050505,30.962343096234314,False,-0.6815,4.2267,1,2,1,50.0,29.80445043830074,29.80445043830074,16.94949494949495,3.0505050505050466,历史1/2次成功; 当前距低点3.05%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
11,62.59111944419407,55.800690579462966,688156,路德科技,bottom_area,2023-07-03,26.97,2023-07-03,26.01,3.6908881199538537,9.765474817377928,27.72992497916088,False,-5.9295,5.221,1,2,1,50.0,44.22535211267606,44.22535211267606,16.30911188004615,3.6908881199538537,历史1/2次成功; 当前距低点3.69%; 最新日涨幅-5.93%; 状态bottom_area; 底部未确认
12,57.41461090407264,51.94123359998788,603335,迪生力,bottom_area,2023-07-03,6.51,2023-06-27,6.23,4.4943820224719,6.420545746388434,27.134502923976612,False,1.7188,5.0631,1,3,1,33.33333333333333,20.081135902636923,20.081135902636923,15.505617977528102,4.4943820224719,历史1/3次成功; 当前距低点4.49%; 最新日涨幅1.72%; 状态bottom_area; 底部未确认
