rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.5872663896434,84.7643378631959,002603,以岭药业,bottom_area,2024-07-08,14.9,2024-07-05,14.65,1.7064846416382253,4.914675767918081,27.0418326693227,False,-2.7415,0.6998,4,4,4,100.0,23.737219602855067,39.661898569570866,6.293515358361774,1.7064846416382253,历史4/4次成功; 当前距低点1.71%; 最新日涨幅-2.74%; 状态bottom_area; 底部未确认
2,88.31163012690796,83.66572180993286,000717,中南股份,bottom_area,2024-07-08,1.7,2024-06-24,1.68,1.1904761904761916,7.738095238095245,29.411764705882355,True,-2.8571,0.3427,2,2,2,100.0,35.64520174311065,56.020942408376975,6.809523809523808,1.1904761904761916,历史2/2次成功; 当前距低点1.19%; 最新日涨幅-2.86%; 状态bottom_area; 底部已确认
3,87.5034589626241,82.82412960633403,688259,创耀科技,bottom_area,2024-07-08,35.4,2024-07-08,35.0,1.1428571428571388,7.657142857142857,27.05293872446852,False,-4.2726,2.0857,5,5,5,100.0,16.612063935743468,22.000256114739393,6.857142857142861,1.1428571428571388,历史5/5次成功; 当前距低点1.14%; 最新日涨幅-4.27%; 状态bottom_area; 底部未确认
4,87.21291998106176,82.3454419219724,000705,浙江震元,bottom_area,2024-07-08,6.97,2024-06-24,6.9,1.0144927536231796,6.666666666666665,29.01234567901235,False,-2.5175,1.7547,3,3,3,100.0,18.916588173296947,34.04605263157895,6.985507246376821,1.0144927536231796,历史3/3次成功; 当前距低点1.01%; 最新日涨幅-2.52%; 状态bottom_area; 底部未确认
5,87.18307271767405,83.495058875069,002317,众生药业,bottom_area,2024-07-08,11.03,2024-07-05,10.84,1.752767527675272,6.365313653136527,30.378933847141944,False,-3.6681,1.6969,4,4,4,100.0,27.695531388003374,58.31999999999999,6.247232472324728,1.752767527675272,历史4/4次成功; 当前距低点1.75%; 最新日涨幅-3.67%; 状态bottom_area; 底部未确认
6,86.40008497188244,82.98867324305786,688185,康希诺,bottom_area,2024-07-08,40.11,2024-07-05,39.36,1.9054878048780488,7.494918699186999,28.747284576393923,True,-4.7042,1.2024,8,8,8,100.0,17.651534613869938,36.75601999091322,6.094512195121951,1.9054878048780488,历史8/8次成功; 当前距低点1.91%; 最新日涨幅-4.70%; 状态bottom_area; 底部已确认
7,86.02804838134537,80.42816236342321,603215,比依股份,bottom_area,2024-07-08,12.03,2024-07-08,11.97,0.5012531328320695,3.6758563074352506,29.959040374487998,False,-2.6699,1.1157,4,4,4,100.0,25.48935218430281,36.01562499999999,7.498746867167931,0.5012531328320695,历史4/4次成功; 当前距低点0.50%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
8,85.51026856711009,81.02284922539587,600186,莲花控股,bottom_area,2024-07-08,3.38,2024-06-24,3.34,1.1976047904191627,7.4850299401197615,27.074235807860266,True,-3.1519,1.3,2,2,2,100.0,31.7386459545783,53.49544072948328,6.802395209580838,1.1976047904191627,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-3.15%; 状态bottom_area; 底部已确认
9,84.85401359256146,78.95595357043375,603185,弘元绿能,bottom_area,2024-07-08,15.7,2024-07-08,15.66,0.25542784163473276,4.086845466155815,31.645569620253166,False,-3.799,0.8759,6,6,6,100.0,24.77596263097275,43.51028702057404,7.744572158365267,0.25542784163473276,历史6/6次成功; 当前距低点0.26%; 最新日涨幅-3.80%; 状态bottom_area; 底部未确认
10,84.84241862763105,82.88238251375958,001201,东瑞股份,bottom_area,2024-07-08,16.61,2024-07-03,16.16,2.7846534653465302,6.311881188118809,31.380042462845015,False,0.7888,2.8256,3,3,3,100.0,21.028991477148743,33.37921541637991,5.21534653465347,2.7846534653465302,历史3/3次成功; 当前距低点2.78%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
11,84.31693993797097,78.41923524146965,002838,道恩股份,bottom_area,2024-07-08,8.68,2024-07-08,8.66,0.23094688221708512,3.579676674364902,31.160572337042925,False,-3.0168,0.5599,5,5,5,100.0,21.59029103722908,38.59649122807017,7.7690531177829145,0.23094688221708512,历史5/5次成功; 当前距低点0.23%; 最新日涨幅-3.02%; 状态bottom_area; 底部未确认
12,84.18812478238004,81.59140435687904,688111,金山办公,bottom_area,2024-07-08,193.0,2024-07-05,188.53,2.3709754415742847,6.497639632949663,31.11297866121017,False,-2.3576,0.9951,4,4,4,100.0,14.823808406819378,27.68058076225045,5.629024558425716,2.3709754415742847,历史4/4次成功; 当前距低点2.37%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
13,83.94183646225797,82.25745487436944,002299,圣农发展,bottom_area,2024-07-08,12.58,2024-07-05,12.22,2.9459901800327284,4.664484451718482,29.770114942528725,False,0.9631,0.9029,3,3,3,100.0,19.64684131636587,26.73830594184577,5.054009819967272,2.9459901800327284,历史3/3次成功; 当前距低点2.95%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
14,83.82707640745215,79.95067981057574,002145,钛能化学,bottom_area,2024-07-08,3.3,2024-07-01,3.25,1.538461538461533,5.230769230769228,31.72268907563025,False,-0.9009,0.8761,3,3,3,100.0,12.46436622724744,16.649537512846855,6.461538461538467,1.538461538461533,历史3/3次成功; 当前距低点1.54%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
15,83.34949158126399,78.13901129382478,603368,柳药集团,bottom_area,2024-07-08,17.18,2024-07-08,17.07,0.6444053895723458,3.514938488576458,29.170124481327804,False,-2.6629,1.3683,3,3,3,100.0,31.603524634675978,42.85714285714285,7.355594610427654,0.6444053895723458,历史3/3次成功; 当前距低点0.64%; 最新日涨幅-2.66%; 状态bottom_area; 底部未确认
16,83.31742219966972,77.76879347394156,688156,路德科技,bottom_area,2024-07-08,12.02,2024-07-08,11.97,0.41771094402672454,4.594820384294059,32.94117647058823,False,-3.5313,0.4903,5,5,5,100.0,20.38265820603483,44.22535211267606,7.582289055973275,0.41771094402672454,历史5/5次成功; 当前距低点0.42%; 最新日涨幅-3.53%; 状态bottom_area; 底部未确认
17,83.19698837737856,77.7338260249695,601388,怡球资源,bottom_area,2024-07-08,2.14,2024-07-08,2.13,0.4694835680751282,3.286384976525835,28.282828282828294,False,-3.1674,0.9008,4,4,4,100.0,20.829293334305355,35.632183908045974,7.530516431924871,0.4694835680751282,历史4/4次成功; 当前距低点0.47%; 最新日涨幅-3.17%; 状态bottom_area; 底部未确认
18,82.93049346276227,77.11104549754451,000723,美锦能源,bottom_area,2024-07-08,4.59,2024-07-08,4.58,0.21834061135370714,2.838427947598251,28.437500000000004,False,-2.5478,0.4334,3,3,3,100.0,20.85409726575785,30.434782608695667,7.781659388646293,0.21834061135370714,历史3/3次成功; 当前距低点0.22%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
19,82.79716846189491,79.0678987291121,001218,丽臣实业,bottom_area,2024-07-08,14.57,2024-07-05,14.34,1.6039051603905192,3.277545327754537,27.57575757575758,False,-1.6205,1.0706,2,2,2,100.0,25.18711018711019,29.999999999999993,6.396094839609481,1.6039051603905192,历史2/2次成功; 当前距低点1.60%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
20,82.54596278155832,77.06985923505066,600416,湘电股份,bottom_area,2024-07-08,9.3,2024-07-04,9.26,0.4319654427645888,4.319654427645792,30.998509687034275,False,-2.9228,0.8029,3,3,3,100.0,23.251292712655438,34.41084462982274,7.5680345572354115,0.4319654427645888,历史3/3次成功; 当前距低点0.43%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
21,82.49266657948058,77.22395310005072,603113,金能科技,bottom_area,2024-07-08,5.3,2024-07-08,5.27,0.5692599620493406,4.743833017077799,27.209944751381222,False,-3.6364,0.7627,5,5,5,100.0,19.31110652431836,31.03448275862069,7.430740037950659,0.5692599620493406,历史5/5次成功; 当前距低点0.57%; 最新日涨幅-3.64%; 状态bottom_area; 底部未确认
22,82.47896848453756,81.44798137848083,688286,敏芯股份,bottom_area,2024-07-08,41.08,2024-07-05,39.75,3.3459119496855303,7.899371069182391,32.16723549488055,True,-0.9643,2.26,5,5,5,100.0,16.81000335356905,25.016501650165008,4.65408805031447,3.3459119496855303,历史5/5次成功; 当前距低点3.35%; 最新日涨幅-0.96%; 状态bottom_area; 底部已确认
23,82.39170775930431,80.97526987791652,603218,日月股份,bottom_area,2024-07-08,9.65,2024-07-05,9.36,3.0982905982906086,5.982905982905988,27.216174183514774,False,0.6257,0.996,1,1,1,100.0,47.95361527967258,47.95361527967258,4.901709401709392,3.0982905982906086,历史1/1次成功; 当前距低点3.10%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
24,82.39038340011867,77.06755711624258,000301,东方盛虹,bottom_area,2024-07-08,7.61,2024-07-08,7.57,0.5284015852047561,3.830911492734478,27.281460134486068,False,-3.0573,0.1766,6,6,6,100.0,17.969423282308696,28.337639965546952,7.471598414795244,0.5284015852047561,历史6/6次成功; 当前距低点0.53%; 最新日涨幅-3.06%; 状态bottom_area; 底部未确认
25,82.32827168128497,76.68761257456104,000065,北方国际,bottom_area,2024-07-08,9.68,2024-07-08,9.65,0.3108808290155374,3.419689119170985,27.169811320754718,False,-3.2967,0.6873,3,3,3,100.0,29.926993896325044,41.48061104582843,7.689119170984463,0.3108808290155374,历史3/3次成功; 当前距低点0.31%; 最新日涨幅-3.30%; 状态bottom_area; 底部未确认
26,82.26526043978708,76.78464498357937,002080,中材科技,bottom_area,2024-07-08,12.06,2024-07-08,12.01,0.4163197335553765,3.9966694421315605,28.934911242603544,False,-3.6741,0.4849,4,4,4,100.0,15.074483742395813,28.579356270810223,7.583680266444624,0.4163197335553765,历史4/4次成功; 当前距低点0.42%; 最新日涨幅-3.67%; 状态bottom_area; 底部未确认
27,82.24521304333118,76.30999148350315,605337,李子园,bottom_area,2024-07-08,9.36,2024-07-08,9.35,0.10695187165775173,3.2085561497326283,29.112964366944656,False,-3.1056,0.3794,3,3,3,100.0,25.39699866066034,37.98882681564246,7.893048128342249,0.10695187165775173,历史3/3次成功; 当前距低点0.11%; 最新日涨幅-3.11%; 状态bottom_area; 底部未确认
28,82.11425441368453,76.56135606034246,600955,维远股份,bottom_area,2024-07-08,13.92,2024-07-08,13.87,0.36049026676280255,3.0281182408074976,28.134715025906743,False,-2.7933,0.1976,3,3,3,100.0,19.641257357858347,25.969084423305596,7.6395097332371975,0.36049026676280255,历史3/3次成功; 当前距低点0.36%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
29,82.09133984193724,77.29782435971642,688167,炬光科技,bottom_area,2024-07-08,48.57,2024-07-08,48.15,0.8722741433021843,6.749740394600208,29.15992349565985,False,-4.4274,3.2543,4,4,4,100.0,23.422631217448355,39.13715105373497,7.127725856697816,0.8722741433021843,历史4/4次成功; 当前距低点0.87%; 最新日涨幅-4.43%; 状态bottom_area; 底部未确认
30,81.99267985115263,76.44307577363601,603060,国检集团,bottom_area,2024-07-08,5.62,2024-07-08,5.6,0.3571428571428654,5.17857142857143,30.087390761548065,False,-2.7682,0.2432,3,3,3,100.0,18.964309074848,36.2098138747885,7.642857142857134,0.3571428571428654,历史3/3次成功; 当前距低点0.36%; 最新日涨幅-2.77%; 状态bottom_area; 底部未确认
31,81.98498783259029,76.27117647058826,002687,乔治白,bottom_area,2024-07-08,4.09,2024-07-08,4.08,0.24509803921568107,2.2058823529411726,30.25641025641025,False,-2.1531,0.972,1,1,1,100.0,64.00000000000001,64.00000000000001,7.754901960784319,0.24509803921568107,历史1/1次成功; 当前距低点0.25%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
32,81.8752779070006,77.35698743011368,002416,爱施德,bottom_area,2024-07-08,8.67,2024-07-05,8.58,1.0489510489510472,3.729603729603733,29.901960784313726,False,-1.5891,0.5743,2,2,2,100.0,9.185999041516526,9.811320754716984,6.9510489510489535,1.0489510489510472,历史2/2次成功; 当前距低点1.05%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
33,81.26899717329852,75.86492063492062,001696,宗申动力,bottom_area,2024-07-08,9.49,2024-07-08,9.45,0.42328042328043314,4.126984126984133,30.155210643015522,False,-2.7664,6.3127,1,1,1,100.0,65.16853932584267,65.16853932584267,7.576719576719568,0.42328042328043314,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-2.77%; 状态bottom_area; 底部未确认
34,81.14113996738627,75.56123349398433,600973,宝胜股份,bottom_area,2024-07-08,3.38,2024-07-08,3.37,0.2967359050445041,3.8575667655786314,27.21382289416846,False,-3.1519,0.6726,2,2,2,100.0,40.36446966390223,46.551724137931025,7.703264094955496,0.2967359050445041,历史2/2次成功; 当前距低点0.30%; 最新日涨幅-3.15%; 状态bottom_area; 底部未确认
35,80.9673454110092,80.23377942767051,000722,湖南发展,confirmed_rebound,2024-07-08,9.1,2024-06-26,8.79,3.526734926052338,9.101251422070543,29.454253611556997,True,-0.5464,2.1822,4,4,4,100.0,22.71362934983783,36.6412213740458,4.473265073947662,3.526734926052338,历史4/4次成功; 当前距低点3.53%; 最新日涨幅-0.55%; 状态confirmed_rebound; 底部已确认
36,80.72359115550275,75.52609635273396,000697,炼石航空,bottom_area,2024-07-08,5.58,2024-07-05,5.55,0.5405405405405451,3.4234234234234306,27.260812581913502,False,-2.4476,1.107,3,3,3,100.0,16.282412823475326,27.861771058315338,7.459459459459455,0.5405405405405451,历史3/3次成功; 当前距低点0.54%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
37,80.63106326799449,75.34284825817538,605300,佳禾食品,bottom_area,2024-07-08,10.6,2024-07-08,10.55,0.47393364928908943,4.64454976303316,28.474576271186436,False,-3.9855,0.237,3,3,3,100.0,24.69579020728222,36.09523809523809,7.526066350710911,0.47393364928908943,历史3/3次成功; 当前距低点0.47%; 最新日涨幅-3.99%; 状态bottom_area; 底部未确认
38,80.50462861208908,75.172155043024,002125,湘潭电化,bottom_area,2024-07-08,9.18,2024-07-08,9.14,0.4376367614879556,3.9387308533916783,27.575277337559424,False,-3.2666,1.358,3,3,3,100.0,23.333155157078114,32.067510548523195,7.562363238512044,0.4376367614879556,历史3/3次成功; 当前距低点0.44%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
39,80.44145643059124,75.02297467116364,002167,东方锆业,bottom_area,2024-07-08,5.35,2024-07-08,5.33,0.375234521575977,5.440900562851783,28.55227882037533,False,-3.255,1.8086,3,3,3,100.0,21.766179464284228,41.1650485436893,7.624765478424022,0.375234521575977,历史3/3次成功; 当前距低点0.38%; 最新日涨幅-3.25%; 状态bottom_area; 底部未确认
40,80.17251368451673,78.66822374749151,688102,斯瑞新材,bottom_area,2024-07-08,8.2,2024-07-05,7.96,3.015075376884414,7.663316582914577,31.90761334473909,True,-3.7559,1.2417,3,3,3,100.0,24.691374230042936,37.1943371943372,4.984924623115586,3.015075376884414,历史3/3次成功; 当前距低点3.02%; 最新日涨幅-3.76%; 状态bottom_area; 底部已确认
41,80.1440639659435,74.53445487892803,000789,万年青,bottom_area,2024-07-08,4.39,2024-07-08,4.38,0.22831050228310015,3.8812785388127837,27.603305785123965,False,-3.0905,0.7808,2,2,2,100.0,34.00539152759949,47.599999999999994,7.771689497716899,0.22831050228310015,历史2/2次成功; 当前距低点0.23%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
