rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.71398409716076,79.32970409796407,688010,福光股份,bottom_area,2022-09-22,20.72,2022-09-21,20.05,3.341645885286774,5.985037406483787,28.341672623302355,False,0.7292,0.2753,1,1,1,100.0,42.08955223880597,42.08955223880597,11.658354114713227,3.341645885286774,历史1/1次成功; 当前距低点3.34%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
2,84.53030030433197,76.34016355235721,688280,精进电动,bottom_area,2022-09-22,9.06,2022-09-19,8.88,2.0270270270270236,5.292792792792779,29.411764705882348,False,-1.7354,1.2914,1,1,1,100.0,32.37518910741301,32.37518910741301,12.972972972972977,2.0270270270270236,历史1/1次成功; 当前距低点2.03%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
3,84.30027906090774,75.5373493975904,002110,三钢闽光,bottom_area,2022-09-22,5.06,2022-09-21,4.98,1.6064257028112285,2.4096385542168517,32.97442799461641,False,-0.5894,0.182,1,1,1,100.0,22.90322580645161,22.90322580645161,13.39357429718877,1.6064257028112285,历史1/1次成功; 当前距低点1.61%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
4,81.35856938814848,76.5876724805923,300437,清水源,bottom_area,2022-09-22,18.14,2022-09-19,17.4,4.252873563218403,6.666666666666668,29.354445797807553,False,0.3874,2.0967,5,6,5,83.33333333333334,24.628445545144793,30.330330330330323,10.747126436781597,4.252873563218403,历史5/6次成功; 当前距低点4.25%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
5,81.29085906447854,71.89854015932696,688018,乐鑫科技,bottom_area,2022-09-22,83.26,2022-09-21,82.51,0.9089807296085323,3.38140831414373,29.47863247863247,False,-0.4186,0.4926,1,1,1,100.0,34.629119477604306,34.629119477604306,14.091019270391467,0.9089807296085323,历史1/1次成功; 当前距低点0.91%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
6,81.1720140183591,74.01889533288063,688183,生益电子,bottom_area,2022-09-22,9.67,2022-09-21,9.43,2.545068928950162,4.029692470837761,28.883861236802417,False,-0.7187,0.3649,1,1,1,100.0,26.24544349939247,26.24544349939247,12.454931071049838,2.545068928950162,历史1/1次成功; 当前距低点2.55%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
7,81.00260129949007,75.97631317182739,000591,太阳能,bottom_area,2022-09-22,7.18,2022-09-19,6.9,4.057971014492744,4.927536231884055,27.672955974842754,False,0.1395,0.9278,1,1,1,100.0,32.84132841328414,32.84132841328414,10.942028985507255,4.057971014492744,历史1/1次成功; 当前距低点4.06%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
8,80.92306334990974,73.44986057789453,600130,波导股份,bottom_area,2022-09-22,4.01,2022-09-19,3.92,2.295918367346935,4.59183673469387,27.541589648798524,False,-0.7426,3.5174,1,1,1,100.0,20.13201320132014,20.13201320132014,12.704081632653065,2.295918367346935,历史1/1次成功; 当前距低点2.30%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
9,80.69055150794384,73.09399683670101,603192,汇得科技,bottom_area,2022-09-22,19.6,2022-09-19,19.18,2.189781021897819,4.848800834202293,27.595318988297468,False,-1.8036,0.576,1,1,1,100.0,16.917728852838945,16.917728852838945,12.810218978102181,2.189781021897819,历史1/1次成功; 当前距低点2.19%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
10,80.41863724602356,73.61922123638924,300517,海波重科,bottom_area,2022-09-22,14.92,2022-09-22,14.52,2.754820936639121,5.6473829201101955,28.047571853320118,False,-4.359,8.2408,1,1,1,100.0,36.88286544046467,36.88286544046467,12.245179063360878,2.754820936639121,历史1/1次成功; 当前距低点2.75%; 最新日涨幅-4.36%; 状态bottom_area; 底部未确认
11,79.58091105043813,74.1885373159695,603315,福鞍股份,bottom_area,2022-09-22,20.3,2022-09-19,19.57,3.7301992846193177,6.6428206438426205,29.324665944384254,False,-0.4902,0.3101,1,1,1,100.0,41.68490153172865,41.68490153172865,11.269800715380681,3.7301992846193177,历史1/1次成功; 当前距低点3.73%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
12,79.26548304172309,72.73491792339517,002451,摩恩电气,bottom_area,2022-09-22,6.07,2022-09-19,5.9,2.8813559322033884,4.406779661016945,29.59427207637232,False,-0.6547,0.7247,1,1,1,100.0,23.464566929133863,23.464566929133863,12.11864406779661,2.8813559322033884,历史1/1次成功; 当前距低点2.88%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
13,79.01663592619238,73.21655874190563,002516,旷达科技,bottom_area,2022-09-22,4.86,2022-09-19,4.7,3.404255319148939,5.744680851063821,28.679817905918053,False,-1.4199,0.7706,1,1,1,100.0,32.46376811594203,32.46376811594203,11.59574468085106,3.404255319148939,历史1/1次成功; 当前距低点3.40%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
14,78.2092746817083,73.3032822410148,603186,华正新材,bottom_area,2022-09-22,21.74,2022-09-19,20.9,4.019138755980861,5.119617224880384,29.795095733960363,False,0.6481,1.0223,1,1,1,100.0,17.994186046511643,17.994186046511643,10.980861244019138,4.019138755980861,历史1/1次成功; 当前距低点4.02%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
15,77.82430076345905,72.93260664625654,600215,派斯林,bottom_area,2022-09-22,7.0,2022-09-16,6.73,4.011887072808315,4.903417533432379,29.1578947368421,False,-0.1427,0.8304,2,2,2,100.0,21.718866517524237,23.993288590604024,10.988112927191684,4.011887072808315,历史2/2次成功; 当前距低点4.01%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
