rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.90807772349763,82.09307954428552,300347,泰格医药,bottom_area,2025-01-16,49.6,2025-01-13,48.51,2.24695938981654,5.6277056277056365,29.797395079594786,False,-1.2149,1.5418,4,4,4,100.0,16.000790070253917,23.423271500843175,5.753040610183461,2.24695938981654,历史4/4次成功; 当前距低点2.25%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
2,83.97266491716867,84.00777788598207,002246,北化股份,bottom_area,2025-01-16,9.57,2025-01-06,9.2,4.021739130434794,6.521739130434799,27.38752959747435,False,0.2094,1.3434,4,4,4,100.0,25.577113458996685,31.992687385740403,3.978260869565206,4.021739130434794,历史4/4次成功; 当前距低点4.02%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
3,82.7196471737355,80.0706919512869,600325,华发股份,bottom_area,2025-01-16,5.32,2025-01-13,5.2,2.3076923076923097,5.1923076923076845,29.539295392953925,False,-1.1152,1.3885,3,3,3,100.0,22.53887318723322,32.553606237816766,5.692307692307691,2.3076923076923097,历史3/3次成功; 当前距低点2.31%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
4,81.32037332178088,80.7196688097086,603229,奥翔药业,confirmed_rebound,2025-01-16,8.6,2025-01-13,8.3,3.614457831325288,10.602409638554205,27.700348432055744,True,-2.6048,2.3134,4,4,4,100.0,26.40125088779702,43.052109181141425,4.3855421686747125,3.614457831325288,历史4/4次成功; 当前距低点3.61%; 最新日涨幅-2.60%; 状态confirmed_rebound; 底部已确认
5,80.32774547472093,80.63989992604755,300434,金石亚药,bottom_area,2025-01-16,8.68,2025-01-13,8.33,4.201680672268903,7.563025210084043,27.439024390243905,True,-0.2299,5.628,4,4,4,100.0,22.955547628067958,39.62264150943396,3.798319327731097,4.201680672268903,历史4/4次成功; 当前距低点4.20%; 最新日涨幅-0.23%; 状态bottom_area; 底部已确认
6,78.99759911819999,78.74133592465147,300682,朗新科技,bottom_area,2025-01-16,10.57,2025-01-13,10.18,3.831041257367393,7.26915520628684,29.256428075052128,True,0.5709,1.3626,2,2,2,100.0,19.0651074809093,21.503593145384194,4.168958742632607,3.831041257367393,历史2/2次成功; 当前距低点3.83%; 最新日涨幅0.57%; 状态bottom_area; 底部已确认
7,76.73793387220479,77.05247545524276,300601,康泰生物,bottom_area,2025-01-16,15.09,2025-01-13,14.48,4.212707182320438,6.21546961325967,28.775209050664035,False,-0.396,1.0506,5,5,5,100.0,12.997031349104097,24.837758112094402,3.787292817679562,4.212707182320438,历史5/5次成功; 当前距低点4.21%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
8,73.63149364801514,73.42705636810392,300715,凯伦股份,confirmed_rebound,2025-01-16,8.62,2025-01-15,8.3,3.8554216867469697,9.397590361445776,28.999144568006834,False,1.6509,5.1644,2,2,2,100.0,10.201171042403265,10.449735449735451,4.144578313253031,3.8554216867469697,历史2/2次成功; 当前距低点3.86%; 最新日涨幅1.65%; 状态confirmed_rebound; 底部未确认
9,70.67254199589703,71.25893578346832,688197,首药控股,bottom_area,2025-01-16,28.29,2025-01-13,27.09,4.429678848283497,6.976744186046514,27.216550241805482,False,-0.1059,0.3686,2,2,2,100.0,17.841954610509095,19.863013698630137,3.570321151716503,4.429678848283497,历史2/2次成功; 当前距低点4.43%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
10,69.95933260757471,70.98335477481797,688117,圣诺生物,bottom_area,2025-01-16,23.79,2025-01-13,22.71,4.755614266842793,6.9572875385292745,27.629063097514333,False,0.1263,0.9801,3,4,3,75.0,18.715888726986787,24.6076585059636,3.2443857331572077,4.755614266842793,历史3/4次成功; 当前距低点4.76%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
11,69.92851143939193,71.13352928090842,688247,宣泰医药,bottom_area,2025-01-16,9.87,2025-01-13,9.41,4.8884165781083855,7.5451647183846875,28.766086298258898,True,-0.804,1.3446,2,2,2,100.0,13.59741440320179,17.72030651340996,3.1115834218916145,4.8884165781083855,历史2/2次成功; 当前距低点4.89%; 最新日涨幅-0.80%; 状态bottom_area; 底部已确认
12,67.03981135938153,68.2914065929394,300525,博思软件,confirmed_rebound,2025-01-16,13.75,2025-01-13,13.1,4.961832061068705,8.62595419847329,29.79635584137192,True,-0.7937,1.9079,2,2,2,100.0,9.43217038804324,9.917808219178076,3.038167938931295,4.961832061068705,历史2/2次成功; 当前距低点4.96%; 最新日涨幅-0.79%; 状态confirmed_rebound; 底部已确认
