rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.70684784172775,82.8650723548041,600956,新天绿能,bottom_area,2024-09-06,6.75,2024-08-29,6.68,1.0479041916167708,7.035928143712584,28.860489882854107,True,-0.5891,0.2271,2,2,2,100.0,29.592978019840494,41.27358490566036,6.95209580838323,1.0479041916167708,历史2/2次成功; 当前距低点1.05%; 最新日涨幅-0.59%; 状态bottom_area; 底部已确认
2,86.13339084758213,79.9601252627784,000983,山西焦煤,bottom_area,2024-09-06,7.44,2024-09-06,7.43,0.13458950201885161,1.884253028263803,31.52073732718894,False,-1.847,0.4074,4,4,4,100.0,18.47843724398591,27.212389380530986,7.8654104979811486,0.13458950201885161,历史4/4次成功; 当前距低点0.13%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
3,85.90213526948965,85.69748456009242,603069,海汽集团,bottom_area,2024-09-06,14.74,2024-09-04,14.19,3.8759689922480667,7.540521494009868,30.982490272373536,True,0.7519,1.7414,6,6,6,100.0,23.68114979794627,76.0375880971026,4.124031007751934,3.8759689922480667,历史6/6次成功; 当前距低点3.88%; 最新日涨幅0.75%; 状态bottom_area; 底部已确认
4,85.77053174991104,82.1776485126153,002219,新里程,bottom_area,2024-09-06,1.72,2024-08-23,1.69,1.7751479289940846,7.6923076923077,29.288702928870297,True,-2.8249,0.6407,2,2,2,100.0,34.81175156302061,45.685279187817265,6.224852071005915,1.7751479289940846,历史2/2次成功; 当前距低点1.78%; 最新日涨幅-2.82%; 状态bottom_area; 底部已确认
5,85.31890745748855,81.92071484182758,002545,东方铁塔,bottom_area,2024-09-06,5.94,2024-07-25,5.83,1.8867924528301943,7.375643224699823,29.247572815533985,True,-1.3289,0.4446,3,3,3,100.0,18.132266850969987,28.468653648509758,6.113207547169806,1.8867924528301943,历史3/3次成功; 当前距低点1.89%; 最新日涨幅-1.33%; 状态bottom_area; 底部已确认
6,84.39436699671867,81.5404512045591,000597,东北制药,bottom_area,2024-09-06,4.16,2024-08-26,4.07,2.2113022113022076,5.65110565110564,32.053422370617696,False,-2.1176,1.2782,3,3,3,100.0,29.259248636172746,61.02150537634409,5.788697788697792,2.2113022113022076,历史3/3次成功; 当前距低点2.21%; 最新日涨幅-2.12%; 状态bottom_area; 底部未确认
7,83.53586185905955,77.72699857327927,601919,中远海控,bottom_area,2024-09-06,11.85,2024-09-06,11.82,0.25380710659897937,1.7766497461928856,27.171903881700555,False,-0.9197,0.3287,3,3,3,100.0,24.600423528628724,40.45881126173098,7.7461928934010205,0.25380710659897937,历史3/3次成功; 当前距低点0.25%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
8,82.56475372007485,78.17275756959965,002674,兴业科技,bottom_area,2024-09-06,7.86,2024-08-21,7.77,1.158301158301168,6.30630630630631,31.72231985940247,False,-1.5038,0.4439,1,1,1,100.0,31.578947368421055,31.578947368421055,6.841698841698832,1.158301158301168,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
9,82.37729100062354,77.94082569346698,600160,巨化股份,bottom_area,2024-09-06,14.42,2024-09-05,14.26,1.1220196353436196,6.661991584852743,29.822834645669293,False,-0.0693,0.8923,2,2,2,100.0,13.22059388199155,16.05657237936772,6.877980364656381,1.1220196353436196,历史2/2次成功; 当前距低点1.12%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
10,80.66810817031072,74.69269275028769,000517,荣安地产,bottom_area,2024-09-06,1.94,2024-09-06,1.94,0.0,2.5773195876288684,31.20567375886525,False,-2.5126,0.8736,2,2,2,100.0,34.10049865746067,40.92827004219408,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.51%; 状态bottom_area; 底部未确认
11,80.30982369259642,77.76479406853527,000037,深南电A,bottom_area,2024-09-06,7.04,2024-08-28,6.88,2.325581395348839,5.523255813953487,28.92561983471074,False,-1.2623,1.3688,7,8,7,87.5,20.777524999627015,45.16765285996055,5.674418604651161,2.325581395348839,历史7/8次成功; 当前距低点2.33%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
