rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.67537821623837,82.65749783217359,688248,南网科技,bottom_area,2023-09-08,29.83,2023-08-25,29.1,2.508591065292085,9.175257731958757,32.29409027454629,True,-0.6329,1.4977,3,3,3,100.0,29.715513231395445,49.406593406593416,7.491408934707916,2.508591065292085,历史3/3次成功; 当前距低点2.51%; 最新日涨幅-0.63%; 状态bottom_area; 底部已确认
2,84.13758786758257,80.26717086165091,601777,千里科技,bottom_area,2023-09-08,3.65,2023-08-25,3.56,2.5280898876404456,8.146067415730338,27.93522267206478,True,0.2747,0.5046,1,1,1,100.0,27.96352583586626,27.96352583586626,7.471910112359555,2.5280898876404456,历史1/1次成功; 当前距低点2.53%; 最新日涨幅0.27%; 状态bottom_area; 底部已确认
3,83.27190527525083,78.42602146237476,300561,汇金科技,bottom_area,2023-09-08,13.19,2023-09-08,12.95,1.853281853281855,3.0115830115830162,29.886302111532213,False,-0.6029,6.0624,2,2,2,100.0,24.79303273041607,27.62128325508607,8.146718146718147,1.853281853281855,历史2/2次成功; 当前距低点1.85%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
4,81.78579395989489,81.59110071267706,688185,康希诺,bottom_area,2023-09-08,72.5,2023-08-29,69.13,4.874873426876905,9.764212353536815,29.61718590918347,True,0.4294,0.7861,6,6,6,100.0,13.848452290088234,19.236097367900253,5.1251265731230955,4.874873426876905,历史6/6次成功; 当前距低点4.87%; 最新日涨幅0.43%; 状态bottom_area; 底部已确认
5,81.5505523428227,78.11169453371937,300614,百川畅银,bottom_area,2023-09-08,22.51,2023-09-01,21.91,2.7384755819260675,4.472843450479235,29.775641025641026,False,1.4878,1.4327,2,2,2,100.0,11.480746561886047,11.8614931237721,7.261524418073933,2.7384755819260675,历史2/2次成功; 当前距低点2.74%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
6,81.37566599141074,75.31089461082998,002755,奥赛康,bottom_area,2023-09-08,7.55,2023-08-24,7.48,0.9358288770053396,6.550802139037423,32.97491039426523,False,0.1326,0.1336,1,1,1,100.0,30.831099195710454,30.831099195710454,9.06417112299466,0.9358288770053396,历史1/1次成功; 当前距低点0.94%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
7,80.00150667663767,78.950605607889,000411,英特集团,bottom_area,2023-09-08,11.87,2023-08-24,11.38,4.305799648506137,9.490333919156415,27.974683544303797,True,-0.0842,1.5782,3,3,3,100.0,31.816283905822544,47.98426745329401,5.694200351493863,4.305799648506137,历史3/3次成功; 当前距低点4.31%; 最新日涨幅-0.08%; 状态bottom_area; 底部已确认
8,76.68788183842156,70.89817032273868,000028,国药一致,bottom_area,2023-09-08,30.92,2023-09-08,30.65,0.8809135399673839,2.0554649265905467,30.577576443941112,False,-0.0323,0.6766,2,2,2,100.0,12.240070934754426,14.150943396226415,9.119086460032616,0.8809135399673839,历史2/2次成功; 当前距低点0.88%; 最新日涨幅-0.03%; 状态bottom_area; 底部未确认
9,76.55481100587906,70.50849251603707,603106,恒银科技,bottom_area,2023-09-08,7.37,2023-09-08,7.32,0.683060109289615,6.284153005464479,28.585365853658534,False,-7.1788,9.2303,1,1,1,100.0,34.60144927536232,34.60144927536232,9.316939890710385,0.683060109289615,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-7.18%; 状态bottom_area; 底部未确认
10,75.92388402367402,75.53497717095368,688339,亿华通,bottom_area,2023-09-08,53.8,2023-08-29,51.37,4.730387385633638,7.416780221919413,27.392226148409897,True,1.4138,0.538,2,2,2,100.0,12.850862420421358,14.0971239981141,5.269612614366363,4.730387385633638,历史2/2次成功; 当前距低点4.73%; 最新日涨幅1.41%; 状态bottom_area; 底部已确认
11,75.6739989416615,75.00613608610031,000572,海马汽车,confirmed_rebound,2023-09-08,4.38,2023-08-29,4.19,4.534606205250585,11.455847255369916,31.42389525368248,True,0.0,1.5536,2,2,2,100.0,17.82278620468623,22.92191435768261,5.465393794749416,4.534606205250585,历史2/2次成功; 当前距低点4.53%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部已确认
