rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.18366223644254,79.88835118221695,688039,当虹科技,bottom_area,2025-10-15,52.89,2025-10-15,51.18,3.341148886283706,3.7514654161781977,27.885021840214176,False,1.9468,4.7902,1,1,1,100.0,45.086938940558035,45.086938940558035,16.658851113716295,3.341148886283706,历史1/1次成功; 当前距低点3.34%; 最新日涨幅1.95%; 状态bottom_area; 底部未确认
2,88.03037285222139,76.8164312647406,301191,菲菱科思,bottom_area,2025-10-15,98.97,2025-10-13,96.54,2.5170913610938395,8.245286927698356,27.890648341798617,True,-1.0003,5.4384,1,1,1,100.0,31.749460043196553,31.749460043196553,17.48290863890616,2.5170913610938395,历史1/1次成功; 当前距低点2.52%; 最新日涨幅-1.00%; 状态bottom_area; 底部已确认
3,87.1996807532466,78.32413559322033,688621,阳光诺和,bottom_area,2025-10-15,61.42,2025-10-14,59.0,4.10169491525424,5.898305084745757,31.355439208842352,False,3.6624,2.9545,1,1,1,100.0,46.0,46.0,15.898305084745761,4.10169491525424,历史1/1次成功; 当前距低点4.10%; 最新日涨幅3.66%; 状态bottom_area; 底部未确认
4,83.77563438100694,75.83381984087832,605298,必得科技,bottom_area,2025-10-15,40.41,2025-10-13,38.66,4.5266425245732025,7.682359027418537,28.007448789571704,True,3.2711,2.1661,1,1,1,100.0,28.626692456479695,28.626692456479695,15.4733574754268,4.5266425245732025,历史1/1次成功; 当前距低点4.53%; 最新日涨幅3.27%; 状态bottom_area; 底部已确认
5,67.813669221013,59.487119521225985,300757,罗博特科,bottom_area,2025-10-15,223.93,2025-10-15,217.82,2.805068405105139,2.8372050316775352,28.031454437322417,False,1.4727,2.9578,1,2,1,50.0,20.498255294976875,20.498255294976875,17.194931594894864,2.805068405105139,历史1/2次成功; 当前距低点2.81%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
6,63.47861655902227,57.10279075485616,600706,曲江文旅,bottom_area,2025-10-15,10.21,2025-10-13,9.8,4.183673469387756,4.59183673469387,31.420573827851634,False,1.2897,4.2515,1,2,1,50.0,24.578313253012034,24.578313253012034,15.816326530612246,4.183673469387756,历史1/2次成功; 当前距低点4.18%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
