rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.8589660506198,84.26840114968775,300668,杰恩股份,bottom_area,2026-02-03,24.43,33.3,2026-01-30,24.0,1.7916666666666654,8.333333333333332,27.92792792792792,26.63663663663663,True,-2.3191,4.9846,3,3,3,100.0,29.588178224127592,36.04488078541374,18.208333333333336,1.7916666666666654,历史3/3次成功; 当前距低点1.79%; 最新日涨幅-2.32%; 状态bottom_area; 底部已确认
2,87.79678188069894,77.32294918794928,301023,奕帆传动,bottom_area,2026-02-03,48.06,65.18,2026-01-30,46.65,3.022508038585217,3.9657020364415896,28.428965940472544,26.265725682724767,False,1.6928,7.6312,1,1,1,100.0,27.388535031847127,27.388535031847127,16.977491961414785,3.022508038585217,历史1/1次成功; 当前距低点3.02%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
3,86.55043559458157,76.76895612225577,600435,北方导航,bottom_area,2026-02-03,16.67,22.55,2026-01-30,16.12,3.4119106699751907,4.83870967741934,28.514412416851435,26.07538802660753,False,3.0921,2.4069,1,1,1,100.0,29.183400267737625,29.183400267737625,16.58808933002481,3.4119106699751907,历史1/1次成功; 当前距低点3.41%; 最新日涨幅3.09%; 状态bottom_area; 底部未确认
4,86.26856624319419,71.8904718693285,600531,豫光金铅,bottom_area,2026-02-03,18.07,24.79,2026-02-03,18.07,0.0,1.6048699501936863,27.107704719645014,27.107704719645014,False,-10.01,15.4655,1,1,1,100.0,45.91651542649727,45.91651542649727,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
5,83.21796059167075,74.41606091370556,600271,航天信息,bottom_area,2026-02-03,10.23,13.99,2026-02-02,9.85,3.8578680203045765,3.8578680203045765,29.592566118656187,26.876340243030732,False,3.5425,1.9693,1,1,1,100.0,21.999999999999996,21.999999999999996,16.142131979695424,3.8578680203045765,历史1/1次成功; 当前距低点3.86%; 最新日涨幅3.54%; 状态bottom_area; 底部未确认
6,79.62255173852888,68.11156411274317,300652,雷迪克,bottom_area,2026-02-03,51.1,74.21,2026-02-03,50.38,1.429138547042475,1.5879317189360802,32.111575259399,31.141355612451143,False,1.2884,2.0363,1,2,1,50.0,54.41115272575945,54.41115272575945,18.570861452957526,1.429138547042475,历史1/2次成功; 当前距低点1.43%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
7,77.16716816715989,64.37756194628965,000603,盛达资源,bottom_area,2026-02-03,49.46,73.59,2026-02-03,49.43,0.0606918875177041,4.187740238721425,32.83054762875391,32.78978122027449,False,-9.9417,9.7848,2,3,2,66.66666666666666,32.89931603851264,35.44303797468355,19.939308112482294,0.0606918875177041,历史2/3次成功; 当前距低点0.06%; 最新日涨幅-9.94%; 状态bottom_area; 底部未确认
8,77.00248946124468,67.27659017700385,300753,爱朋医疗,bottom_area,2026-02-03,32.94,44.12,2026-01-30,32.11,2.584864528184361,3.550295857988168,27.221214868540343,25.339981867633725,False,2.1079,5.5893,2,4,2,50.0,26.344523125076314,28.044496487119456,17.415135471815642,2.584864528184361,历史2/4次成功; 当前距低点2.58%; 最新日涨幅2.11%; 状态bottom_area; 底部未确认
9,76.17327192031907,68.80791738349434,603169,兰石重装,bottom_area,2026-02-03,10.65,14.18,2026-01-29,10.2,4.411764705882364,5.294117647058833,28.067700987306072,24.89421720733427,False,4.2074,2.4377,3,5,3,60.0,35.30505867153828,49.872122762148344,15.588235294117636,4.411764705882364,历史3/5次成功; 当前距低点4.41%; 最新日涨幅4.21%; 状态bottom_area; 底部未确认
10,75.09045557620264,67.14899543497634,688062,迈威生物,bottom_area,2026-02-03,35.53,47.8,2026-02-03,34.21,3.8585209003215444,4.150833089739847,28.430962343096226,25.6694560669456,False,2.1564,3.221,2,4,2,50.0,41.27109186940569,47.1990464839094,16.141479099678456,3.8585209003215444,历史2/4次成功; 当前距低点3.86%; 最新日涨幅2.16%; 状态bottom_area; 底部未确认
11,70.28637354504426,61.61124755827581,300723,一品红,bottom_area,2026-02-03,33.82,45.88,2026-02-02,32.91,2.765116985718638,3.7678517168034094,28.269398430688764,26.28596338273758,False,2.6404,1.4542,1,2,1,50.0,31.428571428571427,31.428571428571427,17.234883014281362,2.765116985718638,历史1/2次成功; 当前距低点2.77%; 最新日涨幅2.64%; 状态bottom_area; 底部未确认
