rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.88395682569069,81.88157308694623,603367,辰欣药业,bottom_area,2024-07-30,12.9,2024-07-30,12.73,1.3354281225451683,1.7282010997643273,27.048710601719193,False,0.7026,0.4393,1,1,1,100.0,31.216931216931226,31.216931216931226,18.664571877454833,1.3354281225451683,历史1/1次成功; 当前距低点1.34%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
2,93.39645585314966,82.94735666449881,000065,北方国际,bottom_area,2024-07-30,9.51,2024-07-25,9.19,3.4820457018498403,4.2437431991294945,30.641509433962266,False,0.9554,0.662,3,3,3,100.0,29.926993896325044,41.48061104582843,16.517954298150162,3.4820457018498403,历史3/3次成功; 当前距低点3.48%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
3,92.43993576477247,81.45816793893133,002687,乔治白,bottom_area,2024-07-30,4.05,2024-07-25,3.93,3.053435114503808,3.307888040712454,32.82051282051282,False,1.25,0.5553,1,1,1,100.0,64.00000000000001,64.00000000000001,16.946564885496194,3.053435114503808,历史1/1次成功; 当前距低点3.05%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
4,89.65408509906838,80.11277691171789,000811,冰轮环境,bottom_area,2024-07-30,8.43,2024-07-24,8.12,3.8177339901477896,7.142857142857144,31.64983164983166,True,-0.8235,0.925,3,3,3,100.0,32.0817763938432,47.451868629671566,16.18226600985221,3.8177339901477896,历史3/3次成功; 当前距低点3.82%; 最新日涨幅-0.82%; 状态bottom_area; 底部已确认
5,88.56760069514148,80.03009425070687,002552,宝鼎科技,bottom_area,2024-07-30,11.08,2024-07-25,10.61,4.429783223374181,7.16305372290292,30.197368421052634,True,0.2715,0.7066,1,1,1,100.0,52.23596574690771,52.23596574690771,15.57021677662582,4.429783223374181,历史1/1次成功; 当前距低点4.43%; 最新日涨幅0.27%; 状态bottom_area; 底部已确认
6,88.00880072770725,78.73280887722909,300349,金卡智能,bottom_area,2024-07-30,10.44,2024-07-25,10.05,3.8805970149253612,4.4776119402985,32.59557344064386,False,0.578,0.6523,1,1,1,100.0,45.48693586698337,45.48693586698337,16.11940298507464,3.8805970149253612,历史1/1次成功; 当前距低点3.88%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
7,87.99887376808967,78.46648609422195,001218,丽臣实业,bottom_area,2024-07-30,14.29,2024-07-25,13.78,3.7010159651669072,4.2089985486211905,30.404040404040412,False,0.2104,0.5648,2,2,2,100.0,25.18711018711019,29.999999999999993,16.298984034833094,3.7010159651669072,历史2/2次成功; 当前距低点3.70%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
8,83.90718018049623,71.00291581284968,002563,森马服饰,bottom_area,2024-07-30,4.82,2024-07-30,4.78,0.836820083682009,2.301255230125511,29.080118694362017,False,-1.4315,0.5633,1,1,1,100.0,28.929384965831446,28.929384965831446,19.163179916317993,0.836820083682009,历史1/1次成功; 当前距低点0.84%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
9,83.69864875637752,75.71326530612244,300469,信息发展,bottom_area,2024-07-30,12.8,2024-07-26,12.25,4.489795918367353,10.204081632653061,28.944315545243615,True,-2.2154,12.1466,1,1,1,100.0,52.431476569407586,52.431476569407586,15.510204081632647,4.489795918367353,历史1/1次成功; 当前距低点4.49%; 最新日涨幅-2.22%; 状态bottom_area; 底部已确认
10,81.67674778151473,73.90407755581674,000629,钒钛股份,bottom_area,2024-07-30,2.32,2024-07-25,2.22,4.504504504504489,4.954954954954949,32.72727272727272,False,0.4329,0.4093,1,1,1,100.0,27.173913043478265,27.173913043478265,15.495495495495511,4.504504504504489,历史1/1次成功; 当前距低点4.50%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
11,81.44644909562274,72.25418677106227,300435,中泰股份,bottom_area,2024-07-30,10.58,2024-07-25,10.23,3.421309872922772,5.571847507331381,27.549575070821525,False,-0.3766,0.3785,1,1,1,100.0,27.498781082398814,27.498781082398814,16.578690127077227,3.421309872922772,历史1/1次成功; 当前距低点3.42%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
12,81.1131878410761,74.03187779145833,002603,以岭药业,bottom_area,2024-07-30,15.18,2024-07-09,14.46,4.979253112033187,10.995850622406637,27.988047808764932,True,0.3968,0.3283,3,4,3,75.0,28.653628424161244,39.661898569570866,15.020746887966812,4.979253112033187,历史3/4次成功; 当前距低点4.98%; 最新日涨幅0.40%; 状态bottom_area; 底部已确认
13,80.17257184431553,70.12733086632421,001309,德明利,bottom_area,2024-07-30,74.81,2024-07-30,72.88,2.648188803512633,3.3342480790340385,28.74462260461479,False,-1.0188,5.1876,3,5,3,60.0,43.253770636198944,64.1432791728213,17.35181119648737,2.648188803512633,历史3/5次成功; 当前距低点2.65%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
14,78.52210415774893,66.0956428899987,603368,柳药集团,bottom_area,2024-07-30,16.51,2024-07-30,16.42,0.5481120584652853,1.2789281364189846,31.867219917012445,False,-0.7216,1.0422,2,3,2,66.66666666666666,37.89608449802624,42.85714285714285,19.451887941534714,0.5481120584652853,历史2/3次成功; 当前距低点0.55%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
15,76.82004221874301,68.91821266337347,601886,江河集团,bottom_area,2024-07-30,4.64,2024-07-25,4.46,4.035874439461877,4.48430493273543,29.54186413902054,False,1.5317,0.5469,2,3,2,66.66666666666666,33.5125791326875,33.5540838852097,15.964125560538122,4.035874439461877,历史2/3次成功; 当前距低点4.04%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
16,75.51189380998497,64.49165853658533,001203,大中矿业,bottom_area,2024-07-30,8.31,2024-07-30,8.2,1.3414634146341613,1.3414634146341613,29.492691315563206,False,0.3623,0.2825,1,2,1,50.0,29.46341463414634,29.46341463414634,18.65853658536584,1.3414634146341613,历史1/2次成功; 当前距低点1.34%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
17,73.42490783011193,66.53303922511947,002246,北化股份,bottom_area,2024-07-30,7.53,2024-07-25,7.2,4.583333333333335,6.111111111111104,31.882686849574267,False,1.4825,2.0856,2,3,2,66.66666666666666,27.399852464800023,31.992687385740403,15.416666666666668,4.583333333333335,历史2/3次成功; 当前距低点4.58%; 最新日涨幅1.48%; 状态bottom_area; 底部未确认
18,73.00680297520677,64.75150641747982,603209,兴通股份,bottom_area,2024-07-30,12.44,2024-07-25,12.03,3.408146300914382,5.569409808811305,28.093245666467432,False,-1.1129,0.5976,2,3,2,66.66666666666666,25.889318908053443,26.115859449192786,16.59185369908562,3.408146300914382,历史2/3次成功; 当前距低点3.41%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
19,72.6686544307874,64.16201331114809,600058,五矿发展,bottom_area,2024-07-30,6.2,2024-07-25,6.01,3.161397670549092,3.9933444259567423,31.85941043083901,False,0.6494,0.2841,1,2,1,50.0,99.54954954954954,99.54954954954954,16.838602329450907,3.161397670549092,历史1/2次成功; 当前距低点3.16%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
20,70.26012439360485,60.228777354494746,002545,东方铁塔,bottom_area,2024-07-30,5.92,2024-07-25,5.83,1.5437392795883338,2.2298456260720396,29.247572815533985,False,0.6803,0.4155,1,3,1,33.33333333333333,28.468653648509758,28.468653648509758,18.45626072041167,1.5437392795883338,历史1/3次成功; 当前距低点1.54%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
21,69.1396666003976,60.28029056309434,601163,三角轮胎,bottom_area,2024-07-30,14.52,2024-07-25,14.17,2.4700070571630177,3.5991531404375428,27.18396711202467,False,0.8333,0.6305,1,2,1,50.0,20.655412115193645,20.655412115193645,17.529992942836984,2.4700070571630177,历史1/2次成功; 当前距低点2.47%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
22,67.62437939806168,57.23168086450686,300638,广和通,bottom_area,2024-07-30,11.95,2024-07-30,11.85,0.8438818565400814,2.7004219409282726,32.09169054441261,False,-1.4026,8.4657,1,2,1,50.0,46.64371772805508,46.64371772805508,19.156118143459917,0.8438818565400814,历史1/2次成功; 当前距低点0.84%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
23,67.43698469280099,60.16146795071569,002833,弘亚数控,bottom_area,2024-07-30,15.86,2024-07-30,15.29,3.727926749509485,4.1203400915631185,31.923419412288517,False,1.5365,1.3784,1,2,1,50.0,35.43624161073825,35.43624161073825,16.272073250490514,3.727926749509485,历史1/2次成功; 当前距低点3.73%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
24,66.0099933558497,57.58044939382923,601666,平煤股份,bottom_area,2024-07-30,9.85,2024-07-25,9.61,2.4973985431841856,5.411030176899078,29.597069597069602,False,1.0256,1.2037,1,4,1,25.0,27.30923694779115,27.30923694779115,17.502601456815814,2.4973985431841856,历史1/4次成功; 当前距低点2.50%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
25,62.107259606798365,53.581836391893575,688169,石头科技,bottom_area,2024-07-30,292.69,2024-07-30,287.25,1.8938207136640548,5.134899912967798,32.082564902823094,False,-3.6189,1.3574,1,3,1,33.33333333333333,29.71190476190475,29.71190476190475,18.106179286335948,1.8938207136640548,历史1/3次成功; 当前距低点1.89%; 最新日涨幅-3.62%; 状态bottom_area; 底部未确认
26,60.774845019429065,51.18292958884736,000933,神火股份,bottom_area,2024-07-30,15.72,2024-07-30,15.63,0.5758157389635308,3.6468330134356908,27.839335180055397,False,-4.0293,1.5349,1,2,1,50.0,21.05263157894737,21.05263157894737,19.42418426103647,0.5758157389635308,历史1/2次成功; 当前距低点0.58%; 最新日涨幅-4.03%; 状态bottom_area; 底部未确认
27,60.4887895947119,54.71423964843647,002346,柘中股份,bottom_area,2024-07-30,7.22,2024-07-25,6.91,4.486251808972498,5.065123010130241,29.989868287740624,False,0.5571,0.2304,1,3,1,33.33333333333333,34.89010989010989,34.89010989010989,15.513748191027505,4.486251808972498,历史1/3次成功; 当前距低点4.49%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
