rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.67231324404763,84.8009523809524,301112,信邦智能,bottom_area,2025-10-31,44.8,2025-10-31,44.1,1.5873015873015774,2.72108843537414,28.870967741935484,False,1.2429,3.4028,1,1,1,100.0,146.66666666666666,146.66666666666666,13.41269841269842,1.5873015873015774,历史1/1次成功; 当前距低点1.59%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
2,90.70590970397257,80.99977443871147,301117,佳缘科技,bottom_area,2025-10-31,32.78,2025-10-30,32.32,1.4232673267326759,3.496287128712879,27.370786516853933,False,0.214,7.4655,1,1,1,100.0,27.552816901408463,27.552816901408463,13.576732673267323,1.4232673267326759,历史1/1次成功; 当前距低点1.42%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
3,86.01661764705884,79.19133689839573,601619,嘉泽新能,bottom_area,2025-10-31,4.38,2025-10-29,4.25,3.0588235294117623,3.7647058823529442,28.451178451178453,False,1.6241,2.6411,1,1,1,100.0,37.878787878787875,37.878787878787875,11.941176470588237,3.0588235294117623,历史1/1次成功; 当前距低点3.06%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
4,82.32570146285434,74.3146165114403,002767,先锋电子,bottom_area,2025-10-31,19.36,2025-10-31,18.98,2.002107481559531,2.5816649104320253,27.47420710737486,False,0.8333,4.1928,3,5,3,60.0,35.37323424406471,52.04379562043795,12.997892518440468,2.002107481559531,历史3/5次成功; 当前距低点2.00%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
5,81.18735310143437,76.61725848105903,300141,和顺电气,bottom_area,2025-10-31,11.66,2025-10-23,11.17,4.386750223813789,8.504923903312438,27.935483870967744,True,2.2807,5.6702,1,1,1,100.0,31.123919308357333,31.123919308357333,10.61324977618621,4.386750223813789,历史1/1次成功; 当前距低点4.39%; 最新日涨幅2.28%; 状态bottom_area; 底部已确认
6,79.37503413615093,72.55660407860155,002123,梦网科技,bottom_area,2025-10-31,12.28,2025-10-31,11.96,2.675585284280924,3.1772575250836037,31.066282420749282,False,2.0781,3.1035,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,12.324414715719076,2.675585284280924,历史2/3次成功; 当前距低点2.68%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
7,78.56798747881147,69.36156313499046,002678,珠江钢琴,bottom_area,2025-10-31,4.98,2025-10-31,4.94,0.8097165991902842,2.0242914979757014,29.327610872675248,False,-0.2004,2.1326,3,4,3,75.0,23.939338608302766,35.5191256830601,14.190283400809717,0.8097165991902842,历史3/4次成功; 当前距低点0.81%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
8,75.51401885564947,71.2476901067427,603305,旭升集团,bottom_area,2025-10-31,15.03,2025-10-23,14.4,4.374999999999993,7.152777777777773,29.064039408867,True,2.1754,5.2021,4,6,4,66.66666666666666,24.333459355247438,32.41061130334487,10.625000000000007,4.374999999999993,历史4/6次成功; 当前距低点4.37%; 最新日涨幅2.18%; 状态bottom_area; 底部已确认
9,72.46574743192399,66.03441673792696,300563,神宇股份,bottom_area,2025-10-31,37.6,2025-10-23,36.68,2.5081788440567117,6.27044711014176,28.776699029126213,False,0.8043,2.8726,2,4,2,50.0,18.72615323858206,20.477137176938378,12.491821155943288,2.5081788440567117,历史2/4次成功; 当前距低点2.51%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
10,68.90406539219275,59.91657860190674,000620,盈新发展,bottom_area,2025-10-31,2.48,2025-10-31,2.48,0.0,13.709677419354833,27.906976744186046,False,-10.1449,14.5956,5,9,5,55.55555555555556,27.837041467837953,58.4192439862543,15.0,0.0,历史5/9次成功; 当前距低点0.00%; 最新日涨幅-10.14%; 状态bottom_area; 底部未确认
11,58.95660410510638,54.71250467343478,601669,中国电建,bottom_area,2025-10-31,5.64,2025-09-29,5.45,3.4862385321100824,9.174311926605503,30.484693877551017,True,-2.5907,2.1215,1,2,1,50.0,16.457680250783696,16.457680250783696,11.513761467889918,3.4862385321100824,历史1/2次成功; 当前距低点3.49%; 最新日涨幅-2.59%; 状态bottom_area; 底部已确认
12,58.53059636689796,54.16081913741042,688036,传音控股,bottom_area,2025-10-31,76.3,2025-10-23,73.84,3.3315276273022665,5.728602383531947,29.609151572926596,False,1.5979,0.7652,1,4,1,25.0,19.148936170212753,19.148936170212753,11.668472372697734,3.3315276273022665,历史1/4次成功; 当前距低点3.33%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
