rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.07723804169267,73.98118172580234,000818,航锦科技,bottom_area,2025-01-15,15.43,2025-01-13,14.7,4.965986394557826,8.027210884353753,31.340495095749652,True,-2.6498,1.7621,1,1,1,100.0,46.52489626556016,46.52489626556016,15.034013605442176,4.965986394557826,历史1/1次成功; 当前距低点4.97%; 最新日涨幅-2.65%; 状态bottom_area; 底部已确认
2,79.09766913305543,70.6625575510458,002246,北化股份,bottom_area,2025-01-15,9.55,2025-01-06,9.2,3.804347826086972,6.521739130434799,27.38752959747435,False,-0.9336,1.6204,3,4,3,75.0,27.803605346903716,31.992687385740403,16.19565217391303,3.804347826086972,历史3/4次成功; 当前距低点3.80%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
3,75.72482357764918,69.11392628118772,002047,宝鹰股份,bottom_area,2025-01-15,2.53,2025-01-13,2.41,4.979253112033181,7.46887966804978,28.27380952380952,True,-1.5564,1.8109,1,1,1,100.0,20.51948051948051,20.51948051948051,15.020746887966821,4.979253112033181,历史1/1次成功; 当前距低点4.98%; 最新日涨幅-1.56%; 状态bottom_area; 底部已确认
4,73.4330661019896,65.19305208394455,600325,华发股份,bottom_area,2025-01-15,5.38,2025-01-13,5.2,3.4615384615384563,4.8076923076923075,29.539295392953925,False,-0.9208,1.0103,2,3,2,66.66666666666666,28.917704890244938,32.553606237816766,16.538461538461547,3.4615384615384563,历史2/3次成功; 当前距低点3.46%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
5,68.42679251498319,61.84428577606001,300434,金石亚药,bottom_area,2025-01-15,8.7,2025-01-13,8.33,4.441776710684264,7.563025210084043,27.439024390243905,True,-2.7933,6.3553,2,4,2,50.0,33.18030471193622,39.62264150943396,15.558223289315738,4.441776710684264,历史2/4次成功; 当前距低点4.44%; 最新日涨幅-2.79%; 状态bottom_area; 底部已确认
6,67.76820889209631,60.21095994606732,300347,泰格医药,bottom_area,2025-01-15,50.21,2025-01-13,48.51,3.5044320758606538,5.400948258091125,29.797395079594786,False,-0.7708,1.8727,2,4,2,50.0,22.102500424890394,23.423271500843175,16.495567924139348,3.5044320758606538,历史2/4次成功; 当前距低点3.50%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
7,62.379999999999995,51.983333333333334,002184,海得控制,bottom_area,2025-01-15,14.78,2025-01-15,14.78,0.0,7.374830852503382,28.599033816425123,False,-9.9878,32.8976,1,3,1,33.33333333333333,50.27203482045704,50.27203482045704,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
8,61.41896055120568,54.30870565313576,300682,朗新科技,bottom_area,2025-01-15,10.51,2025-01-13,10.18,3.241650294695482,7.26915520628684,29.256428075052128,True,-3.0443,1.6345,1,2,1,50.0,21.503593145384194,21.503593145384194,16.75834970530452,3.241650294695482,历史1/2次成功; 当前距低点3.24%; 最新日涨幅-3.04%; 状态bottom_area; 底部已确认
9,59.37279447528876,53.40822615308313,000629,钒钛股份,bottom_area,2025-01-15,2.74,2025-01-13,2.63,4.182509505703434,6.083650190114074,27.348066298342545,False,-1.083,0.6724,1,2,1,50.0,27.173913043478265,27.173913043478265,15.817490494296566,4.182509505703434,历史1/2次成功; 当前距低点4.18%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
10,59.23201890133579,53.84728991030527,605208,永茂泰,bottom_area,2025-01-15,7.26,2025-01-13,6.93,4.761904761904763,7.647907647907652,29.501525940996952,True,-2.5503,4.9351,1,3,1,33.33333333333333,46.887631366208595,46.887631366208595,15.238095238095239,4.761904761904763,历史1/3次成功; 当前距低点4.76%; 最新日涨幅-2.55%; 状态bottom_area; 底部已确认
11,53.64031936901994,48.73809150615588,000002,万科A,bottom_area,2025-01-15,6.86,2025-01-13,6.55,4.7328244274809235,6.259541984732826,27.1412680756396,False,-0.7236,0.9131,1,3,1,33.33333333333333,28.255902513328245,28.255902513328245,15.267175572519076,4.7328244274809235,历史1/3次成功; 当前距低点4.73%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
12,52.98892751204978,48.05041285727435,688117,圣诺生物,bottom_area,2025-01-15,23.76,2025-01-13,22.71,4.623513870541615,6.340819022457057,27.629063097514333,False,-1.5334,0.9264,1,4,1,25.0,24.6076585059636,24.6076585059636,15.376486129458385,4.623513870541615,历史1/4次成功; 当前距低点4.62%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
13,50.80178733352925,46.07009925194349,300601,康泰生物,bottom_area,2025-01-15,15.15,2025-01-13,14.48,4.627071823204419,6.21546961325967,28.775209050664035,False,-1.3672,0.9547,1,5,1,20.0,24.837758112094402,24.837758112094402,15.37292817679558,4.627071823204419,历史1/5次成功; 当前距低点4.63%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
