rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.48267299290798,80.06072750022345,002385,大北农,bottom_area,2023-05-17,6.8,2023-05-15,6.7,1.4925373134328304,2.9850746268656745,32.25480283114257,False,0.0,0.5098,1,1,1,100.0,23.353293413173663,23.353293413173663,18.507462686567173,1.4925373134328304,历史1/1次成功; 当前距低点1.49%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,90.23267742866923,78.47803293096585,688289,圣湘生物,bottom_area,2023-05-17,18.4,2023-04-26,17.98,2.3359288097886437,12.45828698553948,27.058823529411757,False,0.6014,0.4845,1,1,1,100.0,25.182530200451346,25.182530200451346,17.66407119021136,2.3359288097886437,历史1/1次成功; 当前距低点2.34%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
3,90.1672238524701,78.58611253196935,000629,钒钛股份,bottom_area,2023-05-17,4.18,2023-04-25,4.08,2.450980392156854,9.803921568627459,31.08108108108108,False,0.4808,0.2945,1,1,1,100.0,27.173913043478265,27.173913043478265,17.549019607843146,2.450980392156854,历史1/1次成功; 当前距低点2.45%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
4,87.64220704116704,75.39260126939004,600199,金种子酒,bottom_area,2023-05-17,22.28,2023-05-17,21.9,1.73515981735161,2.3744292237443068,30.43202033036849,False,-0.4913,1.8255,1,1,1,100.0,23.70304114490161,23.70304114490161,18.26484018264839,1.73515981735161,历史1/1次成功; 当前距低点1.74%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
5,87.27463981357208,77.40733160852886,300762,上海瀚讯,bottom_area,2023-05-17,11.83,2023-05-10,11.44,3.4090909090909145,4.895104895104899,27.50316856780735,False,1.7197,0.8863,1,1,1,100.0,32.580961727183514,32.580961727183514,16.590909090909086,3.4090909090909145,历史1/1次成功; 当前距低点3.41%; 最新日涨幅1.72%; 状态bottom_area; 底部未确认
6,85.96538210546342,72.30225012664398,300661,圣邦股份,bottom_area,2023-05-17,119.7,2023-05-17,119.1,0.5037783375314934,2.5020990764063846,30.480971281811815,False,-1.0007,0.5748,1,1,1,100.0,31.832606108687024,31.832606108687024,19.496221662468507,0.5037783375314934,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
7,85.4338323381369,77.48558338542506,688206,概伦电子,bottom_area,2023-05-17,27.55,2023-05-15,26.33,4.633497911128001,5.393087732624389,28.6449864498645,False,1.2495,1.1087,2,2,2,100.0,31.34386356342422,39.570720968629594,15.366502088872,4.633497911128001,历史2/2次成功; 当前距低点4.63%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
8,84.93378026926523,76.47898787207085,688075,安旭生物,bottom_area,2023-05-17,67.39,2023-05-10,64.65,4.2382057231245085,4.94972931167825,30.37906525953047,False,0.104,1.082,4,5,4,80.0,31.086542584917854,40.134529147982065,15.761794276875493,4.2382057231245085,历史4/5次成功; 当前距低点4.24%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
9,83.38283905122117,75.93567946511703,688181,八亿时空,bottom_area,2023-05-17,34.75,2023-05-15,33.14,4.8581774290887125,4.8581774290887125,29.157759726378796,False,2.7802,0.9711,2,2,2,100.0,25.76518281418983,28.477257745550418,15.14182257091129,4.8581774290887125,历史2/2次成功; 当前距低点4.86%; 最新日涨幅2.78%; 状态bottom_area; 底部未确认
10,81.40819999855589,69.01235097069802,300653,正海生物,bottom_area,2023-05-17,34.54,2023-05-17,34.22,0.9351256575102287,5.435417884278198,28.900893413671312,False,-4.0822,4.3271,1,1,1,100.0,29.647513278609367,29.647513278609367,19.064874342489773,0.9351256575102287,历史1/1次成功; 当前距低点0.94%; 最新日涨幅-4.08%; 状态bottom_area; 底部未确认
11,80.55831206851697,73.18029837944205,300426,华智数媒,bottom_area,2023-05-17,12.2,2023-05-17,11.65,4.7210300429184455,7.124463519313305,32.030338389731625,False,1.1609,5.7942,1,1,1,100.0,25.936811168258643,25.936811168258643,15.278969957081557,4.7210300429184455,历史1/1次成功; 当前距低点4.72%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
12,75.02685109622244,67.338103773816,002690,美亚光电,bottom_area,2023-05-17,24.61,2023-05-15,23.65,4.059196617336156,4.312896405919675,28.765060240963862,False,2.5417,0.8355,2,3,2,66.66666666666666,25.30325481008482,27.355278093076052,15.940803382663846,4.059196617336156,历史2/3次成功; 当前距低点4.06%; 最新日涨幅2.54%; 状态bottom_area; 底部未确认
13,74.18558251744052,66.76103672877014,002245,蔚蓝锂芯,bottom_area,2023-05-17,11.15,2023-04-26,10.7,4.2056074766355245,8.317757009345799,29.512516469038214,False,0.4505,1.2378,2,3,2,66.66666666666666,23.995457574368096,25.653923541247494,15.794392523364476,4.2056074766355245,历史2/3次成功; 当前距低点4.21%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
14,73.46723627759383,62.957602841308244,002405,四维图新,bottom_area,2023-05-17,11.31,2023-05-16,11.14,1.5260323159784552,2.5134649910233335,27.75616083009079,False,1.1628,0.8909,1,2,1,50.0,23.478260869565215,23.478260869565215,18.47396768402155,1.5260323159784552,历史1/2次成功; 当前距低点1.53%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
