rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.11532991023844,84.65816933806161,688350,富淼科技,bottom_area,2023-05-10,16.24,2023-05-05,16.04,1.246882793017452,4.301745635910232,32.774518021793796,False,0.3708,1.8449,2,2,2,100.0,28.392807022265636,38.54748603351957,13.753117206982548,1.246882793017452,历史2/2次成功; 当前距低点1.25%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
2,94.02289197432151,83.98001528273053,000935,四川双马,bottom_area,2023-05-10,18.38,2023-05-05,18.12,1.434878587196457,3.532008830022078,32.68945022288261,False,0.1089,0.3554,1,1,1,100.0,43.71794871794874,43.71794871794874,13.565121412803544,1.434878587196457,历史1/1次成功; 当前距低点1.43%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
3,91.3549402223625,83.4159869972175,002245,蔚蓝锂芯,bottom_area,2023-05-10,10.98,2023-04-26,10.7,2.616822429906553,8.317757009345799,29.512516469038214,False,1.5726,1.5968,3,3,3,100.0,21.840549125830286,25.653923541247494,12.383177570093446,2.616822429906553,历史3/3次成功; 当前距低点2.62%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
4,91.18417725342218,82.57818034907058,688010,福光股份,bottom_area,2023-05-10,23.48,2023-05-10,22.98,2.175805047867711,2.7415143603133116,30.907997594708352,False,0.7293,0.9757,2,2,2,100.0,28.59685945273632,42.08955223880597,12.82419495213229,2.175805047867711,历史2/2次成功; 当前距低点2.18%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
5,90.75850286689064,81.53962220041888,688048,长光华芯,bottom_area,2023-05-10,86.14,2023-05-10,84.66,1.7481691471769478,2.7521852114339693,28.857142857142858,False,0.1628,1.3923,2,2,2,100.0,17.771225032162963,19.48504983388705,13.251830852823051,1.7481691471769478,历史2/2次成功; 当前距低点1.75%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
6,89.81376839934958,79.95923669470841,688181,八亿时空,bottom_area,2023-05-10,33.75,2023-05-10,33.33,1.2601260126012652,2.820282028202835,28.751603249251822,False,-1.4886,1.6994,2,2,2,100.0,25.76518281418983,28.477257745550418,13.739873987398735,1.2601260126012652,历史2/2次成功; 当前距低点1.26%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
7,88.67108362069744,78.99968392775531,688075,安旭生物,bottom_area,2023-05-10,65.49,2023-05-10,64.65,1.2993039443155285,2.567672080433096,30.37906525953047,False,-0.0763,1.4231,4,5,4,80.0,31.086542584917854,40.134529147982065,13.700696055684473,1.2993039443155285,历史4/5次成功; 当前距低点1.30%; 最新日涨幅-0.08%; 状态bottom_area; 底部未确认
8,88.48959715928561,78.21588708383734,688008,澜起科技,bottom_area,2023-05-10,56.49,2023-05-10,56.0,0.8750000000000036,5.0357142857142865,28.68059093224656,False,-2.3847,1.4083,3,3,3,100.0,34.8434789453621,62.20095693779905,14.124999999999996,0.8750000000000036,历史3/3次成功; 当前距低点0.88%; 最新日涨幅-2.38%; 状态bottom_area; 底部未确认
9,87.9850686604462,78.66214747788236,688321,微芯生物,bottom_area,2023-05-10,23.22,2023-05-10,22.88,1.4860139860139854,3.0157342657342716,29.1640866873065,False,0.2591,0.7089,1,1,1,100.0,15.754082612872244,15.754082612872244,13.513986013986015,1.4860139860139854,历史1/1次成功; 当前距低点1.49%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
10,86.24927200563435,76.69833060031124,688182,灿勤科技,bottom_area,2023-05-10,16.88,2023-05-10,16.68,1.199040767386087,4.856115107913662,28.687473279179137,False,-0.7643,3.7045,1,1,1,100.0,24.15130940834142,24.15130940834142,13.800959232613913,1.199040767386087,历史1/1次成功; 当前距低点1.20%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
11,86.16932428059575,78.35122536700587,688289,圣湘生物,bottom_area,2023-05-10,18.41,2023-04-26,17.98,2.391546162402668,12.45828698553948,27.058823529411757,False,0.327,0.7861,1,1,1,100.0,25.182530200451346,25.182530200451346,12.608453837597331,2.391546162402668,历史1/1次成功; 当前距低点2.39%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
