rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.82913935385197,84.77936944462746,688195,腾景科技,bottom_area,2023-07-12,41.06,2023-07-11,40.5,1.3827160493827217,6.8148148148148096,29.626411815812332,False,-1.2981,8.0143,7,7,7,100.0,19.849258264623995,38.77410468319559,8.617283950617278,1.3827160493827217,历史7/7次成功; 当前距低点1.38%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
2,87.17567071756265,80.96811521755046,688156,路德科技,bottom_area,2023-07-12,26.1,2023-07-11,25.81,1.123595505617988,3.7969779155366155,28.285634898582945,False,-1.2859,1.031,2,2,2,100.0,29.515661130964897,44.22535211267606,8.876404494382012,1.123595505617988,历史2/2次成功; 当前距低点1.12%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
3,85.49039780520293,83.88410640594023,603222,济民健康,bottom_area,2023-07-12,9.87,2023-07-10,9.49,4.004214963119062,6.111696522655427,27.112135176651304,False,2.5988,3.3245,7,7,7,100.0,24.697400655116585,68.46504559270518,5.995785036880939,4.004214963119062,历史7/7次成功; 当前距低点4.00%; 最新日涨幅2.60%; 状态bottom_area; 底部未确认
4,82.91998022710884,76.29529698805675,688258,卓易信息,bottom_area,2023-07-12,60.59,2023-07-12,60.21,0.6311243979405458,3.670486630127887,30.33668864977439,False,-2.3372,1.6353,3,3,3,100.0,21.528282878285978,27.716894977168955,9.368875602059456,0.6311243979405458,历史3/3次成功; 当前距低点0.63%; 最新日涨幅-2.34%; 状态bottom_area; 底部未确认
5,82.89810254307889,76.87138588935358,002825,纳尔股份,bottom_area,2023-07-12,8.75,2023-07-07,8.66,1.0392609699769038,2.886836027713626,32.55451713395638,False,-1.2415,0.937,1,1,1,100.0,23.123123123123136,23.123123123123136,8.960739030023095,1.0392609699769038,历史1/1次成功; 当前距低点1.04%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
6,81.07138181833074,76.91029688970036,688236,春立医疗,bottom_area,2023-07-12,24.25,2023-06-28,23.72,2.2344013490725176,7.082630691399662,32.228571428571435,True,-0.98,1.7433,1,1,1,100.0,28.788881535407025,28.788881535407025,7.765598650927482,2.2344013490725176,历史1/1次成功; 当前距低点2.23%; 最新日涨幅-0.98%; 状态bottom_area; 底部已确认
7,80.0924311249561,72.98310296892066,002755,奥赛康,bottom_area,2023-07-12,8.11,2023-07-12,8.1,0.12345679012345416,2.345679012345673,27.41935483870968,False,-2.1713,0.3459,1,1,1,100.0,30.831099195710454,30.831099195710454,9.876543209876546,0.12345679012345416,历史1/1次成功; 当前距低点0.12%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
8,77.61070766512641,76.88502315044362,603178,圣龙股份,bottom_area,2023-07-12,12.29,2023-07-11,11.76,4.50680272108843,7.90816326530612,28.11735941320293,True,1.7384,9.1981,2,2,2,100.0,17.36845889529691,21.994535519125673,5.493197278911571,4.50680272108843,历史2/2次成功; 当前距低点4.51%; 最新日涨幅1.74%; 状态bottom_area; 底部已确认
9,76.23557517795564,69.77829430204685,601669,中国电建,bottom_area,2023-07-12,5.63,2023-06-07,5.61,0.35650623885917243,5.882352941176471,29.78723404255319,False,-1.4011,0.763,1,1,1,100.0,16.457680250783696,16.457680250783696,9.643493761140828,0.35650623885917243,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
10,76.01894558327376,72.13610171505935,600990,四创电子,bottom_area,2023-07-12,23.65,2023-07-10,23.13,2.2481625594466044,6.917423259835717,27.921470863197268,False,-1.7857,1.1344,1,1,1,100.0,12.483399734395755,12.483399734395755,7.7518374405533965,2.2481625594466044,历史1/1次成功; 当前距低点2.25%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
11,75.94885514018695,69.45750000000001,002153,石基信息,bottom_area,2023-07-12,12.84,2023-07-07,12.8,0.31249999999999334,5.156250000000001,27.683615819209034,False,-1.9847,0.6651,1,1,1,100.0,14.193548387096769,14.193548387096769,9.687500000000007,0.31249999999999334,历史1/1次成功; 当前距低点0.31%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
12,75.40356334499816,68.54869394999832,605266,健之佳,bottom_area,2023-07-12,58.45,2023-07-12,58.45,0.0,2.104362703165093,32.9932362719248,False,-1.7647,0.7328,3,4,3,75.0,21.901580376335108,33.154615273148806,10.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
13,74.17710495646534,67.65584900350498,601360,三六零,bottom_area,2023-07-12,11.63,2023-07-12,11.61,0.17226528854436995,4.478897502153328,28.15594059405941,False,-4.2798,2.8073,1,1,1,100.0,13.003300330033007,13.003300330033007,9.827734711455632,0.17226528854436995,历史1/1次成功; 当前距低点0.17%; 最新日涨幅-4.28%; 状态bottom_area; 底部未确认
14,74.1254748457903,72.12208363374191,600935,华塑股份,bottom_area,2023-07-12,3.78,2023-06-27,3.65,3.5616438356164357,6.575342465753431,28.571428571428577,False,-1.8182,0.3343,1,1,1,100.0,28.50877192982458,28.50877192982458,6.438356164383566,3.5616438356164357,历史1/1次成功; 当前距低点3.56%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
15,73.5864770291294,68.0329337676949,688085,三友医疗,bottom_area,2023-07-12,25.15,2023-06-26,24.93,0.8824709185719971,6.498194945848379,29.25652667423383,False,-1.681,0.2295,1,1,1,100.0,13.52133044107013,13.52133044107013,9.117529081428003,0.8824709185719971,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
16,73.46870216043565,72.33656478908297,002545,东方铁塔,bottom_area,2023-07-12,7.22,2023-06-26,6.93,4.184704184704185,5.916305916305919,27.58620689655173,False,-0.4138,0.7718,2,2,2,100.0,20.63274371079842,28.468653648509758,5.815295815295815,4.184704184704185,历史2/2次成功; 当前距低点4.18%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
17,73.31858079690092,66.95980769230768,002858,力盛体育,bottom_area,2023-07-12,20.85,2023-07-12,20.8,0.24038461538461878,5.91346153846154,31.375783569778946,False,-3.9171,4.6693,1,1,1,100.0,10.096153846153843,10.096153846153843,9.759615384615381,0.24038461538461878,历史1/1次成功; 当前距低点0.24%; 最新日涨幅-3.92%; 状态bottom_area; 底部未确认
18,70.33657633580104,69.40638763553103,002084,海鸥住工,bottom_area,2023-07-12,3.88,2023-06-26,3.72,4.301075268817196,8.333333333333334,28.598848368522066,True,-2.0202,0.7654,1,1,1,100.0,13.778705636743219,13.778705636743219,5.698924731182804,4.301075268817196,历史1/1次成功; 当前距低点4.30%; 最新日涨幅-2.02%; 状态bottom_area; 底部已确认
19,70.32574286281265,67.16763173753849,600984,建设机械,bottom_area,2023-07-12,4.36,2023-06-12,4.25,2.5882352941176547,8.23529411764705,32.0,True,-2.8953,0.834,2,3,2,66.66666666666666,19.63516957774231,20.21439509954057,7.411764705882345,2.5882352941176547,历史2/3次成功; 当前距低点2.59%; 最新日涨幅-2.90%; 状态bottom_area; 底部已确认
20,62.5183372185568,60.647859583721676,000792,盐湖股份,bottom_area,2023-07-12,19.13,2023-05-30,18.5,3.4054054054054,7.5675675675675595,29.49695121951219,True,0.0,0.3947,1,2,1,50.0,24.904214559386965,24.904214559386965,6.594594594594601,3.4054054054054,历史1/2次成功; 当前距低点3.41%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
21,52.83017349969696,48.32354190995404,688318,财富趋势,bottom_area,2023-07-12,90.35,2023-07-12,90.06,0.32200755052186547,5.3519875638463175,27.17127607957302,False,-5.1842,2.0181,1,3,1,33.33333333333333,22.012826837691176,22.012826837691176,9.677992449478134,0.32200755052186547,历史1/3次成功; 当前距低点0.32%; 最新日涨幅-5.18%; 状态bottom_area; 底部未确认
