rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.6967647969988,87.00007672634271,000957,中通客车,bottom_area,2024-01-22,8.14,2024-01-18,7.82,4.092071611253201,8.95140664961636,28.125,True,1.3699,3.4106,3,3,3,100.0,132.3344468028054,354.54545454545456,10.907928388746798,4.092071611253201,历史3/3次成功; 当前距低点4.09%; 最新日涨幅1.37%; 状态bottom_area; 底部已确认
2,91.97514700022477,81.68837477987158,001309,德明利,bottom_area,2024-01-22,68.77,2024-01-22,68.0,1.1323529411764648,8.676470588235302,29.0187891440501,False,-6.3079,2.8421,3,3,3,100.0,27.043760676096344,45.392,13.867647058823534,1.1323529411764648,历史3/3次成功; 当前距低点1.13%; 最新日涨幅-6.31%; 状态bottom_area; 底部未确认
3,91.3229138002919,80.09068376068379,300735,光弘科技,bottom_area,2024-01-22,17.63,2024-01-22,17.55,0.4558404558404461,8.660968660968658,27.178423236514526,False,-7.0148,2.988,3,3,3,100.0,50.43111523258737,93.48973607038124,14.544159544159555,0.4558404558404461,历史3/3次成功; 当前距低点0.46%; 最新日涨幅-7.01%; 状态bottom_area; 底部未确认
4,88.14962509577659,78.86520515826493,300636,同和药业,bottom_area,2024-01-22,8.66,2024-01-22,8.53,1.524032825322401,10.316529894490046,29.211618257261417,False,-7.5774,0.9699,1,1,1,100.0,122.63187748156552,122.63187748156552,13.4759671746776,1.524032825322401,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-7.58%; 状态bottom_area; 底部未确认
5,88.1220371243975,78.85020408163265,002426,胜利精密,bottom_area,2024-01-22,1.99,2024-01-22,1.96,1.5306122448979604,7.1428571428571495,28.72727272727273,False,-4.7847,1.4085,1,1,1,100.0,51.31578947368419,51.31578947368419,13.469387755102039,1.5306122448979604,历史1/1次成功; 当前距低点1.53%; 最新日涨幅-4.78%; 状态bottom_area; 底部未确认
6,87.85891726535222,77.94269138097216,002347,泰尔股份,bottom_area,2024-01-22,4.72,2024-01-22,4.67,1.0706638115631655,8.779443254817991,30.917159763313606,False,-6.3492,10.2794,2,2,2,100.0,22.816155222237516,29.585798816568047,13.929336188436833,1.0706638115631655,历史2/2次成功; 当前距低点1.07%; 最新日涨幅-6.35%; 状态bottom_area; 底部未确认
7,87.84326193157793,79.18235763189496,300538,同益股份,bottom_area,2024-01-22,14.82,2024-01-22,14.54,1.925722145804685,9.697386519944981,28.899755501222497,False,-6.3211,4.5996,3,3,3,100.0,23.295721098546444,30.150753768844226,13.074277854195316,1.925722145804685,历史3/3次成功; 当前距低点1.93%; 最新日涨幅-6.32%; 状态bottom_area; 底部未确认
8,87.53726538220918,78.57049013712066,603289,泰瑞机器,bottom_area,2024-01-22,8.39,2024-01-22,8.25,1.6969696969697037,10.909090909090914,28.509532062391674,False,-8.0044,2.2586,2,2,2,100.0,33.86871530221285,40.702947845804985,13.303030303030294,1.6969696969697037,历史2/2次成功; 当前距低点1.70%; 最新日涨幅-8.00%; 状态bottom_area; 底部未确认
9,87.28192854379662,78.39194805194805,002337,赛象科技,bottom_area,2024-01-22,4.7,2024-01-22,4.62,1.731601731601733,8.874458874458877,28.037383177570092,False,-6.0,3.785,1,1,1,100.0,60.465116279069754,60.465116279069754,13.268398268398265,1.731601731601733,历史1/1次成功; 当前距低点1.73%; 最新日涨幅-6.00%; 状态bottom_area; 底部未确认
10,86.75124926598359,77.93909923972438,688337,普源精电,bottom_area,2024-01-22,36.09,2024-01-22,35.47,1.7479560191711434,10.769664505215676,30.01183898973954,False,-6.3327,3.2266,2,2,2,100.0,31.09913421201392,33.36842105263158,13.252043980828857,1.7479560191711434,历史2/2次成功; 当前距低点1.75%; 最新日涨幅-6.33%; 状态bottom_area; 底部未确认
11,86.69174782093731,78.06833723653396,002666,德联集团,bottom_area,2024-01-22,4.35,2024-01-22,4.27,1.8735362997658096,9.836065573770512,27.13310580204779,False,-7.2495,3.2653,1,1,1,100.0,51.275510204081634,51.275510204081634,13.12646370023419,1.8735362997658096,历史1/1次成功; 当前距低点1.87%; 最新日涨幅-7.25%; 状态bottom_area; 底部未确认
12,86.35246597744816,76.98029240184862,300353,东土科技,bottom_area,2024-01-22,7.61,2024-01-22,7.51,1.3315579227696475,9.187749667110513,31.54056517775753,False,-6.3961,2.3211,2,2,2,100.0,20.840024009480672,21.377672209026137,13.668442077230353,1.3315579227696475,历史2/2次成功; 当前距低点1.33%; 最新日涨幅-6.40%; 状态bottom_area; 底部未确认
13,86.10555759746771,77.1946624756773,002397,梦洁股份,bottom_area,2024-01-22,3.11,2024-01-22,3.06,1.6339869281045694,10.784313725490199,30.925507900677196,False,-8.2596,3.757,1,1,1,100.0,42.36641221374045,42.36641221374045,13.36601307189543,1.6339869281045694,历史1/1次成功; 当前距低点1.63%; 最新日涨幅-8.26%; 状态bottom_area; 底部未确认
14,85.69772530274467,76.1956762629006,002681,奋达科技,bottom_area,2024-01-22,4.25,2024-01-22,4.2,1.1904761904761862,8.095238095238091,27.835051546391753,False,-6.3877,1.2281,1,1,1,100.0,31.558935361216733,31.558935361216733,13.809523809523814,1.1904761904761862,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-6.39%; 状态bottom_area; 底部未确认
15,85.24128540248851,76.1568599639336,002313,日海智能,bottom_area,2024-01-22,8.4,2024-01-22,8.28,1.4492753623188528,8.695652173913052,28.98799313893654,False,-5.618,2.2498,2,2,2,100.0,17.855955860325707,20.08238928939237,13.550724637681148,1.4492753623188528,历史2/2次成功; 当前距低点1.45%; 最新日涨幅-5.62%; 状态bottom_area; 底部未确认
16,85.2038879665897,76.78952465932521,002708,光洋股份,bottom_area,2024-01-22,8.51,2024-01-22,8.35,1.9161676646706605,9.22155688622754,30.30050083472455,False,-6.6886,18.9636,2,2,2,100.0,26.980574918141464,35.522388059701484,13.08383233532934,1.9161676646706605,历史2/2次成功; 当前距低点1.92%; 最新日涨幅-6.69%; 状态bottom_area; 底部未确认
17,85.04315430677104,75.62374679213002,000042,中洲控股,bottom_area,2024-01-22,5.07,2024-01-22,5.01,1.1976047904191716,8.982035928143716,29.63483146067416,False,-7.3126,1.5719,1,1,1,100.0,28.57142857142858,28.57142857142858,13.802395209580828,1.1976047904191716,历史1/1次成功; 当前距低点1.20%; 最新日涨幅-7.31%; 状态bottom_area; 底部未确认
18,84.68896109364324,75.47511578947372,603075,热威股份,bottom_area,2024-01-22,20.02,2024-01-22,19.76,1.3157894736842004,9.919028340080956,29.554367201426025,False,-7.8269,9.9252,1,1,1,100.0,29.221052631578953,29.221052631578953,13.684210526315798,1.3157894736842004,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-7.83%; 状态bottom_area; 底部未确认
19,84.488155835732,75.1005829650951,300593,新雷能,bottom_area,2024-01-22,11.18,2024-01-22,11.05,1.176470588235285,8.325791855203619,29.841269841269835,False,-6.2081,2.6078,1,1,1,100.0,25.499655410062033,25.499655410062033,13.823529411764715,1.176470588235285,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-6.21%; 状态bottom_area; 底部未确认
20,84.27716279251104,76.7296103896104,002577,雷柏科技,bottom_area,2024-01-22,14.99,2024-01-22,14.63,2.460697197539299,10.731373889268616,28.634146341463413,False,-7.7538,3.9336,1,1,1,100.0,50.0,50.0,12.5393028024607,2.460697197539299,历史1/1次成功; 当前距低点2.46%; 最新日涨幅-7.75%; 状态bottom_area; 底部未确认
21,84.03247556198772,74.46103688814263,002600,领益智造,bottom_area,2024-01-22,5.01,2024-01-22,4.96,1.0080645161290287,9.677419354838717,27.272727272727277,False,-6.5299,1.007,3,4,3,75.0,24.163569811380693,38.381201044386415,13.991935483870972,1.0080645161290287,历史3/4次成功; 当前距低点1.01%; 最新日涨幅-6.53%; 状态bottom_area; 底部未确认
22,83.91439710366761,75.73448143324137,600397,江钨装备,bottom_area,2024-01-22,2.56,2024-01-22,2.51,1.9920318725099708,9.163346613545835,27.665706051873208,False,-6.5693,3.3728,2,2,2,100.0,22.238247863247857,28.36538461538461,13.007968127490027,1.9920318725099708,历史2/2次成功; 当前距低点1.99%; 最新日涨幅-6.57%; 状态bottom_area; 底部未确认
23,83.64694579576089,74.31138945996092,605398,新炬网络,bottom_area,2024-01-22,24.7,2024-01-22,24.42,1.1466011466011365,7.698607698607694,27.147971360381863,False,-5.6171,1.0128,1,1,1,100.0,20.890538033395174,20.890538033395174,13.853398853398863,1.1466011466011365,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-5.62%; 状态bottom_area; 底部未确认
24,83.23088314245491,73.90748904600083,300567,精测电子,bottom_area,2024-01-22,62.2,2024-01-22,61.51,1.1217688180783691,6.649325312957237,30.864336293132517,False,-3.8788,1.397,1,1,1,100.0,18.414634146341452,18.414634146341452,13.87823118192163,1.1217688180783691,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-3.88%; 状态bottom_area; 底部未确认
