rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.37948940444399,88.57880775754373,603348,文灿股份,bottom_area,2023-08-17,43.2,2023-08-17,42.49,1.670981407389976,3.6008472581783977,27.59032038173142,False,0.1159,1.6925,4,4,4,100.0,21.33680304512298,31.539888682745836,8.329018592610025,1.670981407389976,历史4/4次成功; 当前距低点1.67%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
2,89.23866167988824,83.39229774542267,688300,联瑞新材,bottom_area,2023-08-17,42.15,2023-08-14,41.55,1.4440433212996424,3.7304452466907447,28.974358974358978,False,0.0712,0.1829,2,2,2,100.0,24.003852247235756,26.809910956252438,8.555956678700358,1.4440433212996424,历史2/2次成功; 当前距低点1.44%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
3,88.12543345481963,83.48849315068492,002150,正泰电源,bottom_area,2023-08-17,14.17,2023-08-17,13.87,2.1629416005767896,2.739726027397266,27.76041666666667,False,1.2143,1.2777,1,1,1,100.0,164.87025948103792,164.87025948103792,7.837058399423211,2.1629416005767896,历史1/1次成功; 当前距低点2.16%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
4,87.97939691539575,85.12002519524482,300604,长川科技,bottom_area,2023-08-17,36.05,2023-08-17,34.91,3.26553995989688,4.726439415640234,29.716126434467494,False,1.9802,2.034,4,4,4,100.0,22.28739948284786,36.28082648300379,6.734460040103121,3.26553995989688,历史4/4次成功; 当前距低点3.27%; 最新日涨幅1.98%; 状态bottom_area; 底部未确认
5,86.70519187385163,81.76002883922133,600935,华塑股份,bottom_area,2023-08-17,3.72,2023-06-27,3.65,1.9178082191780899,7.671232876712336,28.571428571428577,True,1.087,0.3244,1,1,1,100.0,28.50877192982458,28.50877192982458,8.08219178082191,1.9178082191780899,历史1/1次成功; 当前距低点1.92%; 最新日涨幅1.09%; 状态bottom_area; 底部已确认
6,86.41874236777464,82.80160278255909,002240,盛新锂能,bottom_area,2023-08-17,25.73,2023-08-17,25.04,2.755591054313104,3.3945686900958525,29.065155807365432,False,1.499,1.2781,3,3,3,100.0,20.23844293759655,33.42198581560282,7.244408945686896,2.755591054313104,历史3/3次成功; 当前距低点2.76%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
7,86.11194855148717,83.34955175502179,688248,南网科技,bottom_area,2023-08-17,31.41,2023-08-17,30.41,3.288391976323578,4.242025649457413,29.246161005118655,False,1.5519,2.4851,3,3,3,100.0,29.715513231395445,49.406593406593416,6.711608023676423,3.288391976323578,历史3/3次成功; 当前距低点3.29%; 最新日涨幅1.55%; 状态bottom_area; 底部未确认
8,83.45307101489973,79.3774823202529,002864,盘龙药业,bottom_area,2023-08-17,34.96,2023-08-08,34.15,2.371888726207913,7.349926793557827,27.340425531914896,True,0.1719,3.0792,1,1,1,100.0,21.26553019358567,21.26553019358567,7.628111273792087,2.371888726207913,历史1/1次成功; 当前距低点2.37%; 最新日涨幅0.17%; 状态bottom_area; 底部已确认
9,83.31533277047791,80.52810111195492,600072,中船科技,bottom_area,2023-08-17,22.16,2023-08-17,21.47,3.213786679087104,3.4466697717745785,30.065146579804562,False,2.3557,3.0729,3,3,3,100.0,13.631907205771569,14.0952380952381,6.786213320912895,3.213786679087104,历史3/3次成功; 当前距低点3.21%; 最新日涨幅2.36%; 状态bottom_area; 底部未确认
10,81.61955638698068,75.63395528956171,002386,天原股份,bottom_area,2023-08-17,6.04,2023-08-17,5.98,1.0033444816053445,1.3377926421404545,27.864897466827493,False,0.1658,0.5204,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,8.996655518394656,1.0033444816053445,历史2/3次成功; 当前距低点1.00%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
11,81.52461346043081,79.1620922226069,688328,深科达,bottom_area,2023-08-17,22.45,2023-08-17,21.7,3.4562211981566824,4.285714285714285,31.04544010168414,False,2.8873,2.7285,2,2,2,100.0,25.92621803443088,29.170984455958543,6.5437788018433185,3.4562211981566824,历史2/2次成功; 当前距低点3.46%; 最新日涨幅2.89%; 状态bottom_area; 底部未确认
