rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,99.89543934173179,85.38364820846907,605033,美邦股份,bottom_area,2026-02-27,24.9,34.69,2026-02-27,24.56,1.384364820846905,3.745928338762222,29.20149899106371,28.221389449409052,False,-6.0732,11.2141,3,3,3,100.0,51.29419702984025,94.01565995525726,18.615635179153095,1.384364820846905,历史3/3次成功; 当前距低点1.38%; 最新日涨幅-6.07%; 状态bottom_area; 底部未确认
2,94.66691696445412,81.44014128862682,688317,之江生物,bottom_area,2026-02-27,21.07,28.58,2026-02-27,20.71,1.7382906808305139,1.8348623853210961,27.536738978306502,26.277116864940513,False,1.2981,1.0867,3,4,3,75.0,37.948623875916084,40.461049284578706,18.261709319169487,1.7382906808305139,历史3/4次成功; 当前距低点1.74%; 最新日涨幅1.30%; 状态bottom_area; 底部未确认
3,87.83735488854562,76.96225380710662,600271,航天信息,bottom_area,2026-02-27,10.12,13.99,2026-02-02,9.85,2.7411167512690313,5.1776649746192875,29.592566118656187,27.662616154396,False,0.5964,1.1503,1,1,1,100.0,21.999999999999996,21.999999999999996,17.258883248730967,2.7411167512690313,历史1/1次成功; 当前距低点2.74%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
4,87.52261537415723,73.07298550558276,300251,光线传媒,bottom_area,2026-02-27,19.49,27.97,2026-02-27,19.47,0.10272213662043952,2.6707755521314827,30.389703253485877,30.31819806936003,False,-1.863,6.252,1,1,1,100.0,31.060171919770784,31.060171919770784,19.89727786337956,0.10272213662043952,历史1/1次成功; 当前距低点0.10%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
5,87.14517145522844,78.65926992179355,600986,浙文互联,bottom_area,2026-02-27,12.18,16.48,2026-02-27,11.67,4.370179948586117,5.998286203941725,29.186893203883496,26.092233009708742,False,3.3079,15.3522,5,6,5,83.33333333333334,37.2040154367557,60.28761061946904,15.629820051413883,4.370179948586117,历史5/6次成功; 当前距低点4.37%; 最新日涨幅3.31%; 状态bottom_area; 底部未确认
6,84.42746205684803,76.93824045692644,603800,洪田股份,bottom_area,2026-02-27,39.86,53.2,2026-02-06,38.0,4.894736842105261,9.815789473684204,28.571428571428577,25.075187969924816,True,-0.8458,1.5008,3,3,3,100.0,28.216346542615163,32.08300079808461,15.105263157894742,4.894736842105261,历史3/3次成功; 当前距低点4.89%; 最新日涨幅-0.85%; 状态bottom_area; 底部已确认
7,79.56183056665995,71.17989858388474,301023,奕帆传动,bottom_area,2026-02-27,47.08,65.18,2026-02-06,45.32,3.8834951456310636,5.4060017652250725,30.469469162319733,27.769254372506914,False,-0.1061,2.9039,1,1,1,100.0,27.388535031847127,27.388535031847127,16.116504854368937,3.8834951456310636,历史1/1次成功; 当前距低点3.88%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
8,73.18393449916479,63.048682634730554,300652,雷迪克,bottom_area,2026-02-27,51.01,74.21,2026-02-06,50.1,1.816367265469055,4.510978043912171,32.48888289987871,31.26263306831963,False,-0.0979,1.6757,1,2,1,50.0,54.41115272575945,54.41115272575945,18.183632734530946,1.816367265469055,历史1/2次成功; 当前距低点1.82%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
9,72.67027901709464,62.997378384327575,300723,一品红,bottom_area,2026-02-27,33.15,45.88,2026-02-27,32.45,2.157164869029262,2.1879815100153888,29.2720139494333,27.74629468177856,False,1.0055,1.0866,1,2,1,50.0,31.428571428571427,31.428571428571427,17.842835130970737,2.157164869029262,历史1/2次成功; 当前距低点2.16%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
10,67.75272677398138,58.94939736922606,603360,百傲化学,bottom_area,2026-02-27,28.66,38.98,2026-02-09,28.0,2.3571428571428577,9.357142857142861,28.168291431503327,26.475115443817337,True,-0.1742,0.999,1,2,1,50.0,25.39614561027837,25.39614561027837,17.642857142857142,2.3571428571428577,历史1/2次成功; 当前距低点2.36%; 最新日涨幅-0.17%; 状态bottom_area; 底部已确认
11,64.67027078720947,57.92961304777897,688095,福昕软件,bottom_area,2026-02-27,86.8,121.0,2026-02-25,83.5,3.9520958083832305,4.071856287425157,30.991735537190085,28.264462809917358,False,1.854,3.6554,2,6,2,33.33333333333333,28.962678266448417,31.679509356817103,16.047904191616773,3.9520958083832305,历史2/6次成功; 当前距低点3.95%; 最新日涨幅1.85%; 状态bottom_area; 底部未确认
12,64.4777624029942,54.713816849816865,000503,国新健康,bottom_area,2026-02-27,9.19,12.54,2026-02-26,9.1,0.9890109890109874,2.7472527472527473,27.432216905901115,26.71451355661882,False,0.6572,0.9735,1,3,1,33.33333333333333,31.85714285714286,31.85714285714286,19.010989010989015,0.9890109890109874,历史1/3次成功; 当前距低点0.99%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
13,61.8376189079473,56.426382250487315,000797,中国武夷,bottom_area,2026-02-27,3.17,4.27,2026-02-02,3.02,4.9668874172185395,9.602649006622517,29.274004683840744,25.761124121779854,True,1.6026,1.7046,2,6,2,33.33333333333333,24.126624883936852,27.083333333333325,15.03311258278146,4.9668874172185395,历史2/6次成功; 当前距低点4.97%; 最新日涨幅1.60%; 状态bottom_area; 底部已确认
14,56.53106501825583,47.70943309690645,300364,中文在线,bottom_area,2026-02-27,32.06,43.8,2026-02-27,31.84,0.6909547738693543,2.0728643216080407,27.305936073059357,26.803652968036516,False,-0.3109,10.3891,2,9,2,22.22222222222222,20.42609906329583,20.7773851590106,19.309045226130646,0.6909547738693543,历史2/9次成功; 当前距低点0.69%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
