rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.23166840262631,84.17568948742434,002843,泰嘉股份,bottom_area,2023-04-24,15.49,2023-04-24,15.27,1.440733464309107,2.4885396201702736,29.174397031539883,False,0.3238,1.2485,2,2,2,100.0,28.175063365855337,31.56626506024095,13.559266535690892,1.440733464309107,历史2/2次成功; 当前距低点1.44%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
2,93.84317853599826,84.62749340823397,002363,隆基机械,bottom_area,2023-04-24,6.8,2023-04-24,6.67,1.9490254872563704,3.2983508245877022,27.02407002188184,False,1.0401,1.1303,2,2,2,100.0,36.83479311386288,54.96828752642705,13.050974512743629,1.9490254872563704,历史2/2次成功; 当前距低点1.95%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
3,93.00523159335022,83.00277141648075,300665,飞鹿股份,bottom_area,2023-04-24,7.29,2023-04-24,7.19,1.3908205841446404,2.6425591098748193,30.329457364341085,False,0.1374,1.5595,2,2,2,100.0,21.25721692650826,22.6044226044226,13.60917941585536,1.3908205841446404,历史2/2次成功; 当前距低点1.39%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
4,92.13540276828019,84.71052523171991,000957,中通客车,bottom_area,2023-04-24,10.0,2023-04-24,9.71,2.9866117404737293,4.222451081359406,27.913882702301407,False,1.4199,2.7196,2,2,2,100.0,185.5153400254489,354.54545454545456,12.01338825952627,2.9866117404737293,历史2/2次成功; 当前距低点2.99%; 最新日涨幅1.42%; 状态bottom_area; 底部未确认
5,89.96897027212484,79.73092470396821,002350,北京科锐,bottom_area,2023-04-24,6.97,2023-04-24,6.9,1.0144927536231796,1.5942028985507162,30.020283975659222,False,-0.1433,1.1299,2,2,2,100.0,21.526710657145447,23.07692307692308,13.98550724637682,1.0144927536231796,历史2/2次成功; 当前距低点1.01%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
6,88.03852335375743,77.86305439330543,300586,美联新材,bottom_area,2023-04-24,14.47,2023-04-24,14.34,0.9065550906555145,2.1617852161785254,30.388349514563114,False,-0.5498,1.0855,2,2,2,100.0,69.69134206257787,124.33414043583537,14.093444909344486,0.9065550906555145,历史2/2次成功; 当前距低点0.91%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
7,86.79998172753902,78.11770440950696,300454,深信服,bottom_area,2023-04-24,123.39,2023-04-24,121.16,1.8405414328161143,4.02773192472764,27.665671641791047,False,-1.6969,1.6921,2,2,2,100.0,22.979241270579003,29.49391262831224,13.159458567183885,1.8405414328161143,历史2/2次成功; 当前距低点1.84%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
8,84.36128333088593,75.19356093016523,603366,日出东方,bottom_area,2023-04-24,5.36,2023-04-24,5.29,1.3232514177693815,4.725897920604915,27.33516483516484,False,-2.5455,1.242,1,1,1,100.0,17.583732057416277,17.583732057416277,13.67674858223062,1.3232514177693815,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
9,83.79239061735605,77.9561568329535,001210,金房能源,bottom_area,2023-04-24,22.32,2023-04-24,21.54,3.621169916434546,4.2711234911792095,27.180527383367135,False,1.3164,0.9551,1,1,1,100.0,38.131313131313135,38.131313131313135,11.378830083565452,3.621169916434546,历史1/1次成功; 当前距低点3.62%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
10,83.55181362900142,74.90161253776435,002741,光华科技,bottom_area,2023-04-24,16.82,2023-04-24,16.55,1.6314199395770366,4.229607250755282,27.348551360842844,False,-1.1751,1.1075,1,1,1,100.0,19.791666666666664,19.791666666666664,13.368580060422964,1.6314199395770366,历史1/1次成功; 当前距低点1.63%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
11,83.5072935309143,73.8502371694429,300505,川金诺,bottom_area,2023-04-24,20.12,2023-04-24,19.94,0.9027081243731179,3.1093279839518426,28.22174226061915,False,-1.1302,1.7304,2,2,2,100.0,28.378557489320507,39.35656836461126,14.097291875626883,0.9027081243731179,历史2/2次成功; 当前距低点0.90%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
12,83.50612005950626,73.75657762602931,000935,四川双马,bottom_area,2023-04-24,19.31,2023-04-24,19.15,0.8355091383812019,1.8276762402088846,28.863298662704317,False,-0.1551,0.3763,1,1,1,100.0,43.71794871794874,43.71794871794874,14.164490861618798,0.8355091383812019,历史1/1次成功; 当前距低点0.84%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
13,80.87299603222536,70.89236393783452,002385,大北农,bottom_area,2023-04-24,7.0,2023-04-24,6.97,0.43041606886657463,1.8651362984218063,29.524772497472203,False,-1.4085,1.2932,1,1,1,100.0,23.353293413173663,23.353293413173663,14.569583931133426,0.43041606886657463,历史1/1次成功; 当前距低点0.43%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
14,80.8124438530714,73.50516562344642,000868,安凯客车,bottom_area,2023-04-24,5.1,2023-04-24,4.98,2.4096385542168517,3.6144578313252955,31.215469613259668,False,0.5917,1.6476,3,5,3,60.0,36.016889930434594,69.53846153846153,12.590361445783149,2.4096385542168517,历史3/5次成功; 当前距低点2.41%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
15,78.54208948172048,71.07671195778809,300658,延江股份,bottom_area,2023-04-24,7.65,2023-04-24,7.49,2.1361815754339135,2.8037383177570088,27.772420443587265,False,0.7905,1.1944,2,3,2,66.66666666666666,21.830856360810415,26.72018348623853,12.863818424566087,2.1361815754339135,历史2/3次成功; 当前距低点2.14%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
16,78.35531363035133,69.87098030731964,002125,湘潭电化,bottom_area,2023-04-24,12.04,2023-04-24,11.88,1.3468013468013331,3.9562289562289465,31.763354394026415,False,-2.1933,1.0715,2,3,2,66.66666666666666,28.145272641720464,32.067510548523195,13.653198653198666,1.3468013468013331,历史2/3次成功; 当前距低点1.35%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
17,78.13534325178983,68.54756540508353,600366,宁波韵升,bottom_area,2023-04-24,8.49,2023-04-24,8.45,0.47337278106509967,4.023668639053253,32.66932270916335,False,-3.9593,2.0806,1,1,1,100.0,21.488469601677156,21.488469601677156,14.526627218934902,0.47337278106509967,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-3.96%; 状态bottom_area; 底部未确认
18,76.92707547486214,68.12123928733361,603138,海量数据,bottom_area,2023-04-24,20.74,2023-04-24,20.54,0.9737098344693248,3.7000973709834546,31.98675496688742,False,-0.0482,3.8894,1,1,1,100.0,15.114503816793897,15.114503816793897,14.026290165530675,0.9737098344693248,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-0.05%; 状态bottom_area; 底部未确认
19,76.90478101054246,68.51205435237635,002724,海洋王,bottom_area,2023-04-24,8.6,2023-04-24,8.49,1.2956419316843277,2.0023557126030616,27.373823781009403,False,-0.1161,0.6232,2,3,2,66.66666666666666,20.212103709408286,25.204081632653047,13.704358068315672,1.2956419316843277,历史2/3次成功; 当前距低点1.30%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
20,75.86805706907559,69.77542183856531,002172,澳洋健康,bottom_area,2023-04-24,3.43,2023-04-24,3.33,3.003003003003006,4.204204204204208,27.292576419213972,False,1.4793,1.459,2,3,2,66.66666666666666,25.46022590723384,29.824561403508774,11.996996996996993,3.003003003003006,历史2/3次成功; 当前距低点3.00%; 最新日涨幅1.48%; 状态bottom_area; 底部未确认
21,75.61159346304827,68.65701551596213,000980,众泰汽车,bottom_area,2023-04-24,3.09,2023-04-24,3.02,2.3178807947019817,4.9668874172185395,29.4392523364486,False,-0.3226,1.7043,2,3,2,66.66666666666666,33.52213473772031,43.49775784753364,12.682119205298017,2.3178807947019817,历史2/3次成功; 当前距低点2.32%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
22,75.21912143101845,68.73387789331937,002370,亚太药业,bottom_area,2023-04-24,4.25,2023-04-24,4.14,2.657004830917882,4.83091787439614,31.5702479338843,False,0.9501,1.3551,2,3,2,66.66666666666666,15.619259360997129,15.633423180592995,12.342995169082117,2.657004830917882,历史2/3次成功; 当前距低点2.66%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
