code,name,latest_date,latest_close,current_stage,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,historical_valid_event_count
000668,荣丰控股,2025-12-18,9.04,bottom_area,2025-12-17,8.9,1.5730337078651548,7.303370786516858,28.685897435897434,True,2
000692,惠天热电,2025-12-18,3.49,bottom_area,2025-12-17,3.41,2.346041055718477,3.8123167155425186,28.511530398322844,False,1
600708,光明地产,2025-12-18,3.15,bottom_area,2025-12-17,3.06,2.9411764705882306,3.921568627450984,27.65957446808511,False,1
003038,鑫铂股份,2025-12-18,15.03,bottom_area,2025-12-17,14.66,2.5238744884038145,3.7517053206002777,32.098193608151924,False,1
003016,欣贺股份,2025-12-18,9.15,bottom_area,2025-12-17,8.88,3.0405405405405355,5.1801801801801695,30.5707584050039,False,1
603038,华立股份,2025-12-18,15.85,bottom_area,2025-12-17,15.58,1.7329910141206648,5.0064184852374805,29.661399548532724,False,1
301024,霍普股份,2025-12-18,34.59,bottom_area,2025-12-17,33.34,3.7492501499700057,5.068986202759441,27.913513513513504,False,1
603072,天和磁材,2025-12-18,40.27,bottom_area,2025-12-17,39.49,1.9751835907824793,3.7731071157254865,27.05947543405984,False,1
002176,江特电机,2025-12-18,9.22,bottom_area,2025-12-16,9.01,2.3307436182020074,4.994450610432864,29.99222999222999,False,1
603030,全筑股份,2025-12-18,2.89,bottom_area,2025-12-17,2.78,3.956834532374112,10.071942446043176,30.845771144278604,True,1
600403,大有能源,2025-12-18,6.92,bottom_area,2025-12-17,6.63,4.374057315233786,7.993966817496233,27.934782608695645,True,1
002235,安妮股份,2025-12-18,10.5,bottom_area,2025-12-18,10.4,0.9615384615384581,5.288461538461528,27.475592747559276,False,1
000819,岳阳兴长,2025-12-18,15.75,bottom_area,2025-12-17,15.2,3.618421052631584,5.0657894736842195,27.028324531925108,False,1
603322,超讯通信,2025-12-18,40.05,bottom_area,2025-12-18,40.0,0.1249999999999929,3.000000000000007,27.68034713433376,False,1
603178,圣龙股份,2025-12-18,18.38,bottom_area,2025-12-05,17.66,4.077010192525475,5.832389580973959,28.182187881252542,False,1
300878,维康药业,2025-12-18,21.22,bottom_area,2025-12-17,20.3,4.5320197044334884,5.172413793103452,28.771929824561397,False,1
605033,美邦股份,2025-12-18,18.74,bottom_area,2025-12-18,17.88,4.809843400447424,7.326621923937374,28.135048231511256,False,2
300035,中科电气,2025-12-18,20.71,bottom_area,2025-12-16,19.93,3.913697942799805,6.6231811339688935,30.798611111111114,False,1
605228,神通科技,2025-12-18,14.3,bottom_area,2025-12-16,13.92,2.72988505747127,5.96264367816092,28.247422680412367,False,1
300056,中创环保,2025-12-18,8.74,bottom_area,2025-12-17,8.45,3.4319526627219052,6.9822485207100575,29.34782608695653,False,1
002184,海得控制,2025-12-18,12.48,bottom_area,2025-12-17,12.2,2.2950819672131244,3.688524590163943,29.357266936884773,False,1
603327,福蓉科技,2025-12-18,10.66,bottom_area,2025-12-18,10.63,0.2822201317027221,2.1636876763875694,28.8487282463186,False,1
603767,中马传动,2025-12-18,22.85,bottom_area,2025-11-21,22.08,3.487318840579724,9.601449275362324,27.725040916530286,True,1
