rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.12686900809595,75.75655367231637,301058,中粮科工,bottom_area,2025-04-28,10.67,2025-04-24,10.62,0.4708097928436979,3.860640301318269,28.629032258064523,False,-1.2951,2.3358,1,1,1,100.0,57.794273594909875,57.794273594909875,19.5291902071563,0.4708097928436979,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
2,89.49041389488116,77.5184684396027,300892,品渥食品,bottom_area,2025-04-28,31.87,2025-04-28,31.21,2.114706824735662,11.022108298622229,31.64695575996495,False,-13.6314,15.8593,1,1,1,100.0,78.87149917627676,78.87149917627676,17.885293175264337,2.114706824735662,历史1/1次成功; 当前距低点2.11%; 最新日涨幅-13.63%; 状态bottom_area; 底部未确认
3,87.76144337114016,73.72346725357491,600371,万向德农,bottom_area,2025-04-28,9.18,2025-04-28,9.14,0.4376367614879556,4.485776805251642,28.59375,False,-2.5478,4.5183,1,1,1,100.0,38.66279069767441,38.66279069767441,19.562363238512045,0.4376367614879556,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
4,78.99111053482955,67.25199177735568,688206,概伦电子,bottom_area,2025-04-28,20.75,2025-04-28,20.51,1.1701608971233468,4.388103364212572,27.75625220147939,False,-1.472,2.065,2,4,2,50.0,31.34386356342422,39.570720968629594,18.829839102876655,1.1701608971233468,历史2/4次成功; 当前距低点1.17%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
5,77.50256009831924,65.60328929048273,603169,兰石重装,bottom_area,2025-04-28,7.09,2025-04-25,7.03,0.8534850640113741,5.832147937411097,28.26530612244898,False,0.0,7.155,2,4,2,50.0,35.96363030337994,49.872122762148344,19.146514935988627,0.8534850640113741,历史2/4次成功; 当前距低点0.85%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,69.87059414497247,61.271136404052776,000697,炼石航空,bottom_area,2025-04-28,6.27,2025-04-25,6.1,2.7868852459016384,8.688524590163938,28.904428904428908,False,-3.9816,1.8656,2,4,2,50.0,29.221692283379053,30.58161350844277,17.213114754098363,2.7868852459016384,历史2/4次成功; 当前距低点2.79%; 最新日涨幅-3.98%; 状态bottom_area; 底部未确认
7,65.92955582232894,54.941296518607444,600696,退市岩石,bottom_area,2025-04-28,6.59,2025-04-28,6.59,0.0,0.0,30.70452155625657,False,-5.0432,0.0381,1,2,1,50.0,46.45858343337334,46.45858343337334,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-5.04%; 状态bottom_area; 底部未确认
8,61.831588666525626,53.44069153144222,300721,怡达股份,bottom_area,2025-04-28,14.33,2025-04-28,14.05,1.9928825622775754,4.697508896797154,32.71072796934865,False,-1.5797,11.2571,2,8,2,25.0,21.34120308298442,22.270742358078603,18.007117437722425,1.9928825622775754,历史2/8次成功; 当前距低点1.99%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
9,59.50610462547553,54.1960515378221,300700,岱勒新材,bottom_area,2025-04-28,8.41,2025-04-24,8.02,4.862842892768087,8.4788029925187,27.4864376130199,True,-1.5222,2.9786,1,3,1,33.33333333333333,55.55555555555556,55.55555555555556,15.137157107231914,4.862842892768087,历史1/3次成功; 当前距低点4.86%; 最新日涨幅-1.52%; 状态bottom_area; 底部已确认
10,59.061871837120556,49.892913608131,300757,罗博特科,bottom_area,2025-04-28,127.44,2025-04-25,126.5,0.7430830039525673,4.3478260869565215,30.65833470372198,False,-1.8409,2.7074,1,7,1,14.285714285714285,74.11052233156698,74.11052233156698,19.256916996047437,0.7430830039525673,历史1/7次成功; 当前距低点0.74%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
11,57.82036024254582,48.404016058901824,000524,岭南控股,bottom_area,2025-04-28,12.08,2025-04-28,12.05,0.24896265560165445,9.377593360995842,28.102625298329357,False,-5.3292,5.5139,1,3,1,33.33333333333333,21.550094517958406,21.550094517958406,19.75103734439835,0.24896265560165445,历史1/3次成功; 当前距低点0.25%; 最新日涨幅-5.33%; 状态bottom_area; 底部未确认
