rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.50874042093902,81.41647058823528,002611,东方精工,bottom_area,2024-04-10,6.54,2024-04-10,6.46,1.2383900928792582,4.798761609907114,30.387931034482758,False,-2.5335,5.9534,1,1,1,100.0,145.12534818941506,145.12534818941506,18.761609907120743,1.2383900928792582,历史1/1次成功; 当前距低点1.24%; 最新日涨幅-2.53%; 状态bottom_area; 底部未确认
2,88.04273421893728,77.39375,300580,贝斯特,bottom_area,2024-04-10,25.03,2024-04-09,24.32,2.9194078947368456,7.565789473684211,28.153618906942395,True,-3.7678,2.1629,1,1,1,100.0,53.89266817838245,53.89266817838245,17.080592105263158,2.9194078947368456,历史1/1次成功; 当前距低点2.92%; 最新日涨幅-3.77%; 状态bottom_area; 底部已确认
3,81.05347207134398,68.57913778407227,300548,长芯博创,bottom_area,2024-04-10,23.09,2024-04-10,22.9,0.8296943231441105,4.803493449781666,31.641791044776124,False,-3.9917,5.0337,1,1,1,100.0,26.026026026026024,26.026026026026024,19.17030567685589,0.8296943231441105,历史1/1次成功; 当前距低点0.83%; 最新日涨幅-3.99%; 状态bottom_area; 底部未确认
4,78.85933609830644,68.45083188020295,002676,顺威股份,bottom_area,2024-04-10,4.13,2024-04-10,4.04,2.2277227722772244,4.207920792079206,27.72808586762075,False,-2.1327,3.849,2,3,2,66.66666666666666,31.308457711442777,39.33333333333333,17.77227722772278,2.2277227722772244,历史2/3次成功; 当前距低点2.23%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
5,77.51771508881085,65.96987014475697,603106,恒银科技,bottom_area,2024-04-10,5.29,2024-04-10,5.23,1.1472275334607955,5.736137667304011,29.13279132791327,False,-3.9927,2.2856,2,4,2,50.0,34.38467161853536,34.60144927536232,18.852772466539207,1.1472275334607955,历史2/4次成功; 当前距低点1.15%; 最新日涨幅-3.99%; 状态bottom_area; 底部未确认
6,76.37771809981804,66.03696521937319,688220,翱捷科技,bottom_area,2024-04-10,38.01,2024-04-09,37.26,2.0128824476650564,5.475040257648951,31.254612546125472,False,-2.9367,1.2723,2,4,2,50.0,35.14159784972857,45.103092783505154,17.987117552334944,2.0128824476650564,历史2/4次成功; 当前距低点2.01%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
7,74.5215003246799,63.28927418878612,688327,云从科技,bottom_area,2024-04-10,11.72,2024-04-10,11.6,1.0344827586206984,6.2931034482758665,30.162552679108973,False,-3.6976,2.169,3,7,3,42.857142857142854,34.06702315598246,53.56783919597991,18.965517241379303,1.0344827586206984,历史3/7次成功; 当前距低点1.03%; 最新日涨幅-3.70%; 状态bottom_area; 底部未确认
8,73.51580221897474,62.30345078452784,603178,圣龙股份,bottom_area,2024-04-10,27.45,2024-04-10,27.2,0.9191176470588236,4.999999999999998,30.25641025641026,False,-3.9202,2.8625,3,5,3,60.0,30.048596880763135,44.66270354096666,19.080882352941178,0.9191176470588236,历史3/5次成功; 当前距低点0.92%; 最新日涨幅-3.92%; 状态bottom_area; 底部未确认
9,73.50309984629564,62.59376940133038,002657,中科金财,bottom_area,2024-04-10,13.69,2024-04-10,13.53,1.1825572801182567,4.951958610495195,29.08805031446541,False,-3.5915,3.1905,1,2,1,50.0,56.540447504302946,56.540447504302946,18.817442719881743,1.1825572801182567,历史1/2次成功; 当前距低点1.18%; 最新日涨幅-3.59%; 状态bottom_area; 底部未确认
10,71.87360056414806,59.94517241379309,300474,景嘉微,bottom_area,2024-04-10,65.28,2024-04-10,65.25,0.045977011494254615,4.6130268199233795,30.056812091328123,False,-4.3657,3.1412,2,5,2,40.0,56.74256339264612,59.857142857142854,19.954022988505745,0.045977011494254615,历史2/5次成功; 当前距低点0.05%; 最新日涨幅-4.37%; 状态bottom_area; 底部未确认
11,70.8209155412168,59.90808185178388,603000,人民网,bottom_area,2024-04-10,23.43,2024-04-10,23.24,0.8175559380378714,5.851979345955263,27.306850172036285,False,-4.7561,3.0166,2,4,2,50.0,37.591985970485084,48.493150684931514,19.18244406196213,0.8175559380378714,历史2/4次成功; 当前距低点0.82%; 最新日涨幅-4.76%; 状态bottom_area; 底部未确认
