rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.25445576578701,82.53734775184975,603027,千禾味业,bottom_area,2024-09-11,10.66,2024-09-11,10.5,1.5238095238095253,2.380952380952381,27.184466019417474,False,0.188,1.1194,1,1,1,100.0,37.051792828685265,37.051792828685265,13.476190476190474,1.5238095238095253,历史1/1次成功; 当前距低点1.52%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
2,87.89725756699443,78.03561403508773,300761,立华股份,bottom_area,2024-09-11,18.2,2024-09-10,18.0,1.1111111111111072,3.4999999999999947,27.710843373493972,False,-0.8715,0.3641,1,1,1,100.0,30.263157894736853,30.263157894736853,13.888888888888893,1.1111111111111072,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
3,87.78829379823856,79.71183092867302,002674,兴业科技,bottom_area,2024-09-11,7.95,2024-08-21,7.77,2.3166023166023244,6.30630630630631,31.72231985940247,False,0.3788,0.327,1,1,1,100.0,31.578947368421055,31.578947368421055,12.683397683397674,2.3166023166023244,历史1/1次成功; 当前距低点2.32%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
4,85.78304442282752,76.07156997072117,000690,宝新能源,bottom_area,2024-09-11,3.85,2024-09-11,3.81,1.0498687664042003,1.8372703412073448,27.15105162523901,False,-1.0283,0.6868,1,1,1,100.0,18.953068592057758,18.953068592057758,13.9501312335958,1.0498687664042003,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
5,83.72741848416042,74.59732815964524,601872,招商轮船,bottom_area,2024-09-11,6.23,2024-09-11,6.15,1.3008130081300824,4.390243902439018,27.47641509433962,False,-3.7094,0.7071,1,1,1,100.0,24.318181818181802,24.318181818181802,13.699186991869915,1.3008130081300824,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-3.71%; 状态bottom_area; 底部未确认
6,83.55810169116884,75.30672966628357,600345,长江通信,bottom_area,2024-09-11,14.89,2024-09-10,14.61,1.9164955509924788,4.449007529089667,27.529761904761905,False,-1.9104,1.4909,1,1,1,100.0,25.46419098143237,25.46419098143237,13.08350444900752,1.9164955509924788,历史1/1次成功; 当前距低点1.92%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
7,83.5475,72.65,002388,新亚制程,bottom_area,2024-09-11,4.38,2024-09-11,4.38,0.0,0.0,29.354838709677423,False,-10.0616,1.3216,1,1,1,100.0,50.505050505050505,50.505050505050505,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.06%; 状态bottom_area; 底部未确认
8,81.68533260113497,74.02809508248096,603079,圣达生物,bottom_area,2024-09-11,10.62,2024-08-26,10.39,2.213666987487956,6.929740134744936,28.83561643835616,False,-0.7477,1.059,1,1,1,100.0,22.232558139534888,22.232558139534888,12.786333012512044,2.213666987487956,历史1/1次成功; 当前距低点2.21%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
9,81.45666624026386,76.19746282670677,000532,华金资本,bottom_area,2024-09-11,10.62,2024-09-04,10.22,3.913894324853215,7.632093933463789,27.926657263751757,True,-0.7477,2.5078,2,2,2,100.0,28.877106921355356,32.044198895027606,11.086105675146785,3.913894324853215,历史2/2次成功; 当前距低点3.91%; 最新日涨幅-0.75%; 状态bottom_area; 底部已确认
10,80.43432900081052,71.32350507780068,601919,中远海控,bottom_area,2024-09-11,11.59,2024-09-10,11.47,1.0462074978203941,2.7027027027026915,29.328404189772023,False,-0.1723,0.3343,2,3,2,66.66666666666666,32.26984680733607,40.45881126173098,13.953792502179605,1.0462074978203941,历史2/3次成功; 当前距低点1.05%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
11,80.22841336881558,70.162236732116,601808,中海油服,bottom_area,2024-09-11,13.17,2024-09-11,13.13,0.30464584920029814,1.5232292460015178,29.9359658484525,False,-1.8629,0.1963,1,1,1,100.0,17.88617886178861,17.88617886178861,14.695354150799703,0.30464584920029814,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
