rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.09421900256676,82.7324554496788,002386,天原股份,bottom_area,2023-08-14,6.1,2023-08-14,6.02,1.328903654485051,2.657807308970102,27.382388419782867,False,-1.7713,1.0125,3,3,3,100.0,24.851375171530723,48.85290148448042,6.671096345514949,1.328903654485051,历史3/3次成功; 当前距低点1.33%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
2,85.83763340808815,81.79157669663624,300473,德尔股份,bottom_area,2023-08-14,16.35,2023-08-14,16.11,1.4897579143389323,1.8001241464928561,28.24053452115813,False,0.0,1.3984,2,2,2,100.0,15.958197534026922,21.37137137137137,6.510242085661068,1.4897579143389323,历史2/2次成功; 当前距低点1.49%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,85.83236001799493,82.09935464991088,688262,国芯科技,bottom_area,2023-08-14,33.13,2023-08-14,32.58,1.6881522406384415,2.209944751381212,29.632829373650104,False,0.4244,1.0298,2,2,2,100.0,20.044848164336123,27.063197026022312,6.311847759361558,1.6881522406384415,历史2/2次成功; 当前距低点1.69%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
4,84.83062807851188,81.25993600025261,300455,航天智装,bottom_area,2023-08-14,10.96,2023-08-14,10.77,1.764159702878378,1.8570102135561846,30.961538461538463,False,0.2745,0.8001,2,2,2,100.0,16.463549047394118,18.904109589041095,6.235840297121623,1.764159702878378,历史2/2次成功; 当前距低点1.76%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
5,84.00664986053955,81.13537130497477,600935,华塑股份,bottom_area,2023-08-14,3.73,2023-06-27,3.65,2.1917808219178103,7.671232876712336,28.571428571428577,True,0.0,0.4132,1,1,1,100.0,28.50877192982458,28.50877192982458,5.80821917808219,2.1917808219178103,历史1/1次成功; 当前距低点2.19%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
6,83.93334075688338,80.01070810303472,603015,弘讯科技,bottom_area,2023-08-14,8.73,2023-08-14,8.6,1.5116279069767533,1.7441860465116321,28.213689482470787,False,0.4603,0.6467,1,1,1,100.0,23.318385650224208,23.318385650224208,6.488372093023247,1.5116279069767533,历史1/1次成功; 当前距低点1.51%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
7,83.81494465955001,80.19079315113974,603033,三维股份,bottom_area,2023-08-14,14.94,2023-08-14,14.69,1.7018379850238259,2.110279101429547,31.896152063050536,False,-0.4,0.1922,3,3,3,100.0,15.757977188140112,24.922480620155024,6.298162014976175,1.7018379850238259,历史3/3次成功; 当前距低点1.70%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
8,83.39888178227878,83.75767006504657,002045,国光电器,bottom_area,2023-08-14,13.82,2023-08-14,13.26,4.223227752639521,4.600301659125184,28.20790471034109,False,0.7289,2.9803,4,4,4,100.0,26.70230828529398,33.77563329312426,3.776772247360479,4.223227752639521,历史4/4次成功; 当前距低点4.22%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
9,83.37861792196391,79.91953131017347,002829,星网宇达,bottom_area,2023-08-14,30.59,2023-08-14,30.05,1.7970049916805297,2.296173044925117,32.879160151887426,False,-0.5203,1.3873,3,3,3,100.0,15.4661435011025,21.628131021194598,6.20299500831947,1.7970049916805297,历史3/3次成功; 当前距低点1.80%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
10,82.68547908275997,81.08446030682907,002403,爱仕达,bottom_area,2023-08-14,8.63,2023-08-14,8.38,2.983293556085919,2.983293556085919,32.852564102564095,False,0.9357,1.3023,3,3,3,100.0,13.797686100564366,21.63892445582587,5.016706443914082,2.983293556085919,历史3/3次成功; 当前距低点2.98%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
11,82.48512167838747,80.62557206053218,688328,深科达,bottom_area,2023-08-14,22.65,2023-08-14,22.03,2.8143440762596343,2.950522015433493,29.996822370511595,False,0.3545,4.0876,2,2,2,100.0,25.92621803443088,29.170984455958543,5.1856559237403665,2.8143440762596343,历史2/2次成功; 当前距低点2.81%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
12,81.96382940509741,78.0784791811743,600990,四创电子,bottom_area,2023-08-14,22.7,2023-08-14,22.37,1.4751899865891742,1.56459544032185,30.289809909629174,False,0.0882,0.45,1,1,1,100.0,12.483399734395755,12.483399734395755,6.524810013410826,1.4751899865891742,历史1/1次成功; 当前距低点1.48%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
13,81.88240633353813,81.07900057195087,300342,天银机电,bottom_area,2023-08-14,10.98,2023-08-14,10.61,3.487276154571169,4.052780395852967,31.592520954223087,False,2.4254,2.6824,3,3,3,100.0,19.9461838944793,26.68539325842696,4.512723845428831,3.487276154571169,历史3/3次成功; 当前距低点3.49%; 最新日涨幅2.43%; 状态bottom_area; 底部未确认
14,81.73702398463125,80.51760370579076,600072,中船科技,bottom_area,2023-08-14,22.45,2023-08-14,21.75,3.2183908045976977,3.4022988505747054,29.153094462540714,False,1.9528,2.8846,3,3,3,100.0,13.631907205771569,14.0952380952381,4.781609195402303,3.2183908045976977,历史3/3次成功; 当前距低点3.22%; 最新日涨幅1.95%; 状态bottom_area; 底部未确认
15,81.03126128017406,77.48691846835112,300375,鹏翎股份,bottom_area,2023-08-14,4.25,2023-08-14,4.18,1.6746411483253658,1.913875598086126,32.032520325203265,False,0.2358,4.5027,1,1,1,100.0,11.74785100286532,11.74785100286532,6.325358851674634,1.6746411483253658,历史1/1次成功; 当前距低点1.67%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
16,79.92363774927625,77.51941249226964,002519,银河电子,bottom_area,2023-08-14,5.52,2023-08-14,5.39,2.4118738404452675,2.7829313543599326,27.35849056603774,False,0.9141,1.34,1,1,1,100.0,20.959595959595962,20.959595959595962,5.588126159554732,2.4118738404452675,历史1/1次成功; 当前距低点2.41%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
