rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.03586980228012,81.68776119402985,301009,可靠股份,bottom_area,2025-09-19,13.55,2025-09-05,13.4,1.1194029850746294,5.597014925373134,27.762803234501348,False,-0.514,2.1667,1,1,1,100.0,53.96648044692738,53.96648044692738,18.88059701492537,1.1194029850746294,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
2,86.32191005505439,74.21200180992086,002795,永和智控,bottom_area,2025-09-19,4.78,2025-08-28,4.7,1.7021276595744694,7.234042553191486,31.884057971014496,True,-2.6477,3.551,4,6,4,66.66666666666666,29.97949573701075,32.328767123287676,18.29787234042553,1.7021276595744694,历史4/6次成功; 当前距低点1.70%; 最新日涨幅-2.65%; 状态bottom_area; 底部已确认
3,84.08241971917343,70.94553806414899,300510,金冠股份,bottom_area,2025-09-19,4.45,2025-09-19,4.42,0.6787330316742138,2.488687782805437,30.173775671406005,False,-1.5487,3.3088,3,4,3,75.0,30.849727829925854,40.000000000000014,19.321266968325787,0.6787330316742138,历史3/4次成功; 当前距低点0.68%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
4,83.67771683867623,70.31077037993002,300645,正元智慧,bottom_area,2025-09-19,17.8,2025-09-19,17.72,0.45146726862303527,4.288939051918745,28.92097874047333,False,-3.1556,5.1756,1,1,1,100.0,30.699547055863096,30.699547055863096,19.548532731376966,0.45146726862303527,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-3.16%; 状态bottom_area; 底部未确认
5,82.31712881185935,73.3110934990792,300192,科德教育,bottom_area,2025-09-19,19.39,2025-09-09,18.71,3.634420096205236,8.177445216461772,32.649388048956084,True,-0.5131,8.4698,1,1,1,100.0,26.599845797995382,26.599845797995382,16.365579903794764,3.634420096205236,历史1/1次成功; 当前距低点3.63%; 最新日涨幅-0.51%; 状态bottom_area; 底部已确认
6,77.18488113645998,66.10433962264152,601900,南方传媒,bottom_area,2025-09-19,12.91,2025-09-18,12.72,1.4937106918238954,2.8301886792452784,29.254727474972192,False,0.8594,0.7902,1,2,1,50.0,39.999999999999986,39.999999999999986,18.506289308176104,1.4937106918238954,历史1/2次成功; 当前距低点1.49%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
7,75.02031761620223,64.36746357258502,603839,安正时尚,bottom_area,2025-09-19,8.29,2025-09-19,8.16,1.5931372549019485,1.960784313725492,29.533678756476682,False,0.4848,2.5611,1,2,1,50.0,31.88073394495412,31.88073394495412,18.406862745098053,1.5931372549019485,历史1/2次成功; 当前距低点1.59%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
8,70.49573452170667,64.07772290216714,603109,神驰机电,bottom_area,2025-09-19,31.29,2025-09-04,29.87,4.753933712755266,10.813525276196854,27.79792119893642,True,-1.1374,2.362,3,5,3,60.0,27.347805200264215,33.71428571428571,15.246066287244735,4.753933712755266,历史3/5次成功; 当前距低点4.75%; 最新日涨幅-1.14%; 状态bottom_area; 底部已确认
9,67.9465689385549,59.11351497654276,688682,霍莱沃,bottom_area,2025-09-19,28.71,2025-09-04,28.05,2.3529411764705888,8.698752228163984,27.687548337200308,True,-1.0,1.526,1,2,1,50.0,26.22699386503069,26.22699386503069,17.647058823529413,2.3529411764705888,历史1/2次成功; 当前距低点2.35%; 最新日涨幅-1.00%; 状态bottom_area; 底部已确认
10,66.85526832418667,57.96270968752148,300902,国安达,bottom_area,2025-09-19,22.67,2025-09-04,22.19,2.163136547994594,5.8134294727354625,32.798304058146584,False,-0.9611,4.4716,1,2,1,50.0,26.906779661016937,26.906779661016937,17.836863452005407,2.163136547994594,历史1/2次成功; 当前距低点2.16%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
11,63.88571566928358,58.26900405588103,002212,天融信,bottom_area,2025-09-19,9.98,2025-09-04,9.51,4.942166140904318,10.83070452155625,30.17621145374449,True,0.8081,4.4654,1,2,1,50.0,30.95238095238096,30.95238095238096,15.057833859095682,4.942166140904318,历史1/2次成功; 当前距低点4.94%; 最新日涨幅0.81%; 状态bottom_area; 底部已确认
