rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.3517911431881,84.735503875969,000718,苏宁环球,bottom_area,2024-06-21,1.74,2024-06-20,1.72,1.1627906976744196,4.069767441860469,29.795918367346946,False,0.578,0.6425,2,2,2,100.0,27.77777777777778,36.111111111111114,13.83720930232558,1.1627906976744196,历史2/2次成功; 当前距低点1.16%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
2,93.16842222385071,83.15058747777168,001212,中旗新材,bottom_area,2024-06-21,21.12,2024-06-21,20.83,1.3922227556409155,2.256361017762854,27.040280210157626,False,0.7153,1.323,3,4,3,75.0,42.90244817544601,82.06521739130437,13.607777244359085,1.3922227556409155,历史3/4次成功; 当前距低点1.39%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
3,91.49788708149157,81.82073814700429,000034,神州数码,bottom_area,2024-06-21,23.04,2024-06-21,22.7,1.4977973568281933,2.2907488986784124,27.637870576984387,False,0.1739,3.097,2,2,2,100.0,16.213527529960025,16.910866910866908,13.502202643171806,1.4977973568281933,历史2/2次成功; 当前距低点1.50%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
4,91.20469827586206,81.95,002491,通鼎互联,bottom_area,2024-06-21,3.48,2024-06-06,3.42,1.7543859649122824,8.479532163742691,29.48453608247422,True,-0.8547,0.494,1,1,1,100.0,52.39520958083833,52.39520958083833,13.245614035087716,1.7543859649122824,历史1/1次成功; 当前距低点1.75%; 最新日涨幅-0.85%; 状态bottom_area; 底部已确认
5,91.18206320439666,81.21688084090185,002790,瑞尔特,bottom_area,2024-06-21,9.45,2024-06-21,9.33,1.286173633440506,1.9292604501607686,32.732516222062,False,-0.1057,1.0941,1,1,1,100.0,49.512670565302145,49.512670565302145,13.713826366559493,1.286173633440506,历史1/1次成功; 当前距低点1.29%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
6,91.0985341909276,79.92428571428573,002687,乔治白,bottom_area,2024-06-21,4.22,2024-06-06,4.2,0.476190476190466,5.714285714285719,28.2051282051282,False,0.0,0.9344,1,1,1,100.0,64.00000000000001,64.00000000000001,14.523809523809533,0.476190476190466,历史1/1次成功; 当前距低点0.48%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,90.51520687847595,82.14722466451593,600162,香江控股,bottom_area,2024-06-21,1.34,2024-06-20,1.31,2.2900763358778646,3.8167938931297747,31.770833333333325,False,1.5152,0.4145,2,2,2,100.0,27.68063822751323,28.90624999999999,12.709923664122137,2.2900763358778646,历史2/2次成功; 当前距低点2.29%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
8,89.64530621113569,80.60556265303951,002162,悦心健康,bottom_area,2024-06-21,2.84,2024-06-06,2.79,1.7921146953404954,9.318996415770602,28.64450127877238,True,-2.7397,1.0021,1,1,1,100.0,43.23432343234324,43.23432343234324,13.207885304659502,1.7921146953404954,历史1/1次成功; 当前距低点1.79%; 最新日涨幅-2.74%; 状态bottom_area; 底部已确认
9,88.09692108983424,78.35693548387098,000520,凤凰航运,bottom_area,2024-06-21,2.51,2024-06-21,2.48,1.209677419354831,4.435483870967737,29.142857142857142,False,-4.1985,4.475,2,2,2,100.0,26.74731182795698,28.49462365591398,13.790322580645167,1.209677419354831,历史2/2次成功; 当前距低点1.21%; 最新日涨幅-4.20%; 状态bottom_area; 底部未确认
10,87.66457105484251,78.60583819993127,000886,海南高速,bottom_area,2024-06-21,4.33,2024-06-21,4.26,1.6431924882629174,3.0516431924882603,31.621187800963092,False,1.6432,1.0365,1,1,1,100.0,17.378048780487816,17.378048780487816,13.356807511737081,1.6431924882629174,历史1/1次成功; 当前距低点1.64%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
11,87.02040089625756,76.67231871943827,002483,润邦股份,bottom_area,2024-06-21,4.29,2024-06-21,4.26,0.704225352112682,2.3474178403755994,27.054794520547947,False,0.2336,0.7715,1,1,1,100.0,35.31157270029672,35.31157270029672,14.295774647887319,0.704225352112682,历史1/1次成功; 当前距低点0.70%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
12,86.06137358080932,75.15531284222708,600185,珠免集团,bottom_area,2024-06-21,4.4,2024-06-21,4.39,0.2277904328018377,2.961275626423688,29.76,False,-1.3453,0.6172,2,2,2,100.0,27.12190875814659,38.80903490759753,14.77220956719816,0.2277904328018377,历史2/2次成功; 当前距低点0.23%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
13,85.63871051255283,76.61111739284372,300662,科锐国际,bottom_area,2024-06-21,17.38,2024-06-21,17.12,1.5186915887850352,3.9719626168224282,28.992119452509325,False,-1.9187,2.0316,1,1,1,100.0,27.600721587492483,27.600721587492483,13.481308411214965,1.5186915887850352,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
14,84.50078991596638,74.38792207792207,301332,德尔玛,bottom_area,2024-06-21,9.18,2024-06-21,9.12,0.6578947368421107,3.728070175438615,27.733755942947703,False,-1.1841,0.6936,1,1,1,100.0,44.935064935064936,44.935064935064936,14.34210526315789,0.6578947368421107,历史1/1次成功; 当前距低点0.66%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
15,84.20961571661509,74.36062660144421,000402,金融街,bottom_area,2024-06-21,2.45,2024-06-20,2.43,0.8230452674897125,3.292181069958832,30.571428571428566,False,0.823,0.8139,1,1,1,100.0,24.339622641509433,24.339622641509433,14.176954732510286,0.8230452674897125,历史1/1次成功; 当前距低点0.82%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
16,83.59733302661714,75.63193985043722,002761,浙江建投,bottom_area,2024-06-21,8.18,2024-06-21,8.01,2.1223470661672903,3.4956304619225884,30.347826086956527,False,1.7413,1.7131,4,6,4,66.66666666666666,29.485077928128906,43.73730534867976,12.877652933832708,2.1223470661672903,历史4/6次成功; 当前距低点2.12%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
17,83.37816175010825,73.65273762603182,605198,安德利,bottom_area,2024-06-21,27.54,2024-06-21,27.31,0.842182350787259,1.9772976931527013,32.36750866765726,False,-0.4698,0.3015,1,1,1,100.0,43.241469816272954,43.241469816272954,14.15781764921274,0.842182350787259,历史1/1次成功; 当前距低点0.84%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
18,81.63167327531812,71.08185043964717,002240,盛新锂能,bottom_area,2024-06-21,13.59,2024-06-21,13.58,0.0736377025036803,3.976435935198815,28.937728937728934,False,-2.6504,1.2498,3,4,3,75.0,24.16529248040619,33.42198581560282,14.926362297496318,0.0736377025036803,历史3/4次成功; 当前距低点0.07%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
19,81.43771113763592,74.90410490672119,603030,全筑股份,bottom_area,2024-06-21,1.37,2024-06-21,1.33,3.0075187969924837,4.511278195488709,31.79487179487179,False,-2.1429,1.0492,4,5,4,80.0,30.006708407871198,50.5813953488372,11.992481203007516,3.0075187969924837,历史4/5次成功; 当前距低点3.01%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
20,80.52861359570662,75.45023255813955,600231,凌钢股份,bottom_area,2024-06-21,1.3,2024-06-21,1.25,4.0000000000000036,5.600000000000005,28.97727272727273,False,1.5625,0.5141,1,1,1,100.0,29.302325581395344,29.302325581395344,10.999999999999996,4.0000000000000036,历史1/1次成功; 当前距低点4.00%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
21,80.33341295041889,75.3264915920614,300642,透景生命,bottom_area,2024-06-21,11.84,2024-06-06,11.38,4.042179261862909,8.963093145869943,27.28434504792332,True,0.4241,0.5077,1,1,1,100.0,19.960539296284104,19.960539296284104,10.957820738137091,4.042179261862909,历史1/1次成功; 当前距低点4.04%; 最新日涨幅0.42%; 状态bottom_area; 底部已确认
22,79.31301226400943,70.35831733097612,300639,凯普生物,bottom_area,2024-06-21,4.73,2024-06-21,4.68,1.0683760683760837,2.991452991453004,31.378299120234608,False,0.2119,0.8247,2,4,2,50.0,24.323735305772022,33.27433628318583,13.931623931623916,1.0683760683760837,历史2/4次成功; 当前距低点1.07%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
23,78.55059433337462,68.73902711804547,002218,拓日新能,bottom_area,2024-06-21,2.96,2024-06-20,2.95,0.3389830508474504,4.745762711864396,28.743961352656992,False,0.0,2.2401,2,3,2,66.66666666666666,27.07119251242463,39.04109589041095,14.66101694915255,0.3389830508474504,历史2/3次成功; 当前距低点0.34%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
24,78.02890867181303,74.37556354182597,002012,凯恩股份,bottom_area,2024-06-21,3.41,2024-06-06,3.25,4.923076923076927,9.53846153846154,28.88402625820569,True,0.0,0.8276,1,1,1,100.0,25.646123260437374,25.646123260437374,10.076923076923073,4.923076923076927,历史1/1次成功; 当前距低点4.92%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
25,77.98099274315375,67.95660671751963,300409,道氏技术,bottom_area,2024-06-21,8.64,2024-06-21,8.63,0.11587485515642858,2.780996523754327,27.234401349072503,False,-1.8182,1.2593,3,5,3,60.0,40.380652619765016,50.03460207612457,14.884125144843571,0.11587485515642858,历史3/5次成功; 当前距低点0.12%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
26,77.19068122064121,73.42844633761835,002562,兄弟科技,bottom_area,2024-06-21,2.83,2024-06-14,2.7,4.81481481481481,11.111111111111104,32.668329177057345,True,-0.7018,0.7969,2,2,2,100.0,25.033462986000675,33.466135458167344,10.185185185185189,4.81481481481481,历史2/2次成功; 当前距低点4.81%; 最新日涨幅-0.70%; 状态bottom_area; 底部已确认
27,74.20709089286868,65.38357715570613,002410,广联达,bottom_area,2024-06-21,10.0,2024-06-21,9.93,0.7049345417925507,2.2155085599194426,29.27350427350427,False,-0.7937,1.3409,3,5,3,60.0,33.767891994586805,45.94594594594595,14.295065458207448,0.7049345417925507,历史3/5次成功; 当前距低点0.70%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
28,73.73601539014909,64.46661105493766,002602,世纪华通,bottom_area,2024-06-21,3.46,2024-06-21,3.45,0.2898550724637619,2.6086956521739086,27.97494780793319,False,-1.4245,0.9086,2,3,2,66.66666666666666,25.972118029507374,36.8279569892473,14.710144927536236,0.2898550724637619,历史2/3次成功; 当前距低点0.29%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
29,72.51484456890374,63.55213706124061,000002,万科A,bottom_area,2024-06-21,7.19,2024-06-21,7.16,0.4189944134078247,2.5139664804469235,27.82258064516129,False,-0.2774,1.5035,2,3,2,66.66666666666666,22.638589554536463,28.255902513328245,14.581005586592175,0.4189944134078247,历史2/3次成功; 当前距低点0.42%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
30,68.40717494130188,61.23851581304749,000705,浙江震元,bottom_area,2024-06-21,7.18,2024-06-06,7.07,1.5558698727015479,5.799151343705801,27.26337448559671,False,0.7013,1.4226,1,3,1,33.33333333333333,34.04605263157895,34.04605263157895,13.44413012729845,1.5558698727015479,历史1/3次成功; 当前距低点1.56%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
31,67.45135500584114,61.324826247697395,688105,诺唯赞,bottom_area,2024-06-21,20.6,2024-06-20,20.12,2.385685884691851,3.876739562624242,30.977701543739272,False,0.5859,0.5525,1,2,1,50.0,25.237580993520524,25.237580993520524,12.614314115308147,2.385685884691851,历史1/2次成功; 当前距低点2.39%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
32,65.88712242775478,58.791123911365894,603326,我乐家居,bottom_area,2024-06-21,5.87,2024-06-21,5.79,1.381692573402419,2.763385146804838,28.78228782287823,False,0.1706,0.8467,1,4,1,25.0,20.141843971631218,20.141843971631218,13.618307426597582,1.381692573402419,历史1/4次成功; 当前距低点1.38%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
33,65.56783046571707,57.862854996243406,001322,箭牌家居,bottom_area,2024-06-21,7.66,2024-06-21,7.6,0.789473684210533,1.9736842105263206,32.6241134751773,False,0.3932,1.1127,1,2,1,50.0,26.897069872276486,26.897069872276486,14.210526315789467,0.789473684210533,历史1/2次成功; 当前距低点0.79%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
34,64.78730216683913,58.27520726716238,688058,宝兰德,bottom_area,2024-06-21,21.92,2024-06-21,21.53,1.8114259173246656,2.6010218300046386,32.5501253132832,False,-1.1276,0.8108,1,2,1,50.0,24.27558257345491,24.27558257345491,13.188574082675334,1.8114259173246656,历史1/2次成功; 当前距低点1.81%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
35,64.5836371794228,56.84183639891087,688092,爱科科技,bottom_area,2024-06-21,21.81,2024-06-21,21.67,0.6460544531610383,3.691739732348856,32.91021671826624,False,-2.2411,1.1112,1,2,1,50.0,42.12279866730127,42.12279866730127,14.353945546838961,0.6460544531610383,历史1/2次成功; 当前距低点0.65%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
36,61.6146492013234,57.25376810078938,000779,甘咨询,bottom_area,2024-06-21,7.28,2024-06-06,7.03,3.556187766714082,7.254623044096725,27.30093071354705,False,2.391,1.375,1,2,1,50.0,17.69825918762089,17.69825918762089,11.443812233285918,3.556187766714082,历史1/2次成功; 当前距低点3.56%; 最新日涨幅2.39%; 状态bottom_area; 底部未确认
37,59.19116028708134,51.470574162679426,603366,日出东方,bottom_area,2024-06-21,3.61,2024-06-21,3.61,0.0,1.9390581717451603,31.106870229007637,False,-1.0959,0.5427,1,2,1,50.0,17.583732057416277,17.583732057416277,15.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
38,59.172430528458555,52.2629129964457,603217,元利科技,bottom_area,2024-06-21,14.5,2024-06-21,14.38,0.8344923504867816,1.947148817802499,30.058365758754857,False,-0.0689,0.303,1,2,1,50.0,19.81481481481482,19.81481481481482,14.165507649513218,0.8344923504867816,历史1/2次成功; 当前距低点0.83%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
39,58.945731203007504,55.13208333333333,300749,顶固集创,bottom_area,2024-06-21,5.32,2024-06-06,5.12,3.9062500000000036,9.765625,28.391608391608393,True,0.7576,1.5157,1,3,1,33.33333333333333,20.833333333333336,20.833333333333336,11.093749999999996,3.9062500000000036,历史1/3次成功; 当前距低点3.91%; 最新日涨幅0.76%; 状态bottom_area; 底部已确认
40,58.707389824921265,51.70752728737822,600322,津投城开,bottom_area,2024-06-21,1.47,2024-06-21,1.46,0.6849315068493157,3.424657534246579,29.468599033816425,False,-1.3423,1.0905,1,4,1,25.0,35.828877005347586,35.828877005347586,14.315068493150685,0.6849315068493157,历史1/4次成功; 当前距低点0.68%; 最新日涨幅-1.34%; 状态bottom_area; 底部未确认
41,57.33118893025358,50.648934541203985,601778,晶科科技,bottom_area,2024-06-21,2.38,2024-06-21,2.36,0.8474576271186449,5.084745762711869,31.79190751445087,False,-3.6437,1.7001,1,4,1,25.0,42.344827586206904,42.344827586206904,14.152542372881355,0.8474576271186449,历史1/4次成功; 当前距低点0.85%; 最新日涨幅-3.64%; 状态bottom_area; 底部未确认
