rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.29261052151936,75.20935694303225,002536,飞龙股份,bottom_area,2022-08-30,7.69,2022-08-29,7.62,0.9186351706036784,4.724409448818902,27.081339712918655,False,-2.0382,4.1905,2,2,2,100.0,35.88088780649803,55.505617977528075,9.081364829396323,0.9186351706036784,历史2/2次成功; 当前距低点0.92%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
2,80.26994483132593,73.50637374433249,688083,中望软件,bottom_area,2022-08-30,176.17,2022-08-30,175.5,0.3817663817663746,4.438746438746434,32.231532609954826,False,-2.8403,1.0974,2,2,2,100.0,20.144091907310933,21.52777777777778,9.618233618233626,0.3817663817663746,历史2/2次成功; 当前距低点0.38%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
3,79.98474252579624,74.22676349362118,300503,昊志机电,bottom_area,2022-08-30,10.3,2022-08-30,10.19,1.0794896957801885,7.850834151128565,29.18693537178597,False,-5.4178,7.7444,1,1,1,100.0,19.61290322580645,19.61290322580645,8.920510304219812,1.0794896957801885,历史1/1次成功; 当前距低点1.08%; 最新日涨幅-5.42%; 状态bottom_area; 底部未确认
4,79.81561036042407,74.64067645120163,002119,康强电子,bottom_area,2022-08-30,13.01,2022-08-29,12.82,1.4820592823712908,3.9001560062402496,29.48294829482948,False,-0.9893,4.5473,1,1,1,100.0,16.557911908646,16.557911908646,8.51794071762871,1.4820592823712908,历史1/1次成功; 当前距低点1.48%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
5,79.71288105317508,74.4456927629809,000547,航天发展,bottom_area,2022-08-30,10.77,2022-08-29,10.62,1.4124293785310769,3.1073446327683625,30.13157894736842,False,-0.7373,1.8024,1,1,1,100.0,14.656084656084673,14.656084656084673,8.587570621468924,1.4124293785310769,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
6,78.98207869687208,76.90661862471504,601606,长城军工,bottom_area,2022-08-30,12.08,2022-08-29,11.66,3.602058319039451,4.2024013722126945,27.033792240300375,False,0.1658,1.5648,2,2,2,100.0,15.587696731854795,18.886462882096076,6.3979416809605505,3.602058319039451,历史2/2次成功; 当前距低点3.60%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
7,78.65642921280794,76.24963200493451,688155,先惠技术,bottom_area,2022-08-30,85.0,2022-08-30,82.23,3.3686002675422544,5.02249787182293,30.689480782198242,False,-0.5848,5.8505,2,2,2,100.0,31.66688502650995,38.11460912628228,6.631399732457746,3.3686002675422544,历史2/2次成功; 当前距低点3.37%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
8,78.41922408441471,72.45831965419617,300745,欣锐科技,confirmed_rebound,2022-08-30,45.0,2022-08-30,44.62,0.8516360376512832,12.595248767368904,31.279839827506557,False,-14.2694,11.4914,3,3,3,100.0,24.03252591419949,36.150000000000006,9.148363962348718,0.8516360376512832,历史3/3次成功; 当前距低点0.85%; 最新日涨幅-14.27%; 状态confirmed_rebound; 底部未确认
9,77.038132086209,73.34898209898209,000761,本钢板材,bottom_area,2022-08-30,3.38,2022-07-15,3.3,2.4242424242424265,8.484848484848492,31.818181818181817,True,-0.295,0.1014,1,1,1,100.0,11.969111969111971,11.969111969111971,7.575757575757574,2.4242424242424265,历史1/1次成功; 当前距低点2.42%; 最新日涨幅-0.29%; 状态bottom_area; 底部已确认
10,76.9001611330264,72.73589247961341,000561,烽火电子,bottom_area,2022-08-30,7.86,2022-08-29,7.7,2.0779220779220795,3.506493506493501,31.978798586572438,False,-0.6321,1.3602,1,1,1,100.0,13.621262458471767,13.621262458471767,7.9220779220779205,2.0779220779220795,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
11,76.88639444694543,75.03653541416566,002043,兔宝宝,bottom_area,2022-08-30,8.64,2022-08-04,8.33,3.7214885954381813,8.403361344537807,30.2928870292887,True,0.4651,0.936,1,1,1,100.0,14.470588235294123,14.470588235294123,6.2785114045618196,3.7214885954381813,历史1/1次成功; 当前距低点3.72%; 最新日涨幅0.47%; 状态bottom_area; 底部已确认
12,76.53557376292449,72.93443598611029,603055,台华新材,bottom_area,2022-08-30,11.2,2022-08-29,10.93,2.470265324794141,5.123513266239712,28.70189171559035,False,-0.885,0.4515,1,1,1,100.0,19.498069498069512,19.498069498069512,7.52973467520586,2.470265324794141,历史1/1次成功; 当前距低点2.47%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
13,76.00346738273673,70.24853038823431,002632,道明光学,bottom_area,2022-08-30,6.97,2022-08-30,6.91,0.8683068017366079,4.486251808972498,30.552763819095468,False,-2.244,5.1001,1,1,1,100.0,25.259515570934255,25.259515570934255,9.131693198263392,0.8683068017366079,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
