rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.63793435693994,85.13080028538123,300342,天银机电,bottom_area,2023-08-04,11.3,2023-07-28,11.11,1.7101710171017217,4.230423042304237,28.368794326241137,False,0.713,2.9221,3,3,3,100.0,19.9461838944793,26.68539325842696,8.289828982898278,1.7101710171017217,历史3/3次成功; 当前距低点1.71%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
2,83.09385271674306,78.26659887092704,688300,联瑞新材,bottom_area,2023-08-04,43.29,2023-08-02,42.5,1.8588235294117628,5.5764705882352885,27.350427350427353,False,-2.4341,0.8559,2,2,2,100.0,24.003852247235756,26.809910956252438,8.141176470588238,1.8588235294117628,历史2/2次成功; 当前距低点1.86%; 最新日涨幅-2.43%; 状态bottom_area; 底部未确认
3,81.57917284890614,75.69022305002335,300633,开立医疗,bottom_area,2023-08-04,43.52,2023-08-04,43.06,1.0682768230376238,2.4152345564328823,31.236026828489294,False,-1.3152,1.2179,1,1,1,100.0,17.12846347607052,17.12846347607052,8.931723176962377,1.0682768230376238,历史1/1次成功; 当前距低点1.07%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
4,81.4359971651789,77.88397709504112,688143,长盈通,bottom_area,2023-08-04,30.5,2023-08-01,29.71,2.659037361157856,6.294177044766064,28.906436946637946,False,0.1313,0.9867,1,1,1,100.0,25.949367088607595,25.949367088607595,7.340962638842144,2.659037361157856,历史1/1次成功; 当前距低点2.66%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
5,77.67875834194696,76.8235484724636,688095,福昕软件,bottom_area,2023-08-04,100.43,2023-08-02,96.18,4.418798086920357,5.385735080058216,28.75555555555555,False,1.6704,2.5459,2,2,2,100.0,25.152731777645194,31.679509356817103,5.581201913079643,4.418798086920357,历史2/2次成功; 当前距低点4.42%; 最新日涨幅1.67%; 状态bottom_area; 底部未确认
6,77.52615618623378,74.6179686886258,600990,四创电子,bottom_area,2023-08-04,23.4,2023-07-24,22.72,2.992957746478872,3.3890845070422517,29.199127454035533,False,1.0799,0.5251,1,1,1,100.0,12.483399734395755,12.483399734395755,7.007042253521129,2.992957746478872,历史1/1次成功; 当前距低点2.99%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
7,77.46602708153013,74.44855468798184,300565,科信技术,bottom_area,2023-08-04,16.95,2023-08-03,16.47,2.914389799635704,3.217972070431094,27.636203866432346,False,2.047,4.6709,1,1,1,100.0,10.60948081264109,10.60948081264109,7.085610200364297,2.914389799635704,历史1/1次成功; 当前距低点2.91%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
8,76.54861703199172,72.53598791337924,002219,新里程,bottom_area,2023-08-04,3.76,2023-08-04,3.68,2.1739130434782505,5.978260869565211,29.230769230769234,False,-4.0816,1.8904,1,1,1,100.0,23.938223938223942,23.938223938223942,7.826086956521749,2.1739130434782505,历史1/1次成功; 当前距低点2.17%; 最新日涨幅-4.08%; 状态bottom_area; 底部未确认
9,74.99350166259016,68.90469356119891,688287,退市观典,bottom_area,2023-08-04,10.83,2023-08-01,10.77,0.557103064066857,3.899721448467966,28.00802139037434,False,-0.368,0.5321,1,1,1,100.0,14.219830899308223,14.219830899308223,9.442896935933144,0.557103064066857,历史1/1次成功; 当前距低点0.56%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
10,74.56215081509892,72.90143647740732,600995,南网储能,bottom_area,2023-08-04,11.15,2023-06-07,10.74,3.817504655493484,8.379888268156428,32.7909887359199,True,-0.1791,0.846,1,1,1,100.0,26.64165103189493,26.64165103189493,6.182495344506517,3.817504655493484,历史1/1次成功; 当前距低点3.82%; 最新日涨幅-0.18%; 状态bottom_area; 底部已确认
11,74.21279649451698,70.35512236910962,002829,星网宇达,bottom_area,2023-08-04,31.15,2023-08-02,30.48,2.1981627296587867,2.6574803149606256,31.918695555059195,False,1.2679,1.6241,2,3,2,66.66666666666666,18.711111430456917,21.628131021194598,7.801837270341213,2.1981627296587867,历史2/3次成功; 当前距低点2.20%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
