rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.53850479988226,80.06072750022345,002385,大北农,bottom_area,2023-05-17,6.8,2023-05-15,6.7,1.4925373134328304,2.9850746268656745,32.25480283114257,False,0.0,0.5098,1,1,1,100.0,23.353293413173663,23.353293413173663,13.507462686567168,1.4925373134328304,历史1/1次成功; 当前距低点1.49%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,87.5043339250923,78.12503242571525,688048,长光华芯,bottom_area,2023-05-17,85.44,2023-05-12,84.25,1.4124629080118667,4.629080118694369,29.20168067226891,False,-0.9276,1.3061,2,2,2,100.0,17.771225032162963,19.48504983388705,13.587537091988134,1.4124629080118667,历史2/2次成功; 当前距低点1.41%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
3,86.3983431023139,78.47803293096585,688289,圣湘生物,bottom_area,2023-05-17,18.4,2023-04-26,17.98,2.3359288097886437,12.45828698553948,27.058823529411757,False,0.6014,0.4845,1,1,1,100.0,25.182530200451346,25.182530200451346,12.664071190211356,2.3359288097886437,历史1/1次成功; 当前距低点2.34%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
4,86.33192075282376,78.58611253196935,000629,钒钛股份,bottom_area,2023-05-17,4.18,2023-04-25,4.08,2.450980392156854,9.803921568627459,31.08108108108108,False,0.4808,0.2945,1,1,1,100.0,27.173913043478265,27.173913043478265,12.549019607843146,2.450980392156854,历史1/1次成功; 当前距低点2.45%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
5,84.83879993811276,79.79355709067545,002245,蔚蓝锂芯,bottom_area,2023-05-17,11.15,2023-04-26,10.7,4.2056074766355245,8.317757009345799,29.512516469038214,False,0.4505,1.2378,3,3,3,100.0,21.840549125830286,25.653923541247494,10.794392523364476,4.2056074766355245,历史3/3次成功; 当前距低点4.21%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
6,83.93687048865438,75.39260126939004,600199,金种子酒,bottom_area,2023-05-17,22.28,2023-05-17,21.9,1.73515981735161,2.3744292237443068,30.43202033036849,False,-0.4913,1.8255,1,1,1,100.0,23.70304114490161,23.70304114490161,13.26484018264839,1.73515981735161,历史1/1次成功; 当前距低点1.74%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
7,83.53186773579705,77.40733160852886,300762,上海瀚讯,bottom_area,2023-05-17,11.83,2023-05-10,11.44,3.4090909090909145,4.895104895104899,27.50316856780735,False,1.7197,0.8863,1,1,1,100.0,32.580961727183514,32.580961727183514,11.590909090909085,3.4090909090909145,历史1/1次成功; 当前距低点3.41%; 最新日涨幅1.72%; 状态bottom_area; 底部未确认
8,82.64155920569246,77.29684568763304,600203,福日电子,bottom_area,2023-05-17,5.85,2023-05-15,5.63,3.9076376554174024,4.618117229129659,28.824273072060684,False,2.2727,1.7338,2,2,2,100.0,21.43150291389641,24.045801526717554,11.092362344582597,3.9076376554174024,历史2/2次成功; 当前距低点3.91%; 最新日涨幅2.27%; 状态bottom_area; 底部未确认
9,82.3683904638246,72.30225012664398,300661,圣邦股份,bottom_area,2023-05-17,119.7,2023-05-17,119.1,0.5037783375314934,2.5020990764063846,30.480971281811815,False,-1.0007,0.5748,1,1,1,100.0,31.832606108687024,31.832606108687024,14.496221662468505,0.5037783375314934,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
10,81.73111834441957,77.48558338542506,688206,概伦电子,bottom_area,2023-05-17,27.55,2023-05-15,26.33,4.633497911128001,5.393087732624389,28.6449864498645,False,1.2495,1.1087,2,2,2,100.0,31.34386356342422,39.570720968629594,10.366502088871998,4.633497911128001,历史2/2次成功; 当前距低点4.63%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
11,81.26530826605304,76.47898787207085,688075,安旭生物,bottom_area,2023-05-17,67.39,2023-05-10,64.65,4.2382057231245085,4.94972931167825,30.37906525953047,False,0.104,1.082,4,5,4,80.0,31.086542584917854,40.134529147982065,10.761794276875492,4.2382057231245085,历史4/5次成功; 当前距低点4.24%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
12,80.90036232138729,70.56969386953695,001201,东瑞股份,bottom_area,2023-05-17,23.82,2023-05-17,23.78,0.16820857863750693,1.261564339781317,30.0176574455562,False,-0.75,1.1869,1,1,1,100.0,18.4043517679057,18.4043517679057,14.831791421362492,0.16820857863750693,历史1/1次成功; 当前距低点0.17%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
13,80.71588996962397,74.79291788002331,002383,合众思壮,bottom_area,2023-05-17,6.68,2023-05-15,6.46,3.405572755417953,4.1795665634675,29.166666666666664,False,2.2971,1.1552,1,1,1,100.0,18.48184818481848,18.48184818481848,11.594427244582047,3.405572755417953,历史1/1次成功; 当前距低点3.41%; 最新日涨幅2.30%; 状态bottom_area; 底部未确认
14,79.7619636303953,75.93567946511703,688181,八亿时空,bottom_area,2023-05-17,34.75,2023-05-15,33.14,4.8581774290887125,4.8581774290887125,29.157759726378796,False,2.7802,0.9711,2,2,2,100.0,25.76518281418983,28.477257745550418,10.141822570911287,4.8581774290887125,历史2/2次成功; 当前距低点4.86%; 最新日涨幅2.78%; 状态bottom_area; 底部未确认
15,78.99631098551536,69.35155895891276,600160,巨化股份,bottom_area,2023-05-17,13.77,2023-05-17,13.7,0.5109489051094911,2.1897810218978155,28.083989501312338,False,-0.721,0.6484,1,1,1,100.0,16.05657237936772,16.05657237936772,14.48905109489051,0.5109489051094911,历史1/1次成功; 当前距低点0.51%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
16,77.98955111289102,69.01235097069802,300653,正海生物,bottom_area,2023-05-17,34.54,2023-05-17,34.22,0.9351256575102287,5.435417884278198,28.900893413671312,False,-4.0822,4.3271,1,1,1,100.0,29.647513278609367,29.647513278609367,14.06487434248977,0.9351256575102287,历史1/1次成功; 当前距低点0.94%; 最新日涨幅-4.08%; 状态bottom_area; 底部未确认
17,77.48650104737142,72.72298663872152,688321,微芯生物,bottom_area,2023-05-17,22.9,2023-05-15,22.0,4.090909090909085,5.772727272727271,31.888544891640862,False,0.1312,0.5532,1,1,1,100.0,15.754082612872244,15.754082612872244,10.909090909090915,4.090909090909085,历史1/1次成功; 当前距低点4.09%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
18,77.06425274015426,73.18029837944205,300426,华智数媒,bottom_area,2023-05-17,12.2,2023-05-17,11.65,4.7210300429184455,7.124463519313305,32.030338389731625,False,1.1609,5.7942,1,1,1,100.0,25.936811168258643,25.936811168258643,10.278969957081555,4.7210300429184455,历史1/1次成功; 当前距低点4.72%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
19,77.02503916916113,72.45509516166018,600114,东睦股份,bottom_area,2023-05-17,7.42,2023-05-10,7.12,4.2134831460674125,5.056179775280904,27.04918032786885,False,2.3448,1.7464,1,1,1,100.0,15.816326530612232,15.816326530612232,10.786516853932588,4.2134831460674125,历史1/1次成功; 当前距低点4.21%; 最新日涨幅2.34%; 状态bottom_area; 底部未确认
20,75.50768128758102,70.2815232426207,601369,陕鼓动力,bottom_area,2023-05-17,9.38,2023-05-10,9.05,3.6464088397790064,4.972375690607726,32.31114435302916,False,0.7519,0.5048,2,3,2,66.66666666666666,36.068111455108365,55.572755417956664,11.353591160220994,3.6464088397790064,历史2/3次成功; 当前距低点3.65%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
21,75.15277382635288,66.49692845110695,300727,润禾材料,bottom_area,2023-05-17,26.02,2023-05-16,25.78,0.9309542280837798,2.0170674941815343,30.661646046261424,False,0.1925,1.2633,2,3,2,66.66666666666666,22.273319486404827,26.812499999999993,14.069045771916219,0.9309542280837798,历史2/3次成功; 当前距低点0.93%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
22,71.79128394008522,67.338103773816,002690,美亚光电,bottom_area,2023-05-17,24.61,2023-05-15,23.65,4.059196617336156,4.312896405919675,28.765060240963862,False,2.5417,0.8355,2,3,2,66.66666666666666,25.30325481008482,27.355278093076052,10.940803382663844,4.059196617336156,历史2/3次成功; 当前距低点4.06%; 最新日涨幅2.54%; 状态bottom_area; 底部未确认
23,70.36667175216424,62.957602841308244,002405,四维图新,bottom_area,2023-05-17,11.31,2023-05-16,11.14,1.5260323159784552,2.5134649910233335,27.75616083009079,False,1.1628,0.8909,1,2,1,50.0,23.478260869565215,23.478260869565215,13.473967684021543,1.5260323159784552,历史1/2次成功; 当前距低点1.53%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
24,70.30286292728763,63.16801131035321,300609,汇纳科技,bottom_area,2023-05-17,19.15,2023-05-17,18.82,1.75345377258235,5.366631243358119,27.615384615384613,False,-1.3395,6.0033,1,2,1,50.0,49.87035436473638,49.87035436473638,13.24654622741765,1.75345377258235,历史1/2次成功; 当前距低点1.75%; 最新日涨幅-1.34%; 状态bottom_area; 底部未确认
25,64.90871639516342,59.39265905093967,002758,浙农股份,bottom_area,2023-05-17,12.42,2023-04-25,12.09,2.7295285359801498,5.789909015715462,28.249258160237396,False,2.0542,1.8605,1,2,1,50.0,19.064430714916153,19.064430714916153,12.270471464019849,2.7295285359801498,历史1/2次成功; 当前距低点2.73%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
26,64.13478741863095,58.903464111797035,002777,久远银海,bottom_area,2023-05-17,28.11,2023-05-17,27.31,2.929329915781768,3.844745514463569,32.567901234567906,False,1.5168,4.2291,1,2,1,50.0,18.88352860096485,18.88352860096485,12.070670084218232,2.929329915781768,历史1/2次成功; 当前距低点2.93%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
27,63.03783321152899,58.064524874967105,600248,陕建股份,bottom_area,2023-05-17,5.68,2023-05-17,5.51,3.085299455535389,3.629764065335757,28.719275549805957,False,1.0676,4.2508,1,2,1,50.0,16.28498727735369,16.28498727735369,11.91470054446461,3.085299455535389,历史1/2次成功; 当前距低点3.09%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
28,62.84697448604482,58.58973476566216,000518,四环生物,bottom_area,2023-05-17,2.78,2023-04-25,2.68,3.731343283582076,9.328358208955223,27.956989247311824,True,0.361,0.455,1,2,1,50.0,17.834394904458602,17.834394904458602,11.268656716417924,3.731343283582076,历史1/2次成功; 当前距低点3.73%; 最新日涨幅0.36%; 状态bottom_area; 底部已确认
29,62.81648466027294,57.85160786581839,300386,飞天诚信,bottom_area,2023-05-17,10.72,2023-05-17,10.4,3.0769230769230793,3.6538461538461444,29.72972972972973,False,1.6114,1.5218,1,2,1,50.0,15.037593984962406,15.037593984962406,11.92307692307692,3.0769230769230793,历史1/2次成功; 当前距低点3.08%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
30,61.738073957362644,54.1518271978484,000059,华锦股份,bottom_area,2023-05-17,6.51,2023-05-17,6.48,0.46296296296295303,2.7777777777777732,32.21757322175732,False,-1.81,1.0914,1,2,1,50.0,25.41603630862328,25.41603630862328,14.537037037037045,0.46296296296295303,历史1/2次成功; 当前距低点0.46%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
31,55.26149879903813,49.61937708621161,688298,东方生物,bottom_area,2023-05-17,53.91,2023-05-15,53.0,1.7169811320754653,2.6981132075471694,31.771369721936153,False,-0.0741,0.4777,1,6,1,16.666666666666664,15.470039788586028,15.470039788586028,13.283018867924534,1.7169811320754653,历史1/6次成功; 当前距低点1.72%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
