rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
31,76.4678102266151,74.6315158839046,603306,华懋科技,bottom_area,2024-01-15,23.28,2024-01-11,22.66,2.7360988526037113,5.8693733451014936,27.603833865814696,False,-0.3851,1.3439,2,2,2,100.0,15.214092837855201,19.519094766619503,5.263901147396289,2.7360988526037113,历史2/2次成功; 当前距低点2.74%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
32,75.9600084590816,74.49176497550638,601933,永辉超市,bottom_area,2024-01-15,2.76,2024-01-10,2.68,2.9850746268656576,4.104477611940293,32.83208020050125,False,0.3636,0.263,1,1,1,100.0,11.70825335892515,11.70825335892515,5.014925373134342,2.9850746268656576,历史1/1次成功; 当前距低点2.99%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
33,75.79638759148429,72.23371020328679,002660,茂硕电源,bottom_area,2024-01-15,10.17,2024-01-10,10.02,1.4970059880239557,3.9920159680638756,31.275720164609055,False,0.4941,5.2485,2,3,2,66.66666666666666,20.21622144792876,24.71428571428572,6.502994011976044,1.4970059880239557,历史2/3次成功; 当前距低点1.50%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
34,75.57164881587651,70.96412313956829,002324,普利特,bottom_area,2024-01-15,11.04,2024-01-15,10.96,0.7299270072992544,2.0072992700729824,28.738621586475944,False,-0.5405,1.1853,2,2,2,100.0,10.74385331296014,13.260869565217392,7.270072992700746,0.7299270072992544,历史2/2次成功; 当前距低点0.73%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
35,74.77916628899135,69.42204101755077,300413,芒果超媒,bottom_area,2024-01-15,22.03,2024-01-15,22.0,0.13636363636364154,3.0454545454545534,29.757343550447,False,-1.8271,1.9522,1,1,1,100.0,11.843817787418656,11.843817787418656,7.863636363636359,0.13636363636364154,历史1/1次成功; 当前距低点0.14%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
36,74.37024627079379,73.57714201273444,002041,登海种业,bottom_area,2024-01-15,12.32,2024-01-10,11.91,3.442485306465157,6.5491183879093136,29.484902309058615,False,-0.4042,0.5064,2,2,2,100.0,18.2043468358871,21.395106715252467,4.557514693534843,3.442485306465157,历史2/2次成功; 当前距低点3.44%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
37,74.23203001977042,69.0761257061902,301488,豪恩汽电,bottom_area,2024-01-15,62.1,2024-01-15,61.94,0.2583144979012007,2.76073619631902,31.024498886414253,False,-2.5118,5.4507,1,1,1,100.0,11.478939577445836,11.478939577445836,7.741685502098799,0.2583144979012007,历史1/1次成功; 当前距低点0.26%; 最新日涨幅-2.51%; 状态bottom_area; 底部未确认
38,73.12500116863893,71.41301245260344,601016,节能风电,bottom_area,2024-01-15,2.97,2023-12-27,2.89,2.7681660899654004,5.8823529411764675,29.166666666666664,False,-1.0,0.3418,1,1,1,100.0,14.970059880239523,14.970059880239523,5.2318339100346005,2.7681660899654004,历史1/1次成功; 当前距低点2.77%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
39,73.09443805303908,68.76191713782552,601995,中金公司,bottom_area,2024-01-15,33.05,2024-01-15,32.78,0.8236729713239658,1.952410006101283,27.63796909492273,False,-0.4518,0.3079,1,1,1,100.0,16.719846841097638,16.719846841097638,7.176327028676035,0.8236729713239658,历史1/1次成功; 当前距低点0.82%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
40,71.61831087816539,68.69239515795972,688283,坤恒顺维,confirmed_rebound,2024-01-15,49.49,2024-01-15,48.6,1.8312757201646102,11.358024691358017,29.73832586381379,False,-8.5213,3.2895,1,1,1,100.0,9.288730107177653,9.288730107177653,6.16872427983539,1.8312757201646102,历史1/1次成功; 当前距低点1.83%; 最新日涨幅-8.52%; 状态confirmed_rebound; 底部未确认
41,71.53155675350853,70.43632155635062,002544,普天科技,bottom_area,2024-01-15,17.75,2024-01-12,17.2,3.1976744186046555,5.232558139534897,29.45036915504512,False,-1.1142,0.6978,1,1,1,100.0,14.983974358974352,14.983974358974352,4.802325581395345,3.1976744186046555,历史1/1次成功; 当前距低点3.20%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
42,61.804935946947616,58.80606111707296,600986,浙文互联,bottom_area,2024-01-15,5.02,2024-01-15,4.95,1.414141414141402,2.626262626262624,30.76923076923077,False,-0.5941,2.1669,1,2,1,50.0,22.25969645868466,22.25969645868466,6.585858585858598,1.414141414141402,历史1/2次成功; 当前距低点1.41%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
43,60.7033568417051,58.85573380577691,605118,力鼎光电,bottom_area,2024-01-15,20.54,2024-01-15,20.06,2.392821535393821,3.0907278165503542,31.465664502904,False,1.0827,2.0822,1,2,1,50.0,12.050359712230225,12.050359712230225,5.6071784646061795,2.392821535393821,历史1/2次成功; 当前距低点2.39%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
44,56.73204517469559,53.26907537381751,300451,创业慧康,bottom_area,2024-01-15,5.55,2024-01-15,5.51,0.7259528130671513,2.177858439201454,30.778894472361813,False,-1.0695,1.6278,1,2,1,50.0,23.89380530973452,23.89380530973452,7.274047186932848,0.7259528130671513,历史1/2次成功; 当前距低点0.73%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
