rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.57576471342891,69.64647059452409,002246,北化股份,bottom_area,2025-01-27,9.05,2025-01-27,9.05,0.0,4.861878453038669,28.571428571428566,False,-2.4784,1.3738,3,4,3,75.0,27.803605346903716,31.992687385740403,20.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
2,83.49843385567688,70.20992182286203,600693,东百集团,bottom_area,2025-01-27,6.15,2025-01-27,6.12,0.49019607843137664,11.601307189542483,27.48815165876777,False,-8.4821,9.2894,1,1,1,100.0,30.632090761750412,30.632090761750412,19.509803921568626,0.49019607843137664,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-8.48%; 状态bottom_area; 底部未确认
3,78.02289218910683,67.82382131471377,600325,华发股份,bottom_area,2025-01-27,5.32,2025-01-13,5.2,2.3076923076923097,5.961538461538454,29.539295392953925,False,-0.7463,0.9938,2,3,2,66.66666666666666,28.917704890244938,32.553606237816766,17.69230769230769,2.3076923076923097,历史2/3次成功; 当前距低点2.31%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
4,76.79389779609755,64.2508014397254,002767,先锋电子,bottom_area,2025-01-27,13.81,2025-01-27,13.78,0.21770682148041465,4.354136429608138,31.442786069651753,False,-2.3338,8.3696,2,4,2,50.0,43.37189781021898,52.04379562043795,19.782293178519588,0.21770682148041465,历史2/4次成功; 当前距低点0.22%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
5,76.3973313078605,66.65721570664466,300347,泰格医药,bottom_area,2025-01-27,49.0,2025-01-24,47.8,2.510460251046031,4.393305439330547,30.824891461649784,False,0.3687,1.9727,2,4,2,50.0,22.102500424890394,23.423271500843175,17.48953974895397,2.510460251046031,历史2/4次成功; 当前距低点2.51%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
6,76.17719223287452,65.91972785382622,600202,哈空调,bottom_area,2025-01-27,4.46,2025-01-24,4.37,2.0594965675057177,3.89016018306636,29.967948717948715,False,0.2247,3.6061,2,5,2,40.0,34.27623670827554,41.50485436893204,17.940503432494285,2.0594965675057177,历史2/5次成功; 当前距低点2.06%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
7,70.2506488770667,63.40493659886278,000829,天音控股,bottom_area,2025-01-27,10.04,2025-01-13,9.62,4.365904365904365,11.018711018711025,30.691642651296842,True,-2.3346,2.1118,2,4,2,50.0,40.640852436154454,46.4765100671141,15.634095634095635,4.365904365904365,历史2/4次成功; 当前距低点4.37%; 最新日涨幅-2.33%; 状态bottom_area; 底部已确认
8,65.70044444444446,54.75037037037038,300422,博世科,bottom_area,2025-01-27,4.2,2025-01-27,4.2,0.0,4.047619047619046,28.692699490662132,False,-6.0403,4.8183,1,2,1,50.0,45.4320987654321,45.4320987654321,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-6.04%; 状态bottom_area; 底部未确认
9,65.02046933465604,56.578862805890815,002848,高斯贝尔,bottom_area,2025-01-27,5.63,2025-01-27,5.5,2.363636363636362,8.000000000000007,30.817610062893085,False,-0.1773,15.0238,1,2,1,50.0,21.924482338611433,21.924482338611433,17.63636363636364,2.363636363636362,历史1/2次成功; 当前距低点2.36%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
10,63.518680311306206,55.74505760009964,600130,波导股份,bottom_area,2025-01-27,3.27,2025-01-24,3.18,2.8301886792452784,5.345911949685532,32.76955602536999,False,0.0,7.4534,1,3,1,33.33333333333333,20.13201320132014,20.13201320132014,17.169811320754725,2.8301886792452784,历史1/3次成功; 当前距低点2.83%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,62.631656179909704,54.39275377054737,002571,德力股份,bottom_area,2025-01-27,4.08,2025-01-22,3.99,2.2556390977443574,6.265664160401002,28.749999999999993,False,-1.6867,4.6177,1,3,1,33.33333333333333,28.291814946619215,28.291814946619215,17.744360902255643,2.2556390977443574,历史1/3次成功; 当前距低点2.26%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
12,61.55709090909092,51.297575757575764,301315,威士顿,bottom_area,2025-01-27,55.55,2025-01-27,55.55,0.0,12.079207920792081,28.229974160206726,False,-11.191,27.3948,1,2,1,50.0,26.868686868686865,26.868686868686865,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-11.19%; 状态bottom_area; 底部未确认
