rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
30,75.94271961069285,70.46468341874686,001286,陕西能源,bottom_area,2024-09-04,9.21,2024-09-04,9.2,0.10869565217393004,2.065217391304362,27.15756136183691,False,-2.333,1.4764,1,1,1,100.0,17.110266159695826,17.110266159695826,7.89130434782607,0.10869565217393004,历史1/1次成功; 当前距低点0.11%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
31,75.65569100506103,70.6554585535771,600011,华能国际,bottom_area,2024-09-04,6.76,2024-09-04,6.73,0.4457652303120261,1.7830609212481308,32.02020202020202,False,-1.1696,0.3504,1,1,1,100.0,22.267759562841515,22.267759562841515,7.554234769687975,0.4457652303120261,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
32,75.26588586591468,74.910531385373,002715,登云股份,bottom_area,2024-09-04,9.95,2024-08-23,9.59,3.753910323253383,7.4035453597497485,31.45103645461044,True,-0.8964,1.1381,1,1,1,100.0,36.66369313113291,36.66369313113291,4.246089676746617,3.753910323253383,历史1/1次成功; 当前距低点3.75%; 最新日涨幅-0.90%; 状态bottom_area; 底部已确认
33,75.00202643251546,75.24041189594817,301509,金凯生科,bottom_area,2024-09-04,26.26,2024-08-28,25.21,4.165013883379614,6.227687425624754,29.6792189679219,False,0.6902,2.2836,2,2,2,100.0,13.530341666955287,15.05054819877544,3.834986116620386,4.165013883379614,历史2/2次成功; 当前距低点4.17%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
34,74.89379602817898,73.2897821692934,300686,智动力,confirmed_rebound,2024-09-04,8.59,2024-09-04,8.35,2.8742514970059907,8.982035928143713,31.78104575163399,False,-8.4222,28.7117,2,2,2,100.0,30.124062271328274,48.46416382252562,5.12574850299401,2.8742514970059907,历史2/2次成功; 当前距低点2.87%; 最新日涨幅-8.42%; 状态confirmed_rebound; 底部未确认
35,74.2730588245565,75.40690301527425,300653,正海生物,bottom_area,2024-09-04,19.26,2024-08-28,18.38,4.78781284004354,7.83460282916214,27.466456195737965,True,-0.1037,0.5791,3,3,3,100.0,18.672668228889858,29.647513278609367,3.21218715995646,4.78781284004354,历史3/3次成功; 当前距低点4.79%; 最新日涨幅-0.10%; 状态bottom_area; 底部已确认
36,73.76396367576218,71.57497523237046,301518,长华化学,bottom_area,2024-09-04,13.89,2024-08-28,13.56,2.4336283185840712,6.12094395280236,28.21598729486501,False,-0.2872,1.6784,1,1,1,100.0,11.740041928721173,11.740041928721173,5.566371681415929,2.4336283185840712,历史1/1次成功; 当前距低点2.43%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
37,73.38985408225143,72.26808088640281,600183,生益科技,bottom_area,2024-09-04,17.42,2024-08-29,16.88,3.1990521327014383,7.2274881516587826,29.519832985386223,True,-1.1351,0.6502,3,4,3,75.0,19.822149187968265,25.158227848101262,4.800947867298562,3.1990521327014383,历史3/4次成功; 当前距低点3.20%; 最新日涨幅-1.14%; 状态bottom_area; 底部已确认
38,73.13924632099229,68.78994647908863,000708,中信特钢,bottom_area,2024-09-04,11.16,2024-09-04,11.07,0.8130081300812995,2.2583559168925023,32.08588957055215,False,-1.1515,0.1497,1,1,1,100.0,16.739811912225715,16.739811912225715,7.1869918699187005,0.8130081300812995,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
39,72.6206184336831,68.04405647304579,002140,东华科技,bottom_area,2024-09-04,6.53,2024-08-23,6.49,0.6163328197226507,5.855161787365176,27.888888888888886,False,-1.8045,0.6895,1,1,1,100.0,10.318791946308728,10.318791946308728,7.3836671802773495,0.6163328197226507,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
40,72.46501174663945,67.97586722644975,002302,西部建设,bottom_area,2024-09-04,5.96,2024-09-04,5.92,0.6756756756756763,6.250000000000002,27.093596059113295,False,-2.455,6.6163,1,1,1,100.0,10.679611650485443,10.679611650485443,7.324324324324325,0.6756756756756763,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
41,72.43544688509014,70.63412253741119,600166,福田汽车,bottom_area,2024-09-04,2.29,2024-08-28,2.23,2.690582959641258,6.7264573991031344,27.5974025974026,False,-0.4348,0.5448,1,1,1,100.0,9.831460674157306,9.831460674157306,5.309417040358742,2.690582959641258,历史1/1次成功; 当前距低点2.69%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
42,71.9621334131645,73.18671892428034,300751,迈为股份,bottom_area,2024-09-04,81.71,2024-08-28,77.91,4.877422667180077,6.738544474393532,27.89449329014345,False,1.352,1.0243,2,2,2,100.0,11.22173443790815,13.004138993165853,3.122577332819924,4.877422667180077,历史2/2次成功; 当前距低点4.88%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
43,71.73477271833083,71.33027531641932,300690,双一科技,confirmed_rebound,2024-09-04,17.07,2024-08-23,16.46,3.7059538274605064,9.781287970838392,30.89840470193115,True,-1.2724,3.3664,2,2,2,100.0,10.375537865748704,11.160714285714286,4.294046172539494,3.7059538274605064,历史2/2次成功; 当前距低点3.71%; 最新日涨幅-1.27%; 状态confirmed_rebound; 底部已确认
44,71.44309795429712,72.7173835323885,002732,燕塘乳业,bottom_area,2024-09-04,13.65,2024-08-23,13.01,4.919292851652579,5.918524212144502,29.599567099567103,False,-0.365,0.2639,3,3,3,100.0,15.018124914819245,25.344352617079892,3.080707148347421,4.919292851652579,历史3/3次成功; 当前距低点4.92%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
45,70.7546150626701,69.68212901774581,301596,瑞迪智驱,confirmed_rebound,2024-09-04,61.49,2024-08-28,59.58,3.2057737495804024,8.073178919100373,29.905882352941177,True,-0.5499,5.7041,1,1,1,100.0,12.04996326230713,12.04996326230713,4.794226250419598,3.2057737495804024,历史1/1次成功; 当前距低点3.21%; 最新日涨幅-0.55%; 状态confirmed_rebound; 底部已确认
46,70.25701404007211,69.90049674850948,002230,科大讯飞,bottom_area,2024-09-04,33.88,2024-08-28,32.66,3.7354562155542137,6.399265156154328,28.093350946719518,False,-0.616,0.5351,1,1,1,100.0,18.69535978480161,18.69535978480161,4.264543784445786,3.7354562155542137,历史1/1次成功; 当前距低点3.74%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
47,68.49464966209531,68.29422640046519,605296,神农集团,confirmed_rebound,2024-09-04,27.26,2024-08-28,26.25,3.847619047619054,8.87619047619047,28.82321041214751,True,-1.4817,2.8378,1,1,1,100.0,12.455902306648564,12.455902306648564,4.1523809523809465,3.847619047619054,历史1/1次成功; 当前距低点3.85%; 最新日涨幅-1.48%; 状态confirmed_rebound; 底部已确认
48,66.57188163095894,67.13777489066587,000726,鲁泰A,bottom_area,2024-09-04,5.41,2024-08-29,5.18,4.440154440154449,6.370656370656372,31.390728476821195,False,-0.9158,0.6416,1,1,1,100.0,12.480252764612954,12.480252764612954,3.5598455598455514,4.440154440154449,历史1/1次成功; 当前距低点4.44%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
49,59.86990305912405,56.256790857567594,000922,佳电股份,bottom_area,2024-09-04,9.23,2024-09-04,9.16,0.7641921397379944,2.18340611353711,27.01195219123506,False,-1.8085,1.0516,1,2,1,50.0,40.42553191489362,40.42553191489362,7.235807860262006,0.7641921397379944,历史1/2次成功; 当前距低点0.76%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
50,58.78117015950652,57.607014450952086,603282,亚光股份,bottom_area,2024-09-04,12.56,2024-08-26,12.2,2.9508196721311575,6.311475409836078,27.164179104477615,False,-0.5542,1.6275,1,2,1,50.0,34.64991023339317,34.64991023339317,5.049180327868843,2.9508196721311575,历史1/2次成功; 当前距低点2.95%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
51,56.023300918133806,55.86141106634928,000625,长安汽车,bottom_area,2024-09-04,11.87,2024-08-29,11.43,3.849518810148727,6.999125109361335,29.138251704897705,False,0.1688,0.8091,1,2,1,50.0,13.808139534883724,13.808139534883724,4.1504811898512735,3.849518810148727,历史1/2次成功; 当前距低点3.85%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
