rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.81707131812625,75.4036334245785,603809,豪能股份,bottom_area,2025-11-12,12.43,2025-11-12,12.38,0.4038772213247086,3.3117932148626683,27.17647058823529,False,-2.8147,2.2116,2,2,2,100.0,30.615448866660387,31.661442006269603,19.596122778675294,0.4038772213247086,历史2/2次成功; 当前距低点0.40%; 最新日涨幅-2.81%; 状态bottom_area; 底部未确认
2,88.64096548639208,74.94205942784895,002790,瑞尔特,bottom_area,2025-11-12,8.95,2025-11-12,8.88,0.7882882882882714,2.702702702702685,32.829046898638424,False,-1.864,6.0248,1,1,1,100.0,49.512670565302145,49.512670565302145,19.21171171171173,0.7882882882882714,历史1/1次成功; 当前距低点0.79%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
3,87.98055627232534,76.39330601838762,603173,福斯达,bottom_area,2025-11-12,39.61,2025-11-05,38.74,2.2457408363448566,4.775425916365517,29.422481326288942,False,-0.8759,4.0013,1,1,1,100.0,35.34190927555856,35.34190927555856,17.754259163655146,2.2457408363448566,历史1/1次成功; 当前距低点2.25%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
4,87.9544176450334,75.73620168292601,603151,邦基科技,bottom_area,2025-11-12,19.91,2025-11-12,19.56,1.7893660531697413,8.640081799591009,27.474972191323694,False,-7.1795,5.8338,1,1,1,100.0,36.42987249544626,36.42987249544626,18.21063394683026,1.7893660531697413,历史1/1次成功; 当前距低点1.79%; 最新日涨幅-7.18%; 状态bottom_area; 底部未确认
5,85.44795146666605,71.88069927596048,603759,海天股份,bottom_area,2025-11-12,11.73,2025-11-12,11.67,0.5141388174807241,7.36932305055698,29.14389799635701,False,-9.2105,12.564,1,1,1,100.0,39.90825688073395,39.90825688073395,19.485861182519276,0.5141388174807241,历史1/1次成功; 当前距低点0.51%; 最新日涨幅-9.21%; 状态bottom_area; 底部未确认
6,69.4599766118011,61.74688454871882,605398,新炬网络,bottom_area,2025-11-12,29.3,2025-10-13,28.3,3.53356890459364,9.222614840989397,28.172588832487307,True,-2.6255,2.3757,2,4,2,50.0,21.523772318238297,22.15700660308142,16.46643109540636,3.53356890459364,历史2/4次成功; 当前距低点3.53%; 最新日涨幅-2.63%; 状态bottom_area; 底部已确认
7,65.73269975160338,55.20211916807194,002123,梦网科技,bottom_area,2025-11-12,11.91,2025-11-12,11.86,0.4215851602023669,2.2765598650927603,31.642651296829982,False,-1.8137,2.3707,1,3,1,33.33333333333333,54.50450450450449,54.50450450450449,19.578414839797635,0.4215851602023669,历史1/3次成功; 当前距低点0.42%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
8,65.04472712423913,55.4189331987212,002338,奥普光电,bottom_area,2025-11-12,51.01,2025-11-12,50.4,1.2103174603174591,2.2420634920634974,28.35820895522388,False,-0.2737,1.3048,1,3,1,33.33333333333333,20.995288574793882,20.995288574793882,18.78968253968254,1.2103174603174591,历史1/3次成功; 当前距低点1.21%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
9,62.61546490836149,55.996679328268684,002678,珠江钢琴,bottom_area,2025-11-12,5.11,2025-11-03,4.92,3.861788617886187,4.674796747967489,29.613733905579405,False,0.9881,1.7771,1,4,1,25.0,35.5191256830601,35.5191256830601,16.138211382113816,3.861788617886187,历史1/4次成功; 当前距低点3.86%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
10,61.225897164420005,51.16667853774241,000661,长春高新,bottom_area,2025-11-12,103.44,2025-11-12,103.28,0.15491866769945448,1.6460108443067418,27.14960852084363,False,-0.2026,2.1857,1,3,1,33.33333333333333,25.03526756324649,25.03526756324649,19.845081332300545,0.15491866769945448,历史1/3次成功; 当前距低点0.15%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
11,54.103973122968526,48.56202450509591,300563,神宇股份,bottom_area,2025-11-12,38.17,2025-10-23,36.68,4.0621592148309755,6.27044711014176,28.776699029126213,False,-0.5731,3.2058,1,4,1,25.0,20.477137176938378,20.477137176938378,15.937840785169024,4.0621592148309755,历史1/4次成功; 当前距低点4.06%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
