rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.90428211612385,86.36333858223672,002045,国光电器,bottom_area,2023-08-11,13.72,2023-07-28,13.31,3.0803906836964696,6.536438767843721,27.937195452084456,False,0.8082,3.1335,4,4,4,100.0,26.70230828529398,33.77563329312426,4.91960931630353,3.0803906836964696,历史4/4次成功; 当前距低点3.08%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
2,85.30077322509229,81.01176035183111,002829,星网宇达,bottom_area,2023-08-11,30.75,2023-08-10,30.35,1.3179571663920875,3.0642504118616136,32.209068572704936,False,-0.7744,1.9017,3,3,3,100.0,15.4661435011025,21.628131021194598,6.6820428336079125,1.3179571663920875,历史3/3次成功; 当前距低点1.32%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
3,83.58211574387389,79.9108880451449,002403,爱仕达,bottom_area,2023-08-11,8.55,2023-07-28,8.41,1.664684898929852,6.658739595719387,32.61217948717949,False,-1.0417,1.2356,3,3,3,100.0,13.797686100564366,21.63892445582587,6.335315101070147,1.664684898929852,历史3/3次成功; 当前距低点1.66%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
4,83.25542981767167,77.22710505031152,300342,天银机电,bottom_area,2023-08-11,10.72,2023-08-11,10.71,0.09337068160597373,2.2408963585434023,30.947775628626683,False,-1.3799,2.1004,3,3,3,100.0,19.9461838944793,26.68539325842696,7.906629318394026,0.09337068160597373,历史3/3次成功; 当前距低点0.09%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
5,82.18295884420836,76.16194546267245,600072,中船科技,bottom_area,2023-08-11,22.02,2023-08-11,22.01,0.04543389368467973,2.8169014084506925,28.306188925081425,False,-2.2636,2.4373,3,3,3,100.0,13.631907205771569,14.0952380952381,7.954566106315321,0.04543389368467973,历史3/3次成功; 当前距低点0.05%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
6,80.952954990606,75.14881603976349,688328,深科达,bottom_area,2023-08-11,22.57,2023-08-11,22.54,0.13309671694765368,3.238686779059452,28.376231331426755,False,-2.883,3.3188,2,2,2,100.0,25.92621803443088,29.170984455958543,7.866903283052347,0.13309671694765368,历史2/2次成功; 当前距低点0.13%; 最新日涨幅-2.88%; 状态bottom_area; 底部未确认
7,80.3314624575536,74.38098375699407,603033,三维股份,bottom_area,2023-08-11,15.0,2023-08-11,15.0,0.0,1.0666666666666678,30.45897079276773,False,-0.4645,0.1106,3,3,3,100.0,15.757977188140112,24.922480620155024,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
8,79.82125151470714,74.08155875401418,688262,国芯科技,bottom_area,2023-08-11,32.99,2023-08-11,32.95,0.12139605462822198,3.0955993930197145,28.83369330453563,False,-2.4253,0.9966,2,2,2,100.0,20.044848164336123,27.063197026022312,7.878603945371779,0.12139605462822198,历史2/2次成功; 当前距低点0.12%; 最新日涨幅-2.43%; 状态bottom_area; 底部未确认
9,79.67872492756368,76.95537130497476,600935,华塑股份,bottom_area,2023-08-11,3.73,2023-06-27,3.65,2.1917808219178103,7.671232876712336,28.571428571428577,True,-2.0997,0.315,1,1,1,100.0,28.50877192982458,28.50877192982458,5.80821917808219,2.1917808219178103,历史1/1次成功; 当前距低点2.19%; 最新日涨幅-2.10%; 状态bottom_area; 底部已确认
10,79.28414735614739,75.52664448904687,605118,力鼎光电,bottom_area,2023-08-11,14.44,2023-07-28,14.23,1.4757554462403308,7.027406886858749,30.210887690044142,True,-0.8242,0.394,1,1,1,100.0,12.050359712230225,12.050359712230225,6.52424455375967,1.4757554462403308,历史1/1次成功; 当前距低点1.48%; 最新日涨幅-0.82%; 状态bottom_area; 底部已确认
11,78.1285589319426,72.85475455807703,300455,航天智装,bottom_area,2023-08-11,10.93,2023-08-11,10.89,0.3673094582185413,2.387511478420567,30.192307692307686,False,-1.7969,1.0827,2,2,2,100.0,16.463549047394118,18.904109589041095,7.632690541781459,0.3673094582185413,历史2/2次成功; 当前距低点0.37%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
