rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.0289453125,75.67734375,603122,合富中国,bottom_area,2022-04-25,12.42,2022-04-25,12.42,0.0,13.929146537842193,30.575740637227504,False,-10.0,20.923,2,2,2,100.0,49.609375,72.1590909090909,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
2,86.40927468094254,75.62283483251746,300584,海辰药业,bottom_area,2022-04-25,32.11,2022-04-25,32.0,0.3437499999999982,13.906250000000009,31.623931623931618,False,-11.2983,11.1401,2,2,2,100.0,41.271961465147655,54.23197492163009,14.656250000000002,0.3437499999999982,历史2/2次成功; 当前距低点0.34%; 最新日涨幅-11.30%; 状态bottom_area; 底部未确认
3,86.20928213060373,77.05927168064073,300480,光力科技,bottom_area,2022-04-25,18.57,2022-04-25,18.3,1.4754098360655714,13.060109289617488,27.952755905511808,False,-11.1908,2.95,1,1,1,100.0,39.69465648854962,39.69465648854962,13.524590163934427,1.4754098360655714,历史1/1次成功; 当前距低点1.48%; 最新日涨幅-11.19%; 状态bottom_area; 底部未确认
4,85.19587905479632,76.51021358987758,300588,熙菱信息,bottom_area,2022-04-25,10.02,2022-04-25,9.85,1.7258883248730958,11.47208121827412,28.623188405797105,False,-10.2151,7.4566,2,2,2,100.0,23.146446078431378,25.98039215686274,13.274111675126903,1.7258883248730958,历史2/2次成功; 当前距低点1.73%; 最新日涨幅-10.22%; 状态bottom_area; 底部未确认
5,84.88997267811692,74.08067296340025,300711,广哈通信,bottom_area,2022-04-25,10.52,2022-04-25,10.5,0.1904761904761864,10.000000000000005,27.083333333333336,False,-10.1623,1.5953,1,1,1,100.0,47.76859504132231,47.76859504132231,14.809523809523814,0.1904761904761864,历史1/1次成功; 当前距低点0.19%; 最新日涨幅-10.16%; 状态bottom_area; 底部未确认
6,84.53531463234766,75.12554735979393,300675,建科院,bottom_area,2022-04-25,14.77,2022-04-25,14.6,1.1643835616438352,7.876712328767126,29.502655721873495,False,-2.7009,4.8693,1,1,1,100.0,15.270655270655267,15.270655270655267,13.835616438356164,1.1643835616438352,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-2.70%; 状态bottom_area; 底部未确认
7,83.5475,72.65,002657,中科金财,bottom_area,2022-04-25,12.28,2022-04-25,12.28,0.0,9.201954397394143,30.464326160815407,False,-9.9707,10.1702,1,1,1,100.0,56.540447504302946,56.540447504302946,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
8,82.98216970568959,72.35388576367063,300665,飞鹿股份,bottom_area,2022-04-25,6.92,2022-04-25,6.91,0.1447178002894325,10.130246020260495,28.762886597938138,False,-10.013,3.1271,2,2,2,100.0,21.25721692650826,22.6044226044226,14.855282199710567,0.1447178002894325,历史2/2次成功; 当前距低点0.14%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
9,82.96308877549124,73.6137489965213,600307,酒钢宏兴,bottom_area,2022-04-25,1.87,2022-04-25,1.85,1.081081081081082,8.108108108108103,28.846153846153843,False,-7.4257,2.6932,1,1,1,100.0,16.33663366336634,16.33663366336634,13.918918918918918,1.081081081081082,历史1/1次成功; 当前距低点1.08%; 最新日涨幅-7.43%; 状态bottom_area; 底部未确认
10,82.84259975585192,73.75530306927878,000573,粤宏远A,bottom_area,2022-04-25,3.21,2022-04-25,3.17,1.2618296529968467,9.46372239747635,32.696390658174096,False,-8.547,4.6104,1,1,1,100.0,19.31330472103003,19.31330472103003,13.738170347003154,1.2618296529968467,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-8.55%; 状态bottom_area; 底部未确认
11,82.83088352529566,74.1389717002476,600152,维科技术,bottom_area,2022-04-25,5.25,2022-04-25,5.17,1.547388781431336,8.51063829787235,29.945799457994582,False,-7.2438,1.2196,1,1,1,100.0,24.87644151565074,24.87644151565074,13.452611218568663,1.547388781431336,历史1/1次成功; 当前距低点1.55%; 最新日涨幅-7.24%; 状态bottom_area; 底部未确认
