rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.03737261812174,73.06091979951897,301687,新广益,bottom_area,2026-01-28,60.68,88.3,2026-01-28,60.44,0.39708802117803105,2.8292521508934496,31.5515288788222,31.279728199320495,False,-2.7876,13.5866,1,1,1,100.0,34.60365853658537,34.60365853658537,19.60291197882197,0.39708802117803105,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
2,84.79732686291808,71.14043956043955,300155,安居宝,bottom_area,2026-01-28,5.48,8.08,2026-01-28,5.46,0.36630036630037477,2.380952380952379,32.42574257425743,32.17821782178218,False,-1.2613,5.2843,1,1,1,100.0,23.90109890109889,23.90109890109889,19.633699633699624,0.36630036630037477,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
3,84.67024238807258,70.94410109018831,600271,航天信息,bottom_area,2026-01-28,10.12,13.99,2026-01-28,10.09,0.29732408325073695,3.369672943508423,27.8770550393138,27.662616154396,False,-2.4108,2.4238,1,1,1,100.0,21.999999999999996,21.999999999999996,19.702675916749264,0.29732408325073695,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
4,83.33468796348538,74.35812189667908,688068,热景生物,bottom_area,2026-01-28,149.85,214.78,2026-01-26,144.45,3.7383177570093498,7.926618206992051,32.74513455629016,30.230933978955214,True,-2.0716,1.0923,3,4,3,75.0,37.669281627206416,49.133924799324014,16.261682242990652,3.7383177570093498,历史3/4次成功; 当前距低点3.74%; 最新日涨幅-2.07%; 状态bottom_area; 底部已确认
5,80.58523378122337,69.71631978375585,300624,万兴科技,bottom_area,2026-01-28,89.8,122.8,2026-01-27,88.0,2.0454545454545423,5.4545454545454515,28.33876221498371,26.87296416938111,False,-1.8043,6.2466,2,3,2,66.66666666666666,35.87790043400834,51.195680123425035,17.95454545454546,2.0454545454545423,历史2/3次成功; 当前距低点2.05%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
6,78.31381077914087,69.32040087601565,301489,思泉新材,bottom_area,2026-01-28,167.2,231.5,2026-01-27,161.86,3.29914741134312,5.0228592610898275,30.082073434125263,27.77537796976242,False,0.6804,7.0234,2,4,2,50.0,46.08847835418263,71.56118143459918,16.700852588656883,3.29914741134312,历史2/4次成功; 当前距低点3.30%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
7,76.80390430656915,67.33131275694073,600325,华发股份,bottom_area,2026-01-28,4.08,5.74,2026-01-27,3.97,2.770780856423171,3.274559193954646,30.836236933797906,28.9198606271777,False,2.2556,2.3163,2,4,2,50.0,28.917704890244938,32.553606237816766,17.22921914357683,2.770780856423171,历史2/4次成功; 当前距低点2.77%; 最新日涨幅2.26%; 状态bottom_area; 底部未确认
8,75.05017441441441,64.10891891891892,300652,雷迪克,bottom_area,2026-01-28,54.0,74.21,2026-01-27,53.28,1.351351351351349,4.072822822822826,28.20374612585904,27.23352647891119,False,-1.7467,2.1194,1,2,1,50.0,54.41115272575945,54.41115272575945,18.648648648648653,1.351351351351349,历史1/2次成功; 当前距低点1.35%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
9,69.2251071303032,59.87322698602575,603069,海汽集团,bottom_area,2026-01-28,22.6,31.58,2026-01-27,22.15,2.0316027088036246,4.650112866817161,29.860671310956306,28.43571880937301,False,-0.6157,1.7839,2,7,2,28.57142857142857,48.661265848453205,76.0375880971026,17.968397291196375,2.0316027088036246,历史2/7次成功; 当前距低点2.03%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
10,66.39059915985264,57.36088556174559,000797,中国武夷,bottom_area,2026-01-28,3.1,4.27,2026-01-27,3.04,1.9736842105263175,3.947368421052635,28.80562060889929,27.400468384074934,False,-0.641,2.242,2,6,2,33.33333333333333,24.126624883936852,27.083333333333325,18.026315789473685,1.9736842105263175,历史2/6次成功; 当前距低点1.97%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
11,64.1341031419506,57.71551654824447,300705,九典制药,bottom_area,2026-01-28,15.61,20.66,2025-12-30,14.98,4.205607476635508,8.277703604806398,27.49273959341723,24.443368828654407,True,-1.2025,1.6269,1,2,1,50.0,41.42097631706138,41.42097631706138,15.794392523364492,4.205607476635508,历史1/2次成功; 当前距低点4.21%; 最新日涨幅-1.20%; 状态bottom_area; 底部已确认
12,63.528148081837735,57.070203950587086,600161,天坛生物,bottom_area,2026-01-28,16.72,22.08,2025-12-24,16.06,4.109589041095892,9.464508094645078,27.264492753623188,24.27536231884058,True,-2.1077,1.0093,1,2,1,50.0,36.77455357142857,36.77455357142857,15.890410958904111,4.109589041095892,历史1/2次成功; 当前距低点4.11%; 最新日涨幅-2.11%; 状态bottom_area; 底部已确认
13,61.46478836546748,52.45421411776577,300612,宣亚国际,bottom_area,2026-01-28,18.71,25.36,2026-01-27,18.47,1.2994044396318463,6.442880346507858,27.16876971608833,26.222397476340685,False,-1.4226,11.8485,1,6,1,16.666666666666664,25.592417061611382,25.592417061611382,18.700595560368154,1.2994044396318463,历史1/6次成功; 当前距低点1.30%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
