rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.29779136720796,74.02535510574336,688187,时代电气,bottom_area,2022-03-31,54.75,2022-03-31,54.12,1.1640798226164129,9.922394678492248,27.55020080321286,False,-8.5519,5.4275,1,1,1,100.0,19.566973662950396,19.566973662950396,13.835920177383587,1.1640798226164129,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-8.55%; 状态bottom_area; 底部未确认
2,60.111861798049524,53.932097186700766,300540,蜀道装备,bottom_area,2022-03-31,24.89,2022-03-31,24.48,1.6748366013071903,2.8594771241830035,28.83720930232558,False,-0.0803,2.7252,1,3,1,33.33333333333333,18.695652173913043,18.695652173913043,13.32516339869281,1.6748366013071903,历史1/3次成功; 当前距低点1.67%; 最新日涨幅-0.08%; 状态bottom_area; 底部未确认
3,57.59387036606003,54.52340533168696,300603,立昂技术,bottom_area,2022-03-31,13.54,2022-03-30,12.95,4.555984555984556,5.559845559845565,29.657794676806088,False,2.1887,14.666,1,2,1,50.0,15.274463007159895,15.274463007159895,10.444015444015443,4.555984555984556,历史1/2次成功; 当前距低点4.56%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
4,57.51396198775539,50.500064184370565,300436,广生堂,bottom_area,2022-03-31,46.44,2022-03-31,46.2,0.5194805194805083,11.212121212121211,29.141104294478527,False,-6.6345,9.6633,1,2,1,50.0,16.690751445086697,16.690751445086697,14.48051948051949,0.5194805194805083,历史1/2次成功; 当前距低点0.52%; 最新日涨幅-6.63%; 状态bottom_area; 底部未确认
5,56.8990281331919,53.90917193105803,002222,福晶科技,bottom_area,2022-03-31,14.1,2022-03-16,13.48,4.599406528189905,8.753709198813054,27.056277056277057,True,-0.9831,1.0212,1,2,1,50.0,25.783972125435533,25.783972125435533,10.400593471810094,4.599406528189905,历史1/2次成功; 当前距低点4.60%; 最新日涨幅-0.98%; 状态bottom_area; 底部已确认
