rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.76662734254552,83.14282227417829,002127,南极电商,bottom_area,2025-06-19,3.87,2025-06-19,3.83,1.044386422976502,2.088772845953004,28.411214953271024,False,-1.2755,1.9697,3,3,3,100.0,23.570017841745774,33.53658536585366,13.955613577023499,1.044386422976502,历史3/3次成功; 当前距低点1.04%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
2,88.91108421497897,80.2726628918449,603198,迎驾贡酒,bottom_area,2025-06-19,38.55,2025-06-16,37.79,2.0111140513363273,6.774278909764495,29.78446674098848,False,-1.0015,0.7188,2,2,2,100.0,36.655929725224325,39.66017405719024,12.988885948663672,2.0111140513363273,历史2/2次成功; 当前距低点2.01%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
3,87.67561058398222,76.46694267515922,301260,格力博,bottom_area,2025-06-19,18.87,2025-06-19,18.84,0.15923566878981496,4.458598726114649,28.036669213139803,False,-1.8721,4.5005,1,1,1,100.0,58.71313672922254,58.71313672922254,14.840764331210185,0.15923566878981496,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
4,86.81735881900563,78.75886597938144,300368,汇金股份,bottom_area,2025-06-19,9.92,2025-06-18,9.7,2.268041237113409,10.824742268041247,28.83345561261923,True,1.4315,17.105,1,1,1,100.0,16.66666666666668,16.66666666666668,12.731958762886592,2.268041237113409,历史1/1次成功; 当前距低点2.27%; 最新日涨幅1.43%; 状态bottom_area; 底部已确认
5,86.64264607802374,75.91110831234259,001230,劲旅环境,bottom_area,2025-06-19,19.93,2025-06-19,19.85,0.40302267002518033,4.735516372795958,29.384560654571317,False,-2.0639,6.1999,1,1,1,100.0,84.69119579500656,84.69119579500656,14.59697732997482,0.40302267002518033,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
6,84.68067884699245,73.77875564987251,002041,登海种业,bottom_area,2025-06-19,9.62,2025-06-19,9.61,0.10405827263267209,2.3933402705515134,29.129793510324493,False,-2.0367,0.9037,2,2,2,100.0,18.2043468358871,21.395106715252467,14.895941727367326,0.10405827263267209,历史2/2次成功; 当前距低点0.10%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
7,84.47401402200195,73.68877090332568,002909,集泰股份,bottom_area,2025-06-19,5.91,2025-06-19,5.9,0.1694915254237252,2.542372881355923,29.510155316606916,False,-2.314,3.484,1,1,1,100.0,35.18930957683742,35.18930957683742,14.830508474576273,0.1694915254237252,历史1/1次成功; 当前距低点0.17%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
8,83.87940996067027,74.8485478619492,300817,双飞集团,bottom_area,2025-06-19,21.98,2025-06-18,21.68,1.3837638376383796,5.719557195571965,31.479140328697852,False,-0.8123,6.1817,1,1,1,100.0,16.470588235294116,16.470588235294116,13.61623616236162,1.3837638376383796,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
9,83.74174859106785,73.02267398453239,000605,渤海股份,bottom_area,2025-06-19,6.7,2025-06-19,6.69,0.14947683109117765,2.6905829596412514,28.829787234042552,False,-1.6153,2.0518,3,4,3,75.0,35.52946859903381,56.66666666666668,14.850523168908822,0.14947683109117765,历史3/4次成功; 当前距低点0.15%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
10,83.66223689611282,73.56706233988048,603787,新日股份,bottom_area,2025-06-19,11.78,2025-06-19,11.71,0.5977796754910205,5.550811272416725,27.71604938271604,False,-4.4607,5.4817,1,1,1,100.0,92.85714285714283,92.85714285714283,14.40222032450898,0.5977796754910205,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-4.46%; 状态bottom_area; 底部未确认
11,83.23869560973907,73.31603656948292,000811,冰轮环境,bottom_area,2025-06-19,8.8,2025-06-19,8.74,0.686498855835246,2.517162471395888,32.195500387897596,False,-1.2346,1.7985,4,5,4,80.0,32.856204090254195,47.451868629671566,14.313501144164753,0.686498855835246,历史4/5次成功; 当前距低点0.69%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
12,82.93217456809495,75.61980282678101,300553,集智股份,bottom_area,2025-06-19,35.9,2025-06-18,35.01,2.542130819765783,5.0556983718937545,29.00020279862098,False,0.1115,2.911,3,4,3,75.0,16.510005891650533,17.361392148927557,12.457869180234216,2.542130819765783,历史3/4次成功; 当前距低点2.54%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
13,82.07278667005332,74.66507096774193,002471,中超控股,bottom_area,2025-06-19,5.08,2025-06-16,4.96,2.4193548387096793,12.903225806451607,27.272727272727277,True,-8.3032,27.3768,1,1,1,100.0,29.2,29.2,12.580645161290322,2.4193548387096793,历史1/1次成功; 当前距低点2.42%; 最新日涨幅-8.30%; 状态bottom_area; 底部已确认
14,81.5863246323549,71.41144252441775,605377,华旺科技,bottom_area,2025-06-19,8.58,2025-06-19,8.55,0.3508771929824486,0.9356725146198838,29.22185430463576,False,-0.464,0.4913,1,1,1,100.0,25.16904583020285,25.16904583020285,14.64912280701755,0.3508771929824486,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
15,81.32705442315915,71.02920202117822,003025,思进智能,bottom_area,2025-06-19,12.85,2025-06-19,12.82,0.23400936037441,3.588143525741022,27.076222980659832,False,-2.207,1.4986,1,1,1,100.0,21.681415929203535,21.681415929203535,14.76599063962559,0.23400936037441,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-2.21%; 状态bottom_area; 底部未确认
16,81.16069567510094,71.3515846238938,600770,综艺股份,bottom_area,2025-06-19,5.15,2025-06-19,5.12,0.5859375000000049,2.92968749999999,32.185430463576154,False,-2.4621,2.0895,1,1,1,100.0,27.72861356932153,27.72861356932153,14.414062499999995,0.5859375000000049,历史1/1次成功; 当前距低点0.59%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
17,81.10112173106164,70.98350724371905,603681,永冠新材,bottom_area,2025-06-19,14.4,2025-06-19,14.35,0.3484320557491339,3.8327526132404235,28.250000000000004,False,-2.571,4.2753,1,1,1,100.0,22.83834586466165,22.83834586466165,14.651567944250864,0.3484320557491339,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-2.57%; 状态bottom_area; 底部未确认
18,80.87671665434283,71.37499100694981,600232,金鹰股份,bottom_area,2025-06-19,6.37,2025-06-19,6.32,0.7911392405063262,7.594936708860751,27.93614595210946,False,-8.477,15.3079,2,2,2,100.0,23.918217609162483,27.954545454545443,14.208860759493675,0.7911392405063262,历史2/2次成功; 当前距低点0.79%; 最新日涨幅-8.48%; 状态bottom_area; 底部未确认
19,80.75679591932358,70.9441415572,688448,磁谷科技,bottom_area,2025-06-19,27.6,2025-06-19,27.45,0.5464480874317018,4.189435336976328,30.31226199543032,False,-2.1624,2.3862,1,1,1,100.0,25.053995680345576,25.053995680345576,14.453551912568297,0.5464480874317018,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
20,80.35788745360436,70.9804385061967,002155,湖南黄金,bottom_area,2025-06-19,18.03,2025-06-19,17.88,0.8389261744966563,3.1319910514541514,27.28751525010167,False,-2.6983,2.8582,1,1,1,100.0,28.834355828220854,28.834355828220854,14.161073825503342,0.8389261744966563,历史1/1次成功; 当前距低点0.84%; 最新日涨幅-2.70%; 状态bottom_area; 底部未确认
21,80.21691038668985,70.67266090923906,300703,创源股份,bottom_area,2025-06-19,21.57,2025-06-19,21.42,0.7002801120448112,7.329598506069078,27.512690355329944,False,-6.0131,13.0873,2,2,2,100.0,19.02849228333993,20.914127423822727,14.29971988795519,0.7002801120448112,历史2/2次成功; 当前距低点0.70%; 最新日涨幅-6.01%; 状态bottom_area; 底部未确认
22,80.18112907861926,70.7620701357466,603577,汇金通,bottom_area,2025-06-19,8.91,2025-06-19,8.84,0.7918552036199128,3.8461538461538445,31.259720062208395,False,-2.7293,3.4701,1,1,1,100.0,27.083333333333325,27.083333333333325,14.208144796380088,0.7918552036199128,历史1/1次成功; 当前距低点0.79%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
23,79.89800489542634,70.74152742207205,688136,科兴制药,bottom_area,2025-06-19,41.82,2025-06-19,41.42,0.9657170449058391,5.383872525350065,28.83161512027492,False,-2.9248,1.9526,3,4,3,75.0,33.270764970200936,60.65012831479899,14.03428295509416,0.9657170449058391,历史3/4次成功; 当前距低点0.97%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
24,79.85087683460836,70.11562671770747,000999,华润三九,bottom_area,2025-06-19,30.84,2025-06-19,30.68,0.521512385919166,1.597131681877451,29.438822447102115,False,-0.5803,0.5531,1,1,1,100.0,20.293951384963254,20.293951384963254,14.478487614080834,0.521512385919166,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
25,77.36417887236134,68.50092285629384,301578,辰奕智能,bottom_area,2025-06-19,33.38,2025-06-18,33.06,0.9679370840895349,3.8717483363581398,31.410788381742737,False,-2.1114,4.1571,1,1,1,100.0,17.085050580741846,17.085050580741846,14.032062915910466,0.9679370840895349,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
26,76.48442980905693,67.59968084684542,600980,北矿科技,bottom_area,2025-06-19,22.0,2025-06-19,21.81,0.8711600183402168,5.685465382851912,27.97225891677676,False,-6.383,19.9007,1,1,1,100.0,21.268417680973737,21.268417680973737,14.128839981659782,0.8711600183402168,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-6.38%; 状态bottom_area; 底部未确认
27,75.72128655784975,66.25819976357022,300346,南大光电,bottom_area,2025-06-19,29.95,2025-06-13,29.85,0.3350083752093731,3.1825795644891097,27.513355998057303,False,-0.959,1.5237,2,3,2,66.66666666666666,36.15780748591896,46.69811320754715,14.664991624790627,0.3350083752093731,历史2/3次成功; 当前距低点0.34%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
28,75.1528909136182,68.27066506783392,688188,柏楚电子,bottom_area,2025-06-19,139.86,2025-06-11,136.66,2.34157763793357,4.200204888043326,31.8675840063815,False,-0.5758,0.2818,2,3,2,66.66666666666666,31.735459223955836,34.07281509974057,12.65842236206643,2.34157763793357,历史2/3次成功; 当前距低点2.34%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
29,74.1914545313356,68.11425895677716,001223,欧克科技,bottom_area,2025-06-19,37.85,2025-05-26,36.78,2.9091897770527466,10.250135943447516,31.661092530657747,True,-1.3295,2.6926,2,3,2,66.66666666666666,28.658843988122396,30.11687144141446,12.090810222947253,2.9091897770527466,历史2/3次成功; 当前距低点2.91%; 最新日涨幅-1.33%; 状态bottom_area; 底部已确认
30,72.2746849680996,62.91820060226174,300436,广生堂,bottom_area,2025-06-19,33.3,2025-06-19,33.28,0.06009615384614189,12.379807692307685,28.027681660899656,False,-11.3182,14.7605,3,5,3,60.0,22.823762543177093,35.88379705400981,14.939903846153857,0.06009615384614189,历史3/5次成功; 当前距低点0.06%; 最新日涨幅-11.32%; 状态bottom_area; 底部未确认
31,72.12844347733875,63.0091102424884,002615,哈尔斯,bottom_area,2025-06-19,8.16,2025-06-19,8.14,0.24570024570024046,7.248157248157246,27.836879432624105,False,-7.378,24.7315,2,3,2,66.66666666666666,27.80989320439935,28.84012539184954,14.75429975429976,0.24570024570024046,历史2/3次成功; 当前距低点0.25%; 最新日涨幅-7.38%; 状态bottom_area; 底部未确认
32,69.63713110889384,61.109983742404985,002575,群兴玩具,bottom_area,2025-06-19,8.22,2025-06-19,8.18,0.4889975550122362,3.422982885085588,27.482269503546096,False,-2.3753,2.3202,2,4,2,50.0,29.811280472219792,39.02759526938239,14.511002444987763,0.4889975550122362,历史2/4次成功; 当前距低点0.49%; 最新日涨幅-2.38%; 状态bottom_area; 底部未确认
33,67.9092682811604,59.90319489500314,000715,中兴商业,bottom_area,2025-06-19,5.26,2025-06-19,5.22,0.7662835249042153,2.2988505747126458,31.31578947368421,False,-0.3788,1.9853,2,4,2,50.0,26.722157697767457,29.105691056910565,14.233716475095784,0.7662835249042153,历史2/4次成功; 当前距低点0.77%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
34,67.82200293813509,59.56173126066867,000573,粤宏远A,bottom_area,2025-06-19,3.8,2025-06-19,3.78,0.5291005291005296,3.174603174603178,27.027027027027028,False,-2.5641,4.2563,2,4,2,50.0,21.978927242031602,24.644549763033176,14.47089947089947,0.5291005291005296,历史2/4次成功; 当前距低点0.53%; 最新日涨幅-2.56%; 状态bottom_area; 底部未确认
35,67.23771076976014,58.85988256508612,300697,电工合金,bottom_area,2025-06-19,11.22,2025-06-19,11.18,0.3577817531305986,3.130590339892662,29.329962073324907,False,-3.0251,2.0327,2,4,2,50.0,26.320564313031607,31.64400494437578,14.642218246869401,0.3577817531305986,历史2/4次成功; 当前距低点0.36%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
36,66.79180205004184,58.461501995813045,688114,华大智造,bottom_area,2025-06-19,63.0,2025-06-19,62.78,0.35043007327174075,5.383880216629493,27.421965317919074,False,-3.2258,2.246,2,4,2,50.0,24.08861592942264,27.745919717688572,14.64956992672826,0.35043007327174075,历史2/4次成功; 当前距低点0.35%; 最新日涨幅-3.23%; 状态bottom_area; 底部未确认
37,65.97093448055652,57.72100757544736,688135,利扬芯片,bottom_area,2025-06-19,18.24,2025-06-13,18.18,0.33003300330032304,4.6204620462046195,29.725550831078472,False,-2.2508,1.865,2,5,2,40.0,31.309047435333802,40.41850220264317,14.669966996699676,0.33003300330032304,历史2/5次成功; 当前距低点0.33%; 最新日涨幅-2.25%; 状态bottom_area; 底部未确认
38,65.32485256770637,60.261183780499515,000596,古井贡酒,bottom_area,2025-06-19,135.9,2025-06-16,131.73,3.165565930312014,4.676231686024441,27.152574240999844,False,0.831,1.0229,1,2,1,50.0,29.07889301941346,29.07889301941346,11.834434069687985,3.165565930312014,历史1/2次成功; 当前距低点3.17%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
