rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.73681617209088,83.79249232819494,002160,常铝股份,bottom_area,2025-11-28,5.19,2025-11-24,4.97,4.426559356136834,8.249496981891351,28.386167146974074,True,0.9728,7.7914,3,3,3,100.0,36.855094947241525,40.066225165562926,15.573440643863169,4.426559356136834,历史3/3次成功; 当前距低点4.43%; 最新日涨幅0.97%; 状态bottom_area; 底部已确认
2,89.27240154257663,77.99411574115744,002321,华英农业,bottom_area,2025-11-28,2.78,2025-11-28,2.71,2.583025830258297,2.9520295202952056,29.792746113989637,False,0.7246,2.672,1,1,1,100.0,25.609756097560986,25.609756097560986,17.416974169741707,2.583025830258297,历史1/1次成功; 当前距低点2.58%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
3,88.94685111718015,78.51165343645657,600550,保变电气,bottom_area,2025-11-28,9.51,2025-11-28,9.22,3.14533622559652,3.4707158351409815,29.076923076923073,False,2.2581,3.5265,1,1,1,100.0,35.285053929121716,35.285053929121716,16.85466377440348,3.14533622559652,历史1/1次成功; 当前距低点3.15%; 最新日涨幅2.26%; 状态bottom_area; 底部未确认
4,87.83900753174255,77.99061781414753,603151,邦基科技,bottom_area,2025-11-28,18.8,2025-11-21,18.17,3.4672537149146887,3.742432581177764,32.62884686688913,False,0.6424,1.42,1,1,1,100.0,36.42987249544626,36.42987249544626,16.532746285085313,3.4672537149146887,历史1/1次成功; 当前距低点3.47%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
5,86.23440026927787,76.56049952170974,600506,统一股份,bottom_area,2025-11-28,25.99,2025-11-28,25.12,3.4633757961783336,4.299363057324833,31.17808219178082,False,2.3228,12.4013,1,1,1,100.0,28.69352869352869,28.69352869352869,16.536624203821667,3.4633757961783336,历史1/1次成功; 当前距低点3.46%; 最新日涨幅2.32%; 状态bottom_area; 底部未确认
6,84.83504013679126,75.5627257365027,003038,鑫铂股份,bottom_area,2025-11-28,15.94,2025-11-24,15.38,3.641092327698301,5.7867360208062335,28.76331635016211,False,0.5044,1.9469,1,1,1,100.0,25.507614213197975,25.507614213197975,16.3589076723017,3.641092327698301,历史1/1次成功; 当前距低点3.64%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
7,84.26663658638367,74.84582512017084,603178,圣龙股份,bottom_area,2025-11-28,18.4,2025-11-24,17.78,3.4870641169853624,4.049493813273334,27.694184627897517,False,0.4367,0.818,5,7,5,71.42857142857143,31.669983984855786,47.51869476546566,16.51293588301464,3.4870641169853624,历史5/7次成功; 当前距低点3.49%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
8,84.12424390650982,75.85587463678716,603173,福斯达,bottom_area,2025-11-28,38.44,2025-11-24,36.85,4.314789687924006,5.427408412483039,32.86573146292585,False,1.1579,4.477,1,1,1,100.0,35.34190927555856,35.34190927555856,15.685210312075995,4.314789687924006,历史1/1次成功; 当前距低点4.31%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
9,83.73115583066271,74.71644749021004,688766,普冉股份,bottom_area,2025-11-28,124.49,2025-11-21,120.0,3.7416666666666627,7.816666666666664,28.22966507177033,False,0.0,0.0,1,1,1,100.0,22.190577904355056,22.190577904355056,16.25833333333334,3.7416666666666627,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,79.09085576974327,69.28241804917685,688337,普源精电,bottom_area,2025-11-28,36.9,2025-11-21,35.92,2.7282850779509933,5.066815144766148,28.159999999999997,False,2.2727,0.798,3,6,3,50.0,38.886602295188766,54.46153846153845,17.271714922049007,2.7282850779509933,历史3/6次成功; 当前距低点2.73%; 最新日涨幅2.27%; 状态bottom_area; 底部未确认
11,78.10814139205925,68.91477208205586,601127,赛力斯,bottom_area,2025-11-28,126.19,2025-11-24,122.37,3.1216801503636455,4.045109095366501,28.854651162790695,False,0.4937,1.0404,5,9,5,55.55555555555556,29.69523621503266,42.19143576826195,16.878319849636355,3.1216801503636455,历史5/9次成功; 当前距低点3.12%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
12,77.02762181632394,68.7034800370865,605333,沪光股份,bottom_area,2025-11-28,29.3,2025-11-27,28.25,3.716814159292038,4.424778761061947,29.162487462387165,False,2.627,0.8126,3,5,3,60.0,26.224818926195436,29.01840490797546,16.283185840707965,3.716814159292038,历史3/5次成功; 当前距低点3.72%; 最新日涨幅2.63%; 状态bottom_area; 底部未确认
13,74.97748319926319,66.4724880086383,300730,科创信息,bottom_area,2025-11-28,13.74,2025-11-24,13.29,3.386004514672694,8.803611738148998,31.84615384615385,True,0.4386,3.4358,2,4,2,50.0,22.648270441355024,24.329896907216508,16.613995485327308,3.386004514672694,历史2/4次成功; 当前距低点3.39%; 最新日涨幅0.44%; 状态bottom_area; 底部已确认
14,73.39031664881304,63.70494304110947,000803,山高环能,bottom_area,2025-11-28,6.88,2025-11-28,6.73,2.2288261515601704,2.2288261515601704,29.822732012513033,False,1.1765,1.8117,1,2,1,50.0,36.1111111111111,36.1111111111111,17.77117384843983,2.2288261515601704,历史1/2次成功; 当前距低点2.23%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
15,72.43342022539095,62.42534834623503,600104,上汽集团,bottom_area,2025-11-28,14.97,2025-11-21,14.7,1.8367346938775602,2.1768707482993217,28.74454677653902,False,0.7402,0.3968,1,2,1,50.0,24.425287356321842,24.425287356321842,18.16326530612244,1.8367346938775602,历史1/2次成功; 当前距低点1.84%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
16,70.47309019969624,62.234065040650364,600094,大名城,bottom_area,2025-11-28,4.23,2025-11-21,4.1,3.170731707317093,8.292682926829286,30.743243243243246,True,0.0,1.5362,1,3,1,33.33333333333333,87.28070175438596,87.28070175438596,16.829268292682908,3.170731707317093,历史1/3次成功; 当前距低点3.17%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
