rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.47127659268152,81.32001063563291,688300,联瑞新材,bottom_area,2023-08-07,43.5,2023-08-02,42.5,2.3529411764705883,5.5764705882352885,27.350427350427353,False,0.4851,0.403,2,2,2,100.0,24.003852247235756,26.809910956252438,17.647058823529413,2.3529411764705883,历史2/2次成功; 当前距低点2.35%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
2,89.47101646270808,77.98122899855872,002219,新里程,bottom_area,2023-08-07,3.76,2023-08-07,3.67,2.452316076294274,2.724795640326978,29.42307692307693,False,0.0,0.7754,1,1,1,100.0,23.938223938223942,23.938223938223942,17.547683923705726,2.452316076294274,历史1/1次成功; 当前距低点2.45%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,84.62726218210538,74.59976049975369,600995,南网储能,bottom_area,2023-08-07,11.07,2023-06-07,10.74,3.072625698324023,8.379888268156428,32.7909887359199,True,-0.7175,0.8932,1,1,1,100.0,26.64165103189493,26.64165103189493,16.92737430167598,3.072625698324023,历史1/1次成功; 当前距低点3.07%; 最新日涨幅-0.72%; 状态bottom_area; 底部已确认
4,84.54330171417764,70.78295179734091,002755,奥赛康,bottom_area,2023-08-07,7.86,2023-08-07,7.84,0.2551020408163324,5.484693877551017,29.749103942652333,False,-4.7273,0.8548,1,1,1,100.0,30.831099195710454,30.831099195710454,19.744897959183668,0.2551020408163324,历史1/1次成功; 当前距低点0.26%; 最新日涨幅-4.73%; 状态bottom_area; 底部未确认
5,83.85508075471779,73.24625708799107,300515,三德科技,bottom_area,2023-08-07,13.56,2023-07-28,13.22,2.571860816944023,7.3373676248108834,27.162534435261698,True,-3.1429,1.5834,1,1,1,100.0,23.441396508728182,23.441396508728182,17.42813918305598,2.571860816944023,历史1/1次成功; 当前距低点2.57%; 最新日涨幅-3.14%; 状态bottom_area; 底部已确认
6,82.66582871290834,70.13106898329423,688143,长盈通,bottom_area,2023-08-07,30.0,2023-08-01,29.71,0.9761023224503504,6.294177044766064,28.906436946637946,False,-1.6393,0.986,1,1,1,100.0,25.949367088607595,25.949367088607595,19.02389767754965,0.9761023224503504,历史1/1次成功; 当前距低点0.98%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
7,82.18108157482415,69.55487766710183,002864,盘龙药业,bottom_area,2023-08-07,34.54,2023-08-07,34.25,0.8467153284671508,2.9197080291970803,27.127659574468083,False,-2.0142,4.6043,1,1,1,100.0,21.26553019358567,21.26553019358567,19.153284671532848,0.8467153284671508,历史1/1次成功; 当前距低点0.85%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
8,80.79608185026375,72.58276856524876,600935,华塑股份,bottom_area,2023-08-07,3.8,2023-06-27,3.65,4.109589041095888,7.671232876712336,28.571428571428577,True,-1.2987,0.4059,1,1,1,100.0,28.50877192982458,28.50877192982458,15.890410958904114,4.109589041095888,历史1/1次成功; 当前距低点4.11%; 最新日涨幅-1.30%; 状态bottom_area; 底部已确认
9,64.91541328293619,55.37884286862986,002829,星网宇达,bottom_area,2023-08-07,30.87,2023-08-02,30.48,1.27952755905512,2.6574803149606256,31.918695555059195,False,-0.8989,1.4674,1,3,1,33.33333333333333,21.628131021194598,21.628131021194598,18.72047244094488,1.27952755905512,历史1/3次成功; 当前距低点1.28%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
10,63.44166850794741,53.71078723864235,603033,三维股份,bottom_area,2023-08-07,15.19,2023-08-07,15.06,0.8632138114209761,1.5936254980079694,30.180806675938804,False,0.1318,0.1471,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,19.136786188579023,0.8632138114209761,历史1/3次成功; 当前距低点0.86%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
11,59.72438815977423,53.7714519429471,300342,天银机电,bottom_area,2023-08-07,11.58,2023-07-28,11.11,4.230423042304237,5.220522052205221,28.368794326241137,False,2.4779,6.1321,1,3,1,33.33333333333333,26.68539325842696,26.68539325842696,15.769576957695763,4.230423042304237,历史1/3次成功; 当前距低点4.23%; 最新日涨幅2.48%; 状态bottom_area; 底部未确认
12,55.96366916900122,51.091728573436804,002403,爱仕达,bottom_area,2023-08-07,8.83,2023-07-28,8.41,4.994054696789536,6.658739595719387,32.61217948717949,False,1.0297,2.894,1,3,1,33.33333333333333,21.63892445582587,21.63892445582587,15.005945303210467,4.994054696789536,历史1/3次成功; 当前距低点4.99%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
