rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.00669411145384,79.74853333137966,300602,飞荣达,bottom_area,2021-12-08,23.38,2021-12-08,22.94,1.918047079337392,4.4899738448125435,27.012408526885135,False,1.0372,3.9134,1,1,1,100.0,26.890756302520995,26.890756302520995,6.081952920662608,1.918047079337392,历史1/1次成功; 当前距低点1.92%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
2,82.10444416396754,78.3425206417273,688221,前沿生物,bottom_area,2021-12-08,16.91,2021-12-07,16.65,1.561561561561571,5.225225225225231,29.32937181663837,False,1.0155,1.1849,1,1,1,100.0,14.961725817675717,14.961725817675717,6.438438438438429,1.561561561561571,历史1/1次成功; 当前距低点1.56%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
3,75.91796928280303,76.09552550899066,600121,郑州煤电,bottom_area,2021-12-08,4.8,2021-11-29,4.61,4.121475054229924,6.073752711496732,27.287066246056774,False,0.0,0.8814,2,2,2,100.0,17.59402490663917,20.6581352833638,3.878524945770076,4.121475054229924,历史2/2次成功; 当前距低点4.12%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
